KO number	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO
K03020	2.6092836e+08	2.6314842e+08	2.6606601e+08	5.0474585e+08	3.1937738e+08	5.1834937e+08	1.2231337e+09	4.6510468e+08	5.3504414e+08	7.4651825e+08	1.9302924e+08
K03027	3.4212728e+09	1.3895407e+09	6.0252115e+09	5.0716009e+09	3.4414266e+09	2.4570521e+09	9.5520095e+09	2.7636184e+09	4.344794e+09	5.2084041e+09	1.3543486e+09
K03023	4.0688949e+08	3.4685706e+08	1.3296719e+09	8.6590877e+08	7.9583969e+08	8.7263679e+08	1.3670751e+09	6.8638213e+08	2.3573982e+08	1.3623292e+09	1.8973359e+08
K03026	5.1959206e+08	3.0333982e+08	5.3673074e+08	8.5637405e+08	4.0223221e+08	2.4801194e+08	3.3883308e+09	3.5738267e+08	7.4216063e+08	1.1887809e+09	2.5684102e+08
K03019	40345238	25673324	44171591	2.2624546e+08	65840570	22279857	2.404588e+08	57863579	97077336	1.8457668e+08	17550703
K03022	1.676862e+08	89943614	1.6594173e+08	1.572162e+08	3.2609429e+08	1.9746363e+08	8.8893063e+08	1.3329332e+08	1.2397735e+08	2.9156155e+08	1.3274094e+08
K03024	89881527	1.5744353e+08	5.2495426e+08	4.0782999e+08	3.5556698e+08	1.4037413e+09	5.7074378e+08	1.1368024e+08	3.1497702e+08	5.493458e+08	2.3335327e+08
K03025	1.3302354e+08	1.5127644e+08	6.1380636e+08	6.1382801e+08	3.1325598e+08	4.846461e+08	4.486435e+08	2.4456678e+08	66471712	8.1700618e+08	1.2339366e+08
K03002	1.3677616e+09	2.9295532e+08	2.7149884e+09	1.5150274e+09	1.0884766e+09	1.0297066e+09	4.1952797e+09	7.4837575e+08	6.3765969e+08	3.3322898e+09	7.7614097e+08
K02999	3.1258676e+09	1.0471922e+09	6.8428463e+09	4.4919004e+09	2.2226843e+09	2.9422256e+09	1.3250452e+10	2.1479993e+09	2.7291092e+09	7.1193191e+09	2.5596056e+09
K03000	1857.6034	1857.6034	1857.6034	1857.6034	3.486683e+08	1857.6034	3.5290327e+08	1857.6034	65348461	1857.6034	1857.6034
K03005	2.1477598e+09	4.0892231e+08	4.0082329e+09	2.0943665e+09	1.8307005e+09	1.4030433e+09	2.7171015e+09	9.8823735e+08	7.2991067e+08	1.8923529e+09	4.1342193e+08
K03142	1.0003783e+09	8.7357356e+08	1.7194666e+09	2.9972783e+09	1.2283137e+09	1.6880849e+09	3.2833153e+09	4.6345039e+08	4.4866095e+08	2.7024851e+09	5.7464195e+08
K14649	2.4785339e+09	2.28865e+09	1.6323926e+09	6.0443719e+09	3.698273e+09	5.4097592e+08	4.8317052e+09	8.1240859e+08	2.0866593e+09	6.3816554e+09	1.0297486e+09
K14651	68008874	1.4285704e+08	3.616052e+09	85202187	1.1036633e+08	3.9726474e+08	1.8222965e+08	58209270	34481823	5.4962488e+08	69898616
K14650	72299598	1.2228663e+08	88334260	88004378	1.0871224e+08	6.1693432e+08	3.2571325e+08	21762935	16641387	13050825	60254628
K03122	4.3719637e+08	8.3770819e+08	1.2099766e+09	1.0927514e+09	3.467676e+08	8.5875298e+08	2.4334609e+09	4.1815742e+08	2.5292857e+08	3.1874012e+09	4.5536856e+08
K03123	1.4309818e+08	1.5062741e+08	66309326	2.1917116e+08	1.6681338e+08	2.1535832e+08	1.0286265e+08	44383334	1826074.7	1.2112388e+09	85145493
K03124	1.4108222e+09	8.2161055e+08	7.9692663e+09	8.9614089e+09	4.0171535e+08	8.4181392e+08	2.9493372e+09	6.1336678e+08	5.1634555e+08	7.5500319e+08	8.6057787e+08
K03120	89035795	1.8686341e+08	9.9420079e+08	5.5251607e+08	2.5779006e+08	2.9898862e+08	6.6718451e+08	73487350	1.1394743e+08	6.91439e+08	2.5064706e+08
K03125	49571032	1.2034491e+08	3.8078368e+08	6.1634211e+09	1.3171341e+08	2.9730119e+08	4.6090597e+08	85084061	64374413	6.4990098e+08	80174676
K03128	1.713073e+08	3.2334032e+08	1.1045126e+09	2.8392892e+08	95256463	3.2084417e+08	1.760853e+09	2.7013462e+08	2.2141175e+08	2.0229111e+08	2.6992011e+08
K03132	1.0827815e+09	7.7888232e+08	1.0194378e+09	1.8093116e+09	1.7876124e+09	2.1783444e+09	7.8499191e+08	5.3549975e+08	4.0212237e+08	1.2304214e+09	3.1112846e+08
K03134	2.6520971e+08	3.4775216e+08	5.5408384e+08	4.0451356e+08	4.1583073e+08	5.4335201e+08	1.4925363e+09	2.4030478e+08	4.8152123e+08	5.2515744e+08	2.1500999e+08
K03130	2.8473745e+08	6.4342423e+08	8.0839614e+08	3.703306e+08	2.9146889e+08	6.1896798e+08	1.9100468e+09	2.5208954e+08	2.9855953e+08	7.374889e+08	3.2818691e+08
