Numerator	Denominator	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.8026	0.8211	0.7942	0.8007	0.7862	0.7895	0.8028	0.8078	0.8022	0.7869	0.7925
Genetic Information Processing	TOTAL	0.4158	0.3979	0.3954	0.4098	0.3563	0.3235	0.4345	0.3735	0.4336	0.3561	0.423
-Transcription	TOTAL	0.03888	0.04083	0.03339	0.0345	0.03218	0.02443	0.04169	0.02506	0.03932	0.03206	0.03145
-Translation	TOTAL	0.2058	0.1435	0.1907	0.1981	0.1774	0.1493	0.2139	0.1675	0.2095	0.1563	0.1996
-Folding, Sorting and Degradation	TOTAL	0.08849	0.08537	0.09667	0.09634	0.07531	0.08912	0.1033	0.1061	0.1071	0.0844	0.09681
-DNA Maintenance	TOTAL	0.08919	0.1292	0.07767	0.09214	0.07609	0.06711	0.08376	0.08395	0.08522	0.09052	0.1026
-RNA Family	TOTAL	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0.03427	0.02985	0.03915	0.03759	0.03477	0.04987	0.02442	0.03174	0.03118	0.03246	0.02997
-Signal Transduction	TOTAL	0.01078	0.01159	0.01255	0.01555	0.01029	0.01445	0.008986	0.007723	0.01185	0.01107	0.01014
-Signaling Molecules and Interaction	TOTAL	0.02349	0.0195	0.02723	0.02219	0.02448	0.03697	0.01623	0.02402	0.01976	0.02149	0.01991
Cellular Processes	TOTAL	0.09894	0.1119	0.1107	0.09099	0.1121	0.1336	0.08432	0.08014	0.07929	0.06859	0.06815
-Hemoglobin	TOTAL	4.17e-06	7.585e-06	7.008e-06	3.691e-06	3.104e-06	1.645e-06	2.697e-06	4.24e-06	0.0001466	4.493e-07	9.856e-06
-Vesicular Transport	TOTAL	0.01481	0.01851	0.01602	0.01364	0.01437	0.02201	0.01636	0.02167	0.01354	0.01689	0.01242
-Cytoskeleton	TOTAL	0.06564	0.07592	0.07139	0.061	0.07477	0.08953	0.04913	0.04503	0.04704	0.03815	0.04188
-Cell Motility	TOTAL	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	TOTAL	0.01396	0.01661	0.01812	0.01396	0.01503	0.01483	0.01707	0.01016	0.01577	0.0101	0.01291
-Cell Communication	TOTAL	0.005425	0.00547	0.00836	0.004799	0.009025	0.01047	0.004121	0.004548	0.005044	0.003409	0.004361
Metabolism	TOTAL	0.1783	0.1834	0.1759	0.1816	0.2073	0.1903	0.1897	0.2369	0.1824	0.2453	0.1934
-Membrane Transport	TOTAL	0.003839	0.003417	0.002968	0.003189	0.002742	0.003343	0.003427	0.00347	0.003546	0.004031	0.002964
-Central Carbon Metabolism	TOTAL	0.03477	0.04115	0.03491	0.03679	0.04005	0.04229	0.03446	0.03564	0.0332	0.04221	0.03764
-Energy Metabolism	TOTAL	0.01719	0.01577	0.0157	0.01662	0.01718	0.01822	0.01665	0.01733	0.0162	0.02374	0.01734
-Biosynthesis	TOTAL	0.04516	0.04718	0.04637	0.04571	0.05702	0.04918	0.04962	0.06563	0.04495	0.07049	0.0542
-Other Enzymes	TOTAL	0.1038	0.1027	0.09867	0.1032	0.1136	0.1057	0.1107	0.1367	0.1075	0.1256	0.1081
Organismal Systems	TOTAL	0.03586	0.04977	0.0431	0.03596	0.0403	0.05333	0.03528	0.04582	0.03404	0.03129	0.03561
-Immune System	TOTAL	0.01424	0.01962	0.01516	0.0168	0.01222	0.01873	0.0125	0.01544	0.01695	0.01096	0.01371
-Endocrine System	TOTAL	0.004657	0.007534	0.007739	0.00534	0.005874	0.008261	0.007049	0.01047	0.0046	0.004255	0.005849
-Circulatory System	TOTAL	0.005876	0.006203	0.006882	0.003413	0.007778	0.00841	0.00443	0.00364	0.004421	0.005428	0.005134
-Digestive System	TOTAL	0.004376	0.002469	0.003725	0.004925	0.005459	0.004612	0.002891	0.009613	0.003564	0.004963	0.003002
-Excretory System	TOTAL	0.003281	0.008428	0.004509	0.003557	0.003639	0.005486	0.003481	0.006359	0.00312	0.004761	0.003088
-Nervous System	TOTAL	0.007937	0.01092	0.01099	0.008581	0.009808	0.01175	0.009462	0.006951	0.009289	0.006596	0.007573
-Sensory System	TOTAL	0.0005378	0.001369	0.0008095	0.0006482	0.0007129	0.001678	0.0007368	0.0005493	0.0003794	0.0003888	0.0004968
-Development	TOTAL	0.001388	0.003722	0.001578	0.00142	0.001798	0.002456	0.001194	0.001443	0.0009463	0.0009531	0.00144
-Environmental Adaptation	TOTAL	0.002195	0.002857	0.002881	0.001427	0.002126	0.002519	0.002739	0.002532	0.002308	0.002282	0.001611
Human Diseases	TOTAL	0.102	0.1282	0.08625	0.1033	0.09531	0.099	0.08553	0.1035	0.09626	0.1113	0.1089
-Cancers	TOTAL	0.01425	0.01413	0.01426	0.01529	0.01111	0.01124	0.01321	0.01395	0.01891	0.01111	0.01245
-Immune System Diseases	TOTAL	0.04914	0.07636	0.03956	0.04971	0.04294	0.03753	0.04011	0.04867	0.04679	0.04869	0.05431
-Neurodegenerative Diseases	TOTAL	0.02902	0.03073	0.02737	0.02871	0.02735	0.02848	0.0288	0.03425	0.0318	0.04535	0.03209
-Cardiovascular Diseases	TOTAL	0.005141	0.003673	0.005287	0.003111	0.004482	0.009307	0.002462	0.00285	0.002443	0.00294	0.003433
-Metabolic Diseases	TOTAL	0.004175	0.004012	0.005714	0.003815	0.006819	0.006575	0.004107	0.006335	0.002269	0.006063	0.004997
-Infectious Diseases	TOTAL	0.01809	0.02607	0.02172	0.02159	0.01897	0.02277	0.01728	0.02167	0.01825	0.01928	0.02067
Not Mapped	TOTAL	0.1974	0.1789	0.2058	0.1993	0.2138	0.2105	0.1972	0.1922	0.1978	0.2131	0.2075
-Not Mapped	TOTAL	0.1974	0.1789	0.2058	0.1993	0.2138	0.2105	0.1972	0.1922	0.1978	0.2131	0.2075
TOTAL	MAPPED	1.246	1.218	1.259	1.249	1.272	1.267	1.246	1.238	1.247	1.271	1.262
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1	1	1
Genetic Information Processing	MAPPED	0.518	0.4846	0.4979	0.5119	0.4532	0.4098	0.5412	0.4624	0.5405	0.4525	0.5337
