KO number	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48
K03120	NaN	NaN	NaN	NaN	NaN
K09578	NaN	NaN	NaN	NaN	NaN
K02202	NaN	NaN	NaN	NaN	NaN
K03128	NaN	NaN	NaN	NaN	NaN
K03131	NaN	NaN	NaN	NaN	NaN
K10842	NaN	NaN	NaN	NaN	NaN
K06634	NaN	NaN	NaN	NaN	NaN
K03142	NaN	NaN	NaN	NaN	NaN
K14651	NaN	NaN	NaN	NaN	NaN
K03624	553700	679350	904050	982100	1085000
K02357	1711301	2230606	3425998	4579223	6145911
K02355	5658048	7227968	10745856	12821952	13525248
K11644	NaN	NaN	NaN	NaN	NaN
K11430	NaN	NaN	NaN	NaN	NaN
K03628	760066	1071383	1474880	1702816	1928238
K02601	756350	882700	1224650	1408750	1738450
K03924	72	72	72	72	72
mtu_Rv0238	NaN	NaN	NaN	NaN	NaN
K09762	NaN	NaN	NaN	NaN	NaN
mtu_Rv0023	NaN	NaN	NaN	NaN	NaN
K08278	NaN	NaN	NaN	NaN	NaN
K04064	1038100	992250	1344350	1509550	1408750
K03530	1631250	1980450	2191590	1843560	1653300
K05787	2052450	2608560	3430350	3804570	4365900
K02854	72	72	72	72	72
K02855	72	72	72	72	72
K03490	72	72	72	72	72
K03755	72	72	72	72	72
K04033	72	72	72	72	72
K07780	72	72	72	72	72
K11920	72	72	72	72	72
K13631	72	72	72	72	72
K13632	72	72	72	72	72
K14063	72	72	72	72	72
K10778	72	72	72	72	72
K03566	72	72	72	72	72
K02521	72	72	72	72	72
K03576	72	72	72	72	72
K03717	72	72	72	72	72
K04761	33245	46665	60085	60695	74115
K05596	76032	98901	124146	127116	160974
K05798	72	72	72	72	72
K05817	72	72	72	72	72
K07592	72	72	72	72	72
K10972	72	72	72	72	72
K11921	72	72	72	72	72
K13634	35964	49572	78084	85536	90396
K13635	72	72	72	72	72
K13636	72	72	72	72	72
K14057	72	72	72	72	72
K16135	72	72	72	72	72
K11534	72	72	72	72	72
K02081	72	72	72	72	72
K02430	72	72	72	72	72
K02468	72	72	72	72	72
K03477	72	72	72	72	72
K02529	72	72	72	72	72
K05499	72	72	72	72	72
K03435	100200	130260	134936	113226	99866
K03485	72	72	72	72	72
K03487	72	72	72	72	72
K03604	315425	371690	422499	430001	599819
K06145	78778	72820	98638	105920	109561
K06146	72	72	72	72	72
K12113	72	72	72	72	72
K16136	72	72	72	72	72
K03482	72	72	72	72	72
K02043	72	72	72	72	72
K10711	72	72	72	72	72
K11922	72	72	72	72	72
K03603	44215	60228	65725	72895	83172
K05799	21082	25400	43942	54102	77978
K11474	72	72	72	72	72
K13637	72	72	72	72	72
K14348	72	72	72	72	72
K13654	72	72	72	72	72
K15735	72	72	72	72	72
K02167	72	72	72	72	72
K03577	72	72	72	72	72
K05501	72	72	72	72	72
K09017	72	72	72	72	72
K16137	72	72	72	72	72
K16138	72	72	72	72	72
K18140	72	72	72	72	72
K03718	72	72	72	72	72
K03719	792783	952260	1046778	1058106	1310862
K05800	72	72	72	72	72
K03556	168487	274805	289221	211735	91902
K04333	17280	72	72	72	72
K07781	72	72	72	72	72
K07782	72	72	72	72	72
K03712	72	72	72	72	72
K06075	63510	81030	111690	111836	140744
K15974	11616	19184	27984	32560	59664
K11923	72	72	72	72	72
K13638	72	72	72	72	72
K13639	72	72	72	72	72
K03711	346764	385836	454064	454360	529248
K09823	20691	18297	24966	19152	24795
K13641	72	72	72	72	72
K05818	1680	2736	2160	1152	720
K10973	11111	15447	22222	27100	36043
K10914	720510	890400	934500	941010	972930
K01420	151250	216750	349500	385500	475750
K16326	72	72	72	72	72
K13643	296136	423144	508680	499122	495882
K13771	72	72	72	72	72
K11924	72	72	72	72	72
K07722	32984	64239	65170	62377	82992
K03892	72	72	72	72	72
K15835	72	72	72	72	72
K03524	72	72	72	72	72
K03557	72	72	72	72	72
K03720	46224	51408	43092	55296	42120
K02688	72	72	72	72	72
K06211	17931	16680	18348	19182	19182
K07724	72	72	72	72	72
K11925	72	72	72	72	72
K13655	72	72	72	72	72
K14056	72	72	72	72	72
K15773	72	72	72	72	72
K02647	72	72	72	72	72
K02019	72	72	72	72	72
K12146	72	72	72	72	72
K12266	72	72	72	72	72
K15836	72	72	72	72	72
K07726	72	72	72	72	72
K03488	72	72	72	72	72
K05785	72	72	72	72	72
K03402	72	72	72	72	72
K02565	12180	16240	23954	19488	18676
K15545	12950	33250	21700	72	72
K02562	72	72	72	72	72
K03764	103110	117390	175875	204225	259035
K03721	30780	34884	44631	46683	51300
K03765	72	72	72	72	72
K03567	72	72	72	72	72
K02616	72	72	72	72	72
K03974	72	72	72	72	72
K03973	72	72	72	72	72
K11531	15750	72	72	72	72
K05880	72	72	72	72	72
K06140	82416	72	72	72	72
K07733	72	72	72	72	72
K07735	30481	44880	68629	80597	104159
K08277	72	72	72	72	72
K06204	403321	569270	828839	947827	947978
K07738	27714	34121	38293	25330	49468
K07471	72	72	72	72	72
K14414	72	72	72	72	72
K03086	584189	643037	815290	833067	1026162
K03087	110532	120414	199836	189954	227652
K03088	34953	35144	43548	40683	56727
K03089	72	72	72	72	72
K03092	53901	59625	70119	70119	73458
K02405	9082	72	72	72	72
K03580	23800	26250	42000	50050	65450
K02600	609700	826000	1139600	1327900	1657600
K03625	383950	515200	784350	890050	1068200
K03599	880250	1100400	1351700	1631000	1711850
K04760	72	72	72	72	72
K06063	NaN	NaN	NaN	NaN	NaN
K09567	NaN	NaN	NaN	NaN	NaN
K10599	NaN	NaN	NaN	NaN	NaN
K11086	NaN	NaN	NaN	NaN	NaN
K11087	NaN	NaN	NaN	NaN	NaN
K11088	NaN	NaN	NaN	NaN	NaN
K11091	NaN	NaN	NaN	NaN	NaN
K11095	NaN	NaN	NaN	NaN	NaN
K11096	NaN	NaN	NaN	NaN	NaN
K11097	NaN	NaN	NaN	NaN	NaN
K11098	NaN	NaN	NaN	NaN	NaN
K11099	NaN	NaN	NaN	NaN	NaN
K12733	NaN	NaN	NaN	NaN	NaN
K12741	NaN	NaN	NaN	NaN	NaN
K12811	NaN	NaN	NaN	NaN	NaN
K12813	NaN	NaN	NaN	NaN	NaN
K12815	NaN	NaN	NaN	NaN	NaN
K12816	NaN	NaN	NaN	NaN	NaN
K12817	NaN	NaN	NaN	NaN	NaN
K12818	NaN	NaN	NaN	NaN	NaN
K12819	NaN	NaN	NaN	NaN	NaN
K12820	NaN	NaN	NaN	NaN	NaN
K12821	NaN	NaN	NaN	NaN	NaN
K12822	NaN	NaN	NaN	NaN	NaN
K12823	NaN	NaN	NaN	NaN	NaN
K12824	NaN	NaN	NaN	NaN	NaN
K12825	NaN	NaN	NaN	NaN	NaN
K12826	NaN	NaN	NaN	NaN	NaN
K12828	NaN	NaN	NaN	NaN	NaN
K12829	NaN	NaN	NaN	NaN	NaN
K12830	NaN	NaN	NaN	NaN	NaN
K12831	NaN	NaN	NaN	NaN	NaN
K12832	NaN	NaN	NaN	NaN	NaN
K12833	NaN	NaN	NaN	NaN	NaN
K12834	NaN	NaN	NaN	NaN	NaN
K12835	NaN	NaN	NaN	NaN	NaN
K12836	NaN	NaN	NaN	NaN	NaN
K12837	NaN	NaN	NaN	NaN	NaN
K12839	NaN	NaN	NaN	NaN	NaN
K12842	NaN	NaN	NaN	NaN	NaN
K12843	NaN	NaN	NaN	NaN	NaN
K12844	NaN	NaN	NaN	NaN	NaN
K12846	NaN	NaN	NaN	NaN	NaN
K12847	NaN	NaN	NaN	NaN	NaN
K12848	NaN	NaN	NaN	NaN	NaN
K12849	NaN	NaN	NaN	NaN	NaN
K12852	NaN	NaN	NaN	NaN	NaN
K12854	NaN	NaN	NaN	NaN	NaN
K12855	NaN	NaN	NaN	NaN	NaN
K12856	NaN	NaN	NaN	NaN	NaN
K12857	NaN	NaN	NaN	NaN	NaN
K12858	NaN	NaN	NaN	NaN	NaN
K12863	NaN	NaN	NaN	NaN	NaN
K12864	NaN	NaN	NaN	NaN	NaN
K12865	NaN	NaN	NaN	NaN	NaN
K12867	NaN	NaN	NaN	NaN	NaN
K12868	NaN	NaN	NaN	NaN	NaN
K12869	NaN	NaN	NaN	NaN	NaN
K12870	NaN	NaN	NaN	NaN	NaN
K12871	NaN	NaN	NaN	NaN	NaN
K12872	NaN	NaN	NaN	NaN	NaN
K12873	NaN	NaN	NaN	NaN	NaN
K12874	NaN	NaN	NaN	NaN	NaN
K12885	NaN	NaN	NaN	NaN	NaN
K12890	NaN	NaN	NaN	NaN	NaN
K12893	NaN	NaN	NaN	NaN	NaN
K12896	NaN	NaN	NaN	NaN	NaN
K12897	NaN	NaN	NaN	NaN	NaN
K12900	NaN	NaN	NaN	NaN	NaN
K12850	NaN	NaN	NaN	NaN	NaN
K11984	NaN	NaN	NaN	NaN	NaN
K12866	NaN	NaN	NaN	NaN	NaN
K12662	NaN	NaN	NaN	NaN	NaN
K12860	NaN	NaN	NaN	NaN	NaN
K12861	NaN	NaN	NaN	NaN	NaN
K12840	NaN	NaN	NaN	NaN	NaN
K12887	NaN	NaN	NaN	NaN	NaN
K09564	NaN	NaN	NaN	NaN	NaN
K12889	NaN	NaN	NaN	NaN	NaN
K12886	NaN	NaN	NaN	NaN	NaN
K12884	NaN	NaN	NaN	NaN	NaN
K12841	NaN	NaN	NaN	NaN	NaN
K12838	NaN	NaN	NaN	NaN	NaN
K12862	NaN	NaN	NaN	NaN	NaN
K11092	NaN	NaN	NaN	NaN	NaN
K12827	NaN	NaN	NaN	NaN	NaN
K12888	NaN	NaN	NaN	NaN	NaN
K12891	NaN	NaN	NaN	NaN	NaN
K12892	NaN	NaN	NaN	NaN	NaN
K11094	NaN	NaN	NaN	NaN	NaN
K11093	NaN	NaN	NaN	NaN	NaN
K13158	NaN	NaN	NaN	NaN	NaN
K13214	NaN	NaN	NaN	NaN	NaN
K13219	NaN	NaN	NaN	NaN	NaN
K13159	NaN	NaN	NaN	NaN	NaN
K02864	1162755	1506285	2409000	3121305	4589145
K02865	NaN	NaN	NaN	NaN	NaN
K02866	NaN	NaN	NaN	NaN	NaN
K02867	864780	1149348	1791472	2358336	3143312
K02868	NaN	NaN	NaN	NaN	NaN
K02870	NaN	NaN	NaN	NaN	NaN
K02871	1236110	1826688	2718306	3497318	4225920
K02872	NaN	NaN	NaN	NaN	NaN
K02873	NaN	NaN	NaN	NaN	NaN
K02874	613401	801345	1280430	1774644	2251023
K02875	NaN	NaN	NaN	NaN	NaN
K02877	NaN	NaN	NaN	NaN	NaN
K02879	754761	1009396	1609217	2068703	2749677
K02880	NaN	NaN	NaN	NaN	NaN
K02881	567099	769743	1178892	1578564	1999179
K02882	NaN	NaN	NaN	NaN	NaN
K02883	NaN	NaN	NaN	NaN	NaN
K02885	NaN	NaN	NaN	NaN	NaN
K02888	551565	734802	1187384	1480419	1839271
K02889	NaN	NaN	NaN	NaN	NaN
K02891	NaN	NaN	NaN	NaN	NaN
K02893	NaN	NaN	NaN	NaN	NaN
K02894	NaN	NaN	NaN	NaN	NaN
K02895	854880	1089296	1670032	2211456	2522832
K02896	NaN	NaN	NaN	NaN	NaN
K02897	682910	856246	1328502	1680626	2283072
K02898	NaN	NaN	NaN	NaN	NaN
K02899	262140	371875	585820	816170	1038955
K02900	NaN	NaN	NaN	NaN	NaN
K02901	NaN	NaN	NaN	NaN	NaN
K02903	NaN	NaN	NaN	NaN	NaN
K02904	643293	837648	1184526	1878975	2440305
K02905	NaN	NaN	NaN	NaN	NaN
K02906	1331748	1884135	3275239	3758029	4966885
K02907	562565	789892	1140588	1641616	1883988
K02908	NaN	NaN	NaN	NaN	NaN
K02910	NaN	NaN	NaN	NaN	NaN
K02912	NaN	NaN	NaN	NaN	NaN
K02913	262075	354585	544720	694760	1001385
K02915	NaN	NaN	NaN	NaN	NaN
K02917	NaN	NaN	NaN	NaN	NaN
K02918	NaN	NaN	NaN	NaN	NaN
K02919	72	72	72	72	72
K02920	NaN	NaN	NaN	NaN	NaN
K02921	NaN	NaN	NaN	NaN	NaN
K02922	NaN	NaN	NaN	NaN	NaN
K02923	NaN	NaN	NaN	NaN	NaN
K02924	NaN	NaN	NaN	NaN	NaN
K02925	NaN	NaN	NaN	NaN	NaN
K02926	1503078	1907892	2869476	3721515	5014146
K02927	NaN	NaN	NaN	NaN	NaN
K02929	NaN	NaN	NaN	NaN	NaN
K02930	NaN	NaN	NaN	NaN	NaN
K02931	1503600	1927472	3272299	3936210	5458426
K02933	1492287	1859916	2924571	3909576	5205216
K02934	NaN	NaN	NaN	NaN	NaN
K02935	1688555	1992144	3426841	4405005	5925249
K02936	NaN	NaN	NaN	NaN	NaN
K02937	NaN	NaN	NaN	NaN	NaN
K02938	NaN	NaN	NaN	NaN	NaN
K02939	1091574	1478527	2488598	3102925	4425896
K02940	NaN	NaN	NaN	NaN	NaN
K02941	NaN	NaN	NaN	NaN	NaN
K02942	NaN	NaN	NaN	NaN	NaN
K02943	NaN	NaN	NaN	NaN	NaN
K02945	3889531	4996847	8114376	10406988	12948022
K02946	961814	1315001	2075347	2521852	3486550
K02947	NaN	NaN	NaN	NaN	NaN
K02949	NaN	NaN	NaN	NaN	NaN
K02951	NaN	NaN	NaN	NaN	NaN
K02952	1127490	1428862	2387730	3176678	4081384
K02953	NaN	NaN	NaN	NaN	NaN
K02955	NaN	NaN	NaN	NaN	NaN
K02957	NaN	NaN	NaN	NaN	NaN
K02958	NaN	NaN	NaN	NaN	NaN
K02960	NaN	NaN	NaN	NaN	NaN
K02961	377664	476280	764988	1163232	1274196
K02962	NaN	NaN	NaN	NaN	NaN
K02964	NaN	NaN	NaN	NaN	NaN
K02966	NaN	NaN	NaN	NaN	NaN
K02968	697305	959175	1354068	1920960	2506905
K02969	NaN	NaN	NaN	NaN	NaN
K02971	NaN	NaN	NaN	NaN	NaN
K02973	NaN	NaN	NaN	NaN	NaN
K02974	NaN	NaN	NaN	NaN	NaN
K02975	NaN	NaN	NaN	NaN	NaN
K02976	NaN	NaN	NaN	NaN	NaN
K02977	NaN	NaN	NaN	NaN	NaN
K02978	NaN	NaN	NaN	NaN	NaN
K02979	NaN	NaN	NaN	NaN	NaN
K02980	NaN	NaN	NaN	NaN	NaN
K02981	NaN	NaN	NaN	NaN	NaN
K02983	NaN	NaN	NaN	NaN	NaN
K02984	NaN	NaN	NaN	NaN	NaN
K02985	NaN	NaN	NaN	NaN	NaN
K02987	NaN	NaN	NaN	NaN	NaN
K02988	1546587	1820634	2896782	3827473	5115377
K02989	NaN	NaN	NaN	NaN	NaN
K02990	1292446	1701428	2411710	3012607	3717911
K02991	NaN	NaN	NaN	NaN	NaN
K02993	NaN	NaN	NaN	NaN	NaN
K02995	NaN	NaN	NaN	NaN	NaN
K02996	790660	1037660	1600430	2023450	2878980
K02997	NaN	NaN	NaN	NaN	NaN
K02998	NaN	NaN	NaN	NaN	NaN
K02890	1123650	1530320	2341020	3155130	3561690
K02878	1218832	1478728	2473568	3243056	4108424
K02902	506220	669240	1120548	1440348	1788150
K02963	517200	669600	1098300	1428375	1613250
K02884	756010	977960	1438190	2120715	2612800
K02970	732223	1000887	1618942	2110475	2675564
K02886	1693419	2585037	4346160	5452629	6751563
K02948	604881	747942	1164096	1602696	1997049
K02887	631418	949664	1301658	1731650	1860978
K02911	196935	243675	358929	495786	701841
K02892	411900	548000	864200	1119900	1500000
K02992	1491048	1981044	3039504	4120272	3477864
K02916	64545	72	72	72	72
K02863	1831284	2343978	3956004	4814082	6804018
K02954	446218	607818	1012222	1246845	1587821
K02959	1082318	1468046	2318632	3015550	3582908
K02876	827712	1119024	1812528	2357424	2884032
K02950	334428	450988	682496	1031184	1128152
K02956	693043	853421	1375673	1710135	2287745
K02967	2069467	2650277	4522606	5288022	7168063
K02914	489578	630384	751318	1391454	1490860
K02909	210840	285250	410340	579180	874370
K02965	649796	843364	1392512	1877996	2325944
K02982	1966753	2704664	4571926	5409328	6467847
K02986	1619160	2080394	3693374	4039248	5776858
K02994	604370	754260	1235650	1542190	2133300
sce_YMR116C	NaN	NaN	NaN	NaN	NaN
sce_YKL056C	NaN	NaN	NaN	NaN	NaN
K01977	72	72	72	72	72
K01985	NaN	NaN	NaN	NaN	NaN
K01980	72	72	72	72	72
K14415	72	72	72	72	72
K03439	88669	92971	130972	162281	181640
K06173	72	72	72	72	72
K03177	72	72	72	72	72
K06176	72	72	72	72	72
K07566	33600	43400	52850	68250	106050
K03650	27300	28000	33950	37100	45500
K03495	72	72	72	72	72
K00773	22500	34125	54000	79500	98625
K01008	175929	240124	299808	294256	332773
K01409	72	72	72	72	72
K01082	357700	316750	278250	312900	297150
K03536	72	72	72	72	72
K01978	72	72	72	72	72
K03683	72	72	72	72	72
K01169	72	72	72	72	72
K01147	132664	202860	291732	399924	521640
K03684	72	72	72	72	72
K01975	72	72	72	72	72
K07559	72	72	72	72	72
K01878	317544	398445	522675	700839	870822
K01879	948753	1206439	1715610	1978119	2386696
K11991	72	72	72	72	72
K05539	19198	24825	31445	36741	43030
K05540	72	72	72	72	72
K05541	72	72	72	72	72
K06168	72	72	72	72	72
K15256	58100	73150	103600	113400	163100
K15257	72	72	72	72	72
K00557	7686	72	72	72	72
K00554	72	72	72	72	72
K03214	178365	206310	232185	267375	309120
K03216	72	72	72	72	72
K00556	72	72	72	72	72
K02533	72	72	72	72	72
K15396	17220	24108	34194	40098	54858
K15460	72	72	72	72	72
K06175	72	72	72	72	72
K06177	72	72	72	72	72
K14058	72	72	72	72	72
K04085	72	72	72	72	72
K07237	72	72	72	72	72
K07236	72	72	72	72	72
K07235	9600	10752	72	11392	14336
K11179	72	72	72	72	72
K13628	49000	87150	124950	134750	151200
K15461	72	72	72	72	72
K07568	72	72	72	72	72
K06879	14382	19458	20586	23406	27918
K06917	72	72	72	72	72
K04075	72	72	72	72	72
K06957	72	72	72	72	72
K00684	72	72	72	72	72
K14742	72	72	72	72	72
K06925	89950	57050	123550	124600	144550
K07560	63000	80850	102200	95550	121100
K01866	255248	355736	488024	613528	754720
K01867	307948	399464	551768	659650	827318
K01868	464808	623382	871194	784524	875046
K01869	1085320	1570360	2022720	2327160	2592040
K01870	1020544	1399496	1805650	2002630	2120818
K01872	886512	1134420	1499712	1752000	2353812
K01873	451725	622905	897744	1121229	1428402
K01874	480670	669553	894317	1095386	1390558
K01875	584800	802380	1146380	1267640	1559610
K01876	732190	882640	1328680	1482670	1666750
K01880	NaN	NaN	NaN	NaN	NaN
K01881	954096	1344772	1926496	2322320	2888028
K01883	130924	159967	248018	280749	404297
K01885	541650	733347	1080474	1295721	1668282
K01887	220991	293693	362356	422941	553920
K01889	154344	219090	350217	447990	557862
K01890	347415	566835	928560	1255305	1715610
K01892	304008	398136	561800	609712	760232
K02433	NaN	NaN	NaN	NaN	NaN
K04567	883750	1341280	1895770	2330575	2753765
K02434	NaN	NaN	NaN	NaN	NaN
K01893	796860	1220454	1711152	1880310	2346776
K02435	NaN	NaN	NaN	NaN	NaN
K01886	483642	651504	959528	1150104	1345112
K09698	NaN	NaN	NaN	NaN	NaN
eco_b4155	72	72	72	72	72
eco_b0144	72	72	72	72	72
K14219	72	72	72	72	72
K14226	72	72	72	72	72
K14233	72	72	72	72	72
K14237	72	72	72	72	72
K14228	72	72	72	72	72
K14227	72	72	72	72	72
K14232	72	72	72	72	72
K14222	72	72	72	72	72
K14220	72	72	72	72	72
K14230	72	72	72	72	72
K14221	72	72	72	72	72
K14234	72	72	72	72	72
K14236	NaN	NaN	NaN	NaN	NaN
K14218	72	72	72	72	72
K14223	72	72	72	72	72
K14225	72	72	72	72	72
K14231	72	72	72	72	72
K14235	72	72	72	72	72
K14224	72	72	72	72	72
K14229	72	72	72	72	72
K14238	72	72	72	72	72
K03341	NaN	NaN	NaN	NaN	NaN
K01042	72	72	72	72	72
K03113	72	72	72	72	72
K03236	NaN	NaN	NaN	NaN	NaN
K03237	NaN	NaN	NaN	NaN	NaN
K03238	NaN	NaN	NaN	NaN	NaN
K03239	NaN	NaN	NaN	NaN	NaN
K03240	NaN	NaN	NaN	NaN	NaN
K03241	NaN	NaN	NaN	NaN	NaN
K03242	NaN	NaN	NaN	NaN	NaN
K03243	NaN	NaN	NaN	NaN	NaN
K03245	NaN	NaN	NaN	NaN	NaN
K03246	NaN	NaN	NaN	NaN	NaN
K03251	NaN	NaN	NaN	NaN	NaN
K03253	NaN	NaN	NaN	NaN	NaN
K03257	NaN	NaN	NaN	NaN	NaN
K03259	NaN	NaN	NaN	NaN	NaN
K03260	NaN	NaN	NaN	NaN	NaN
K03262	NaN	NaN	NaN	NaN	NaN
K03680	NaN	NaN	NaN	NaN	NaN
K03754	NaN	NaN	NaN	NaN	NaN
K05019	NaN	NaN	NaN	NaN	NaN
K05749	NaN	NaN	NaN	NaN	NaN
K12875	NaN	NaN	NaN	NaN	NaN
K12878	NaN	NaN	NaN	NaN	NaN
K12879	NaN	NaN	NaN	NaN	NaN
K12880	NaN	NaN	NaN	NaN	NaN
K12881	NaN	NaN	NaN	NaN	NaN
K13025	NaN	NaN	NaN	NaN	NaN
K13114	NaN	NaN	NaN	NaN	NaN
K13130	NaN	NaN	NaN	NaN	NaN
K13137	NaN	NaN	NaN	NaN	NaN
K13151	NaN	NaN	NaN	NaN	NaN
K13171	NaN	NaN	NaN	NaN	NaN
K13174	NaN	NaN	NaN	NaN	NaN
K13175	NaN	NaN	NaN	NaN	NaN
K13176	NaN	NaN	NaN	NaN	NaN
K14004	NaN	NaN	NaN	NaN	NaN
K14292	NaN	NaN	NaN	NaN	NaN
K14293	NaN	NaN	NaN	NaN	NaN
K14297	NaN	NaN	NaN	NaN	NaN
K14298	NaN	NaN	NaN	NaN	NaN
K14299	NaN	NaN	NaN	NaN	NaN
K14300	NaN	NaN	NaN	NaN	NaN
K14301	NaN	NaN	NaN	NaN	NaN
K14304	NaN	NaN	NaN	NaN	NaN
K14306	NaN	NaN	NaN	NaN	NaN
K14307	NaN	NaN	NaN	NaN	NaN
K14308	NaN	NaN	NaN	NaN	NaN
K14309	NaN	NaN	NaN	NaN	NaN
K14310	NaN	NaN	NaN	NaN	NaN
K14313	NaN	NaN	NaN	NaN	NaN
K14314	NaN	NaN	NaN	NaN	NaN
K14318	NaN	NaN	NaN	NaN	NaN
K14319	NaN	NaN	NaN	NaN	NaN
K14320	NaN	NaN	NaN	NaN	NaN
K14321	NaN	NaN	NaN	NaN	NaN
K14327	NaN	NaN	NaN	NaN	NaN
K14322	NaN	NaN	NaN	NaN	NaN
K14302	NaN	NaN	NaN	NaN	NaN
K14315	NaN	NaN	NaN	NaN	NaN
K13129	NaN	NaN	NaN	NaN	NaN
K14305	NaN	NaN	NaN	NaN	NaN
K14316	NaN	NaN	NaN	NaN	NaN
K14295	NaN	NaN	NaN	NaN	NaN
K00974	13596	72	16892	72	14420
K03248	NaN	NaN	NaN	NaN	NaN
K03249	NaN	NaN	NaN	NaN	NaN
K07205	NaN	NaN	NaN	NaN	NaN
K12882	NaN	NaN	NaN	NaN	NaN
K14325	NaN	NaN	NaN	NaN	NaN
K15516	NaN	NaN	NaN	NaN	NaN
K02516	NaN	NaN	NaN	NaN	NaN
K12160	NaN	NaN	NaN	NaN	NaN
K14323	NaN	NaN	NaN	NaN	NaN
K14326	NaN	NaN	NaN	NaN	NaN
K13131	NaN	NaN	NaN	NaN	NaN
K14303	NaN	NaN	NaN	NaN	NaN
K03247	NaN	NaN	NaN	NaN	NaN
K12877	NaN	NaN	NaN	NaN	NaN
K09291	NaN	NaN	NaN	NaN	NaN
K14288	NaN	NaN	NaN	NaN	NaN
K14312	NaN	NaN	NaN	NaN	NaN
K14289	NaN	NaN	NaN	NaN	NaN
K10577	NaN	NaN	NaN	NaN	NaN
K12876	NaN	NaN	NaN	NaN	NaN
K14311	NaN	NaN	NaN	NaN	NaN
K03258	NaN	NaN	NaN	NaN	NaN
K14294	NaN	NaN	NaN	NaN	NaN
K12172	NaN	NaN	NaN	NaN	NaN
K03254	NaN	NaN	NaN	NaN	NaN
K00784	72	72	72	72	72
K14317	NaN	NaN	NaN	NaN	NaN
K13132	NaN	NaN	NaN	NaN	NaN
K03252	NaN	NaN	NaN	NaN	NaN
K13133	NaN	NaN	NaN	NaN	NaN
K14296	NaN	NaN	NaN	NaN	NaN
K03250	NaN	NaN	NaN	NaN	NaN
K14291	NaN	NaN	NaN	NaN	NaN
K12883	NaN	NaN	NaN	NaN	NaN
K14324	NaN	NaN	NaN	NaN	NaN
K00565	NaN	NaN	NaN	NaN	NaN
K03267	NaN	NaN	NaN	NaN	NaN
K06100	NaN	NaN	NaN	NaN	NaN
K06269	NaN	NaN	NaN	NaN	NaN
K06965	NaN	NaN	NaN	NaN	NaN
K11583	NaN	NaN	NaN	NaN	NaN
K11584	NaN	NaN	NaN	NaN	NaN
K13917	NaN	NaN	NaN	NaN	NaN
K14376	NaN	NaN	NaN	NaN	NaN
K14396	NaN	NaN	NaN	NaN	NaN
K14397	NaN	NaN	NaN	NaN	NaN
K14398	NaN	NaN	NaN	NaN	NaN
K14399	NaN	NaN	NaN	NaN	NaN
K14400	NaN	NaN	NaN	NaN	NaN
K14401	NaN	NaN	NaN	NaN	NaN
K14402	NaN	NaN	NaN	NaN	NaN
K14403	NaN	NaN	NaN	NaN	NaN
K14404	NaN	NaN	NaN	NaN	NaN
K14406	NaN	NaN	NaN	NaN	NaN
K14407	NaN	NaN	NaN	NaN	NaN
K14408	NaN	NaN	NaN	NaN	NaN
K14409	NaN	NaN	NaN	NaN	NaN
K14411	NaN	NaN	NaN	NaN	NaN
K14416	NaN	NaN	NaN	NaN	NaN
K14962	NaN	NaN	NaN	NaN	NaN
K15542	NaN	NaN	NaN	NaN	NaN
