KO number	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48
K03011	NaN	NaN	NaN	NaN	NaN
K03013	NaN	NaN	NaN	NaN	NaN
K03017	NaN	NaN	NaN	NaN	NaN
K03019	NaN	NaN	NaN	NaN	NaN
K03020	NaN	NaN	NaN	NaN	NaN
K03022	NaN	NaN	NaN	NaN	NaN
K03023	NaN	NaN	NaN	NaN	NaN
K03024	NaN	NaN	NaN	NaN	NaN
K03026	NaN	NaN	NaN	NaN	NaN
K03027	NaN	NaN	NaN	NaN	NaN
K14721	NaN	NaN	NaN	NaN	NaN
K02999	NaN	NaN	NaN	NaN	NaN
K03015	NaN	NaN	NaN	NaN	NaN
K03010	NaN	NaN	NaN	NaN	NaN
K03006	NaN	NaN	NaN	NaN	NaN
K03008	NaN	NaN	NaN	NaN	NaN
K03043	2577	3458	4871	5416	6576
K03046	2230	2821	4331	4740	5559
K03048	NaN	NaN	NaN	NaN	NaN
K03060	2568	3378	4698	5365	6266
K03122	NaN	NaN	NaN	NaN	NaN
K03123	NaN	NaN	NaN	NaN	NaN
K03124	NaN	NaN	NaN	NaN	NaN
K03126	NaN	NaN	NaN	NaN	NaN
K03129	NaN	NaN	NaN	NaN	NaN
K03133	NaN	NaN	NaN	NaN	NaN
K03134	NaN	NaN	NaN	NaN	NaN
K03136	NaN	NaN	NaN	NaN	NaN
K03137	NaN	NaN	NaN	NaN	NaN
K03139	NaN	NaN	NaN	NaN	NaN
K03141	NaN	NaN	NaN	NaN	NaN
K03143	NaN	NaN	NaN	NaN	NaN
K03144	NaN	NaN	NaN	NaN	NaN
K10843	NaN	NaN	NaN	NaN	NaN
K10845	NaN	NaN	NaN	NaN	NaN
K14649	NaN	NaN	NaN	NaN	NaN
K14650	NaN	NaN	NaN	NaN	NaN
K03138	NaN	NaN	NaN	NaN	NaN
K03130	NaN	NaN	NaN	NaN	NaN
K03121	NaN	NaN	NaN	NaN	NaN
