KO number	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck
K14721	NaN	NaN	4.36135e+12	8405.25	29300.6	24896.2	NaN	NaN	NaN	NaN	6.0872903e+10	917000
K03040	2533475	3355800	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03043	3819679	8824992	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03046	7717227.6	7821513	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03086	1060313.6	1026162	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03087	NaN	227652	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K02405	NaN	0.0312	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03088	NaN	56727	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03089	NaN	0.0312	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03092	NaN	73458	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03048	103563.22	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03060	NaN	570206	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03010	NaN	NaN	3.7623312e+13	104758.49	647019.86	510492.46	1.0841405e+09	9.9627237e+08	4.4196755e+09	1.1779382e+10	2.2889875e+12	44846800
K03006	NaN	NaN	1.1707282e+14	497469.78	990418.17	896603.94	4.3665202e+08	4.1912335e+08	4.5166172e+09	6.6865096e+09	4.3521335e+12	23443000
K03011	NaN	NaN	1.9502304e+12	17139.882	76636.092	68022.744	1.5715027e+08	1.7917247e+08	68550339	1.6844716e+08	4.1951976e+11	5940000
K03008	NaN	NaN	8.20212e+11	9539.52	33047.04	24766.2	NaN	NaN	2.4075625e+08	1.3309087e+09	0.0312	8953500
K03012	NaN	NaN	6.829784e+11	15205.905	45199.583	40205.204	18490754	17875244	3.0199171e+08	8.221523e+08	1.1539224e+10	6560400
K03015	NaN	NaN	2.728476e+11	424.935	41387.13	47814.336	41534395	53582426	5.7371806e+08	9.7175977e+08	3.2075324e+10	12865600
K03017	NaN	NaN	NaN	NaN	24269.216	27988.508	NaN	NaN	2.0072909e+08	2.9010004e+08	0.0312	1687500
K03013	NaN	NaN	1.1579685e+12	6405.495	NaN	NaN	3.0895301e+08	3.9957563e+08	8.644856e+08	1.8598856e+09	2.4617708e+11	12012000
K03014	NaN	NaN	1.292855e+12	11384.44	81324.47	85689.425	NaN	NaN	NaN	NaN	3.0059475e+10	241740
K03016	NaN	NaN	5.876646e+11	4923.558	18333.804	21188.98	82539254	1.7192658e+08	1.9854842e+09	3.4009502e+09	2.2472522e+11	3220000
K03009	NaN	NaN	1.89182e+11	2831.5	24760.4	22227.52	36387773	40556578	2.21248e+08	1.36673e+10	0.0312	1755400
K03007	NaN	NaN	1.75322e+10	2011.03	31722.88	25795.35	NaN	NaN	4.2983618e+08	1.9581569e+09	NaN	3376800
K03021	NaN	NaN	7.8296793e+12	89366.41	110746.61	86965.611	32419814	20955272	2.9688783e+09	2.9129416e+09	1.8438499e+10	0.0312
K03018	NaN	NaN	1.0242776e+13	52593.58	224784.52	165866.22	72415549	29694459	7.2808642e+08	4.2013759e+09	2.0519422e+11	4128300
K03020	NaN	NaN	6.099042e+11	3124.994	29395.42	34349.8	39175612	38146575	2.6092836e+08	2.6606601e+08	2.1721588e+09	3059000
K03027	NaN	NaN	4.656165e+12	62003.14	95796.6	108088.76	3.6223806e+08	3.0949102e+08	3.4212728e+09	6.0252115e+09	1.8171143e+11	4809400
K03023	NaN	NaN	1.4006718e+13	14660.718	38758.656	26941.53	1.6861857e+08	54388802	4.0688949e+08	1.3296719e+09	3.135651e+10	2322900
K03026	NaN	NaN	3.5806278e+12	15862.136	34278.638	38008.274	NaN	NaN	5.1959206e+08	5.3673074e+08	9.6168449e+10	585060
K03019	NaN	NaN	9.21756e+10	186.89	NaN	NaN	NaN	NaN	40345238	44171591	NaN	NaN
K03022	NaN	NaN	3.171732e+11	NaN	NaN	NaN	NaN	NaN	1.676862e+08	1.6594173e+08	2.6564958e+10	497760
K03024	NaN	NaN	3.07475e+11	6573.941	NaN	NaN	NaN	NaN	89881527	5.2495426e+08	2.9161784e+10	430390
K03025	NaN	NaN	1.5245164e+12	1480.39	NaN	NaN	NaN	NaN	1.3302354e+08	6.1380636e+08	2.6938318e+10	714160
K03002	NaN	NaN	4.1173878e+13	235948	403837.48	368759.2	2.0582421e+08	2.6686988e+08	1.3677616e+09	2.7149884e+09	2.1112805e+11	17125800
K02999	NaN	NaN	2.8650752e+14	909813.63	782372.86	582025.6	4.553029e+08	9.1330056e+08	3.1258676e+09	6.8428463e+09	1.3381183e+12	10784400
K03000	NaN	NaN	5.703375e+11	4508.375	44914.25	36608.75	NaN	NaN	0.0312	0.0312	0.0312	801360
K03001	NaN	NaN	1.2826077e+12	1689.21	7892.022	7361.421	NaN	NaN	NaN	NaN	NaN	NaN
K03003	NaN	NaN	6.947361e+12	19380.474	47074.621	37738.078	NaN	NaN	NaN	NaN	NaN	NaN
K03005	NaN	NaN	5.48049e+12	48136.265	77653.555	NaN	NaN	NaN	2.1477598e+09	4.0082329e+09	1.4242911e+11	5483400
K03142	NaN	NaN	2.6894279e+12	5065.468	NaN	NaN	1.8809664e+08	1.4133934e+08	1.0003783e+09	1.7194666e+09	1.4586999e+11	3990000
K14649	NaN	NaN	1.20687e+11	2289.35	NaN	NaN	3.6008676e+08	6.1307264e+08	2.4785339e+09	1.6323926e+09	7.9306661e+11	5145000
K14651	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68008874	3.616052e+09	NaN	2243500
K14650	NaN	NaN	NaN	434.7	7107.45	NaN	NaN	NaN	72299598	88334260	NaN	NaN
K03122	NaN	NaN	NaN	1827.54	NaN	NaN	NaN	NaN	4.3719637e+08	1.2099766e+09	2.245175e+10	0.0312
K03123	NaN	NaN	NaN	NaN	6143.188	3621.082	NaN	NaN	1.4309818e+08	66309326	0.0312	224540
K03124	NaN	NaN	5.915025e+12	7469.25	16942.95	11122.8	1.0642682e+08	1.0499966e+08	1.4108222e+09	7.9692663e+09	2.4840801e+11	5498400
K03120	NaN	NaN	1.59672e+12	4923.6	32873.04	26651.52	NaN	NaN	89035795	9.9420079e+08	2.2188742e+10	5417727
K03125	NaN	NaN	9.5345172e+11	22528.844	NaN	NaN	NaN	NaN	49571032	3.8078368e+08	5.5923366e+10	0.0312
K03128	NaN	NaN	4.9855638e+12	14389.389	NaN	NaN	NaN	NaN	1.713073e+08	1.1045126e+09	1.2915978e+11	715803
K03132	NaN	NaN	6.944592e+11	1967.992	NaN	NaN	NaN	NaN	1.0827815e+09	1.0194378e+09	5.4404361e+10	1772920
K03134	NaN	NaN	NaN	2239.632	8793.522	9540.478	NaN	NaN	2.6520971e+08	5.5408384e+08	4.5853867e+10	2463400
K03130	NaN	NaN	1.0475346e+13	37898.616	NaN	NaN	NaN	NaN	2.8473745e+08	8.0839614e+08	5.1731847e+10	1217549
K03129	NaN	NaN	NaN	NaN	NaN	NaN	16158502	47194129	3.6826005e+08	1.293095e+09	1.7308855e+11	1844500
K03126	NaN	NaN	6.12684e+12	15706.89	29805.759	19385.19	NaN	NaN	NaN	NaN	7.9123378e+09	158746
K03131	NaN	NaN	2.3837652e+12	10664.172	26837.676	27329.94	NaN	NaN	5.0969368e+08	1.9717734e+09	1.0760757e+11	6343300
K14535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03133	NaN	NaN	1.284904e+12	3514.938	36130.772	37163.864	NaN	NaN	1.3175642e+09	3.7773459e+09	3.5836119e+11	15293060
K03140	NaN	NaN	3.379888e+12	14930.848	21943.408	25909.384	NaN	NaN	NaN	NaN	NaN	NaN
K03135	NaN	NaN	1.6925974e+12	1333.138	NaN	NaN	NaN	NaN	12435052	0.0312	0.0312	NaN
K03127	NaN	NaN	6.551744e+10	96.86	3605.864	4452.554	NaN	NaN	1698919.8	50452438	5.4668945e+08	NaN
K03136	NaN	NaN	1.1997944e+11	8329.442	36555.362	32682.492	21653135	67168036	6.8577696e+08	1.3095216e+09	3.9893345e+11	2893010
K03137	NaN	NaN	1.7291504e+12	5296.872	NaN	NaN	57567942	88021677	8.016562e+08	1.425587e+09	3.1408093e+11	3230100
K03138	NaN	NaN	2.066379e+12	41512.8	37466.625	35732.025	2.5998286e+08	93778046	2.0051322e+09	2.6432626e+09	4.2239168e+11	23213300
K03139	NaN	NaN	4.6336e+11	23048.4	NaN	NaN	NaN	NaN	1.9183947e+09	2.5444518e+09	3.3214954e+11	24352200
K03141	NaN	NaN	1.5448446e+12	15528.054	15298.86	NaN	NaN	NaN	1.5036554e+08	6.088246e+08	7.0040099e+10	1665920
K03143	NaN	NaN	6.12794e+12	121.004	NaN	NaN	NaN	NaN	1.6620892e+08	3.9298071e+08	4.6661917e+10	0.0312
K03144	NaN	NaN	1.083969e+12	7157.376	NaN	NaN	NaN	NaN	2.5031829e+08	7.0361015e+08	1.736892e+10	0.0312
K10843	NaN	NaN	4.4547492e+11	2823.207	26202.969	28903.941	NaN	NaN	4.5175643e+08	1.0886769e+09	8.3381297e+10	2564960
K10844	NaN	NaN	7.5665168e+12	5854.45	NaN	NaN	1.2482215e+08	1.9870194e+08	8.1715565e+08	8.0261791e+09	4.7225126e+10	1147600
K10845	NaN	NaN	3.099168e+10	NaN	NaN	NaN	NaN	NaN	33316118	96822586	0.0312	357840
K02202	NaN	NaN	1.5248898e+13	422.586	5896.926	NaN	77503644	1.3451447e+08	4.7603939e+08	2.4766346e+09	1.9683916e+10	3702200
K10842	NaN	NaN	6.607143e+11	4987.056	7782.324	NaN	NaN	NaN	3.235099e+08	1.2018858e+09	2.0615823e+10	1239090
K06634	NaN	NaN	1.5800866e+12	3706.905	13014.964	15169.841	NaN	NaN	5.6398022e+08	1.1609477e+09	7.9952293e+10	3682200
K03121	NaN	NaN	NaN	NaN	NaN	NaN	7.5474138e+08	1.1306383e+09	1.1788998e+10	8.2830251e+09	2.7104279e+12	7554860
K04064	NaN	1408750	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03530	NaN	1653300	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K05787	NaN	4365900	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K04448	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81952091	7.5659738e+08	NaN	1360410
K09028	NaN	NaN	NaN	NaN	NaN	NaN	85855285	27786795	3.6102237e+08	23526062	2.3911706e+08	1408820
K04449	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.1349774e+08	7.5693383e+08	5.2610072e+09	3369370
K04379	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6550463.6	0.0312	NaN	NaN
K09029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65924155	0.0312	1.4212857e+09	NaN
K04502	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10742442	17678090	NaN	905140
K09030	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.4117634e+08	8.4858211e+08	2.1979327e+10	1378980
K09032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1184669.5	4075653	NaN	132673
K09033	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9540068.2	73405045	9.2535273e+08	NaN
K09034	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12699992	39724052	57939934	NaN
K09035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88890961	3.8527248e+08	5.6407196e+10	831120
K09039	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41191005	60665619	NaN	NaN
K09040	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0312	0.0312	NaN	NaN
K05638	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0312	NaN
K09042	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13211705	69274825	NaN	3722020
K09043	NaN	NaN	4.67428e+10	21691.935	18587.4	18128.5	NaN	NaN	NaN	NaN	NaN	NaN
K04450	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44793152	1.2473314e+08	6.6235593e+09	NaN
K09045	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.7442765e+08	2.4563258e+09	4.7001483e+10	0.0312
K09047	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0312	1.2347423e+08	NaN	0.0312
K05870	NaN	NaN	NaN	NaN	NaN	NaN	2.6375228e+08	2.9603364e+08	1.5515944e+09	3.7366384e+09	1.2134099e+10	320881
K09048	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6728800	0.0312	0.0312	0.0312
K09049	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0312	44078778	0.0312	NaN
K09051	NaN	NaN	1.1607624e+12	2715.12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09052	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09053	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.4870947e+08	2.1359908e+08	1.4013137e+11	3821100
K09054	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47541936	1.1124625e+08	0.0312	NaN
K10048	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.2869837e+08	7.2360269e+08	5.5893467e+09	759000
K10049	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0312	NaN
K10050	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.5509199e+08	11712554	2.1779358e+10	NaN
K10051	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16517192	40888344	NaN	NaN
K09056	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0312
K09058	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0312
K09059	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30317589	1604474.1	NaN	NaN
K14431	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K14432	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K06649	NaN	NaN	NaN	2126.978	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K06648	NaN	NaN	9.236106e+11	31455.116	28952.968	30614.375	NaN	NaN	NaN	NaN	NaN	NaN
K09061	NaN	NaN	NaN	NaN	NaN	NaN	51220295	1.541567e+08	2.1842991e+08	8.2221907e+08	2.1137691e+10	1124640
K09062	NaN	NaN	1.9869932e+12	2378.752	12976.076	14885.38	NaN	NaN	NaN	NaN	NaN	NaN
K09063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.3444006e+08	1.1538082e+09	5.6197401e+10	2113020
K09068	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5788862	0.0312	NaN	NaN
K09073	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72609350	50367578	NaN	NaN
K08040	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1320508.8	0.0312	NaN	NaN
K09091	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0312	0.0312	NaN	NaN
K03729	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9101494.5	14543027	0.0312	NaN
K06658	NaN	NaN	NaN	677.04	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K09093	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.0808129e+08	3.9470845e+08	1.7824945e+09	NaN
K09095	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8156256.7	7622493.5	NaN	NaN
K09097	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90659524	80368266	0.0312	1649010
K02223	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47188732	4.0372157e+08	0.0312	0.0312
K02296	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36904600	79453278	0.0312	0.0312
K09099	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0312	10252520	NaN	NaN
K09102	NaN	NaN	NaN	70.517	3423.17	4226.792	NaN	NaN	NaN	NaN	NaN	NaN
K04680	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81662086	2.1234934e+08	8.4302747e+08	5133650
K09103	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.2088972e+08	1.0839597e+09	1.2681043e+10	NaN
