Numerator	Denominator	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck
		10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.8025	0.8025	0.8025	0.9254	0.9254	0.9254	0.849	0.849	0.849	0.8927	0.8927	0.8927	0.8283	0.8283	0.8283	0.826	0.826	0.826	0.7924	0.7924	0.7924	0.7962	0.7962	0.7962	0.8026	0.8026	0.8026	0.7942	0.7942	0.7942	0.7871	0.7871	0.7871	0.8947	0.8947	0.8947
Genetic Information Processing	TOTAL	0.2271	0.2621	0.2919	0.4699	0.4757	0.4801	0.4356	0.44	0.4417	0.3839	0.3944	0.3992	0.388	0.3962	0.4015	0.3476	0.3582	0.3638	0.316	0.337	0.342	0.3134	0.3368	0.3476	0.3889	0.4038	0.4273	0.3777	0.3863	0.4093	0.2878	0.2999	0.3061	0.3424	0.3722	0.3846
-Transcription	TOTAL	0.003302	0.003302	0.01105	0.02265	0.02702	0.02808	0.002535	0.003125	0.004364	0.001659	0.002293	0.003307	0.004509	0.006102	0.007094	0.004045	0.005656	0.006511	0.02824	0.03818	0.04105	0.02693	0.03444	0.0382	0.03488	0.0368	0.03845	0.02966	0.03271	0.0332	0.02904	0.02988	0.03152	0.0323	0.03403	0.03957
-Translation	TOTAL	0.1444	0.1455	0.1476	0.3619	0.3629	0.3646	0.3369	0.3401	0.3423	0.2754	0.278	0.2796	0.2889	0.2916	0.2958	0.2607	0.2632	0.2667	0.1179	0.1196	0.1207	0.1199	0.1217	0.1231	0.2022	0.2073	0.2094	0.1893	0.1927	0.1942	0.1055	0.1104	0.1139	0.1744	0.1756	0.177
-Folding, Sorting and Degradation	TOTAL	0.04936	0.07751	0.1093	0.0581	0.06543	0.06784	0.07993	0.08409	0.08615	0.09976	0.1087	0.1138	0.07452	0.08146	0.0885	0.06493	0.07069	0.07875	0.119	0.1399	0.1458	0.1147	0.1396	0.1464	0.08803	0.09398	0.1032	0.09951	0.1032	0.111	0.09793	0.1145	0.1234	0.1022	0.1225	0.1298
-DNA Maintenance	TOTAL	0.02231	0.02841	0.03465	0.01806	0.02086	0.02263	0.009845	0.01178	0.01314	0.004103	0.005008	0.006544	0.008837	0.01257	0.0237	0.008686	0.01328	0.02474	0.03677	0.03951	0.0499	0.03779	0.04172	0.04866	0.04047	0.07076	0.08054	0.04143	0.06404	0.07551	0.03991	0.04296	0.0491	0.02617	0.03436	0.04781
-RNA Family	TOTAL	0	0	0	4.298e-10	4.776e-10	6.686e-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0	0	0.000899	0.007071	0.007642	0.008153	0.004218	0.004561	0.006436	0.002073	0.002564	0.004213	0.006949	0.007169	0.008408	0.005067	0.005302	0.006709	0.01779	0.02114	0.02408	0.0165	0.02133	0.02325	0.02216	0.02389	0.03046	0.0265	0.0286	0.03545	0.01867	0.02022	0.02574	0.03543	0.03797	0.04824
