Numerator	Denominator	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.8025	0.9254	0.849	0.8927	0.8283	0.826	0.7924	0.7962	0.8026	0.7942	0.7871	0.8947
Genetic Information Processing	TOTAL	0.2621	0.4757	0.44	0.3944	0.3962	0.3582	0.337	0.3368	0.4038	0.3863	0.2999	0.3722
-Transcription	TOTAL	0.003302	0.02702	0.003125	0.002293	0.006102	0.005656	0.03818	0.03444	0.0368	0.03271	0.02988	0.03403
-Translation	TOTAL	0.1455	0.3629	0.3401	0.278	0.2916	0.2632	0.1196	0.1217	0.2073	0.1927	0.1104	0.1756
-Folding, Sorting and Degradation	TOTAL	0.07751	0.06543	0.08409	0.1087	0.08146	0.07069	0.1399	0.1396	0.09398	0.1032	0.1145	0.1225
-DNA Maintenance	TOTAL	0.02841	0.02086	0.01178	0.005008	0.01257	0.01328	0.03951	0.04172	0.07076	0.06404	0.04296	0.03436
-RNA Family	TOTAL	0	4.776e-10	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0	0.007642	0.004561	0.002564	0.007169	0.005302	0.02114	0.02133	0.02389	0.0286	0.02022	0.03797
-Signal Transduction	TOTAL	0	0.007642	0.001311	0.001054	0.002889	0.001799	0.00434	0.0052	0.005401	0.005721	0.006116	0.003586
-Signaling Molecules and Interaction	TOTAL	0	1.91e-10	0.003249	0.001646	0.004279	0.003589	0.01541	0.01379	0.01862	0.02226	0.01391	0.03217
Cellular Processes	TOTAL	0.05011	0.009693	0.0131	0.01654	0.02837	0.02859	0.08135	0.06943	0.08899	0.101	0.1492	0.146
-Hemoglobin	TOTAL	0	0	0	0	0	0	0	0	2.004e-06	6.924e-06	0	1.445e-05
-Vesicular Transport	TOTAL	0	0	0.002786	0.002478	0.003367	0.003286	0.01539	0.01562	0.009791	0.01133	0.01317	0.005401
-Cytoskeleton	TOTAL	0.01873	0.00315	0.00339	0.006481	0.002303	0.002593	0.04763	0.03643	0.05994	0.06554	0.1021	0.1184
-Cell Motility	TOTAL	0.006342	0.00421	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	TOTAL	0.02414	0.001781	0.006612	0.006829	0.02178	0.02172	0.01461	0.0144	0.01184	0.01573	0.01523	0.01437
-Cell Communication	TOTAL	0	0	8.162e-05	9.743e-05	0.0001919	0.000203	0.005262	0.005184	0.005376	0.008716	0.0124	0.004848
Metabolism	TOTAL	0.4576	0.429	0.3771	0.4605	0.3708	0.4065	0.2403	0.2629	0.1708	0.169	0.2207	0.2445
-Membrane Transport	TOTAL	0.03254	0.05273	0.01571	0.01077	0.01118	0.009247	0.002065	0.001567	0.002808	0.001975	0.001256	0.0005914
-Central Carbon Metabolism	TOTAL	0.1419	0.07778	0.127	0.156	0.1328	0.1132	0.07242	0.08729	0.03618	0.04036	0.07786	0.09524
-Energy Metabolism	TOTAL	0.03241	0.0191	0.01276	0.01938	0.01138	0.01439	0.01671	0.01842	0.01325	0.01042	0.007351	0.01346
-Biosynthesis	TOTAL	0.07244	0.1319	0.08581	0.1167	0.08282	0.1146	0.03629	0.03982	0.03863	0.03672	0.04411	0.03169
