Numerator	Denominator	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.8202	0.9079	0.8747	0.9206	0.8541	0.8558	0.8272	0.8324	0.821	0.8218	0.8841	0.8963
Genetic Information Processing	TOTAL	0.2525	0.3095	0.373	0.337	0.3481	0.3004	0.3498	0.3436	0.3725	0.3511	0.2714	0.3475
-Transcription	TOTAL	0.003833	0.01352	0.003691	0.002773	0.004932	0.004314	0.04054	0.03771	0.04115	0.0334	0.03233	0.03736
-Translation	TOTAL	0.1223	0.2227	0.2416	0.2074	0.2269	0.1949	0.1103	0.1079	0.1563	0.1419	0.07443	0.1381
-Folding, Sorting and Degradation	TOTAL	0.08213	0.05883	0.1113	0.121	0.09932	0.08468	0.1462	0.1461	0.1174	0.1233	0.1111	0.138
-DNA Maintenance	TOTAL	0.03734	0.01396	0.01525	0.007334	0.01337	0.01287	0.0482	0.05088	0.05514	0.05089	0.05043	0.03344
-RNA Family	TOTAL	0	2.626e-10	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0	0.005565	0.004333	0.002408	0.004941	0.004032	0.01866	0.01857	0.02289	0.02341	0.01605	0.02121
-Signal Transduction	TOTAL	0	0.005565	0.002038	0.001122	0.002512	0.001975	0.004251	0.005036	0.007237	0.006436	0.005141	0.002851
-Signaling Molecules and Interaction	TOTAL	0	1.051e-10	0.001718	0.0008313	0.00246	0.002129	0.01279	0.01189	0.01559	0.01683	0.01101	0.01643
Cellular Processes	TOTAL	0.04585	0.01028	0.01454	0.01392	0.0257	0.02485	0.0975	0.08936	0.1266	0.1629	0.2946	0.184
-Hemoglobin	TOTAL	0	0	0	0	0	0	0	0	7.817e-07	2.613e-06	0	5.775e-06
-Vesicular Transport	TOTAL	0	0	0.002707	0.001725	0.003301	0.003279	0.01711	0.01783	0.01155	0.01325	0.01067	0.006902
-Cytoskeleton	TOTAL	0.01707	0.003272	0.002968	0.005193	0.001701	0.001813	0.05006	0.04012	0.08967	0.1094	0.2127	0.1495
-Cell Motility	TOTAL	0.005774	0.003948	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	TOTAL	0.02198	0.002231	0.008553	0.00652	0.02033	0.01939	0.01349	0.01416	0.01117	0.01362	0.01074	0.01165
-Cell Communication	TOTAL	0	0	0.0001343	0.0001401	0.0004163	0.0004149	0.01002	0.01068	0.01203	0.01623	0.02316	0.009504
Metabolism	TOTAL	0.4694	0.5768	0.4642	0.5448	0.4562	0.5055	0.2467	0.2735	0.1983	0.1859	0.2027	0.2622
-Membrane Transport	TOTAL	0.02728	0.05984	0.02216	0.01667	0.02036	0.01475	0.002004	0.001771	0.002954	0.002089	0.001413	0.0005023
-Central Carbon Metabolism	TOTAL	0.1469	0.1182	0.1318	0.136	0.1394	0.1214	0.07181	0.08725	0.04109	0.04458	0.06289	0.1122
-Energy Metabolism	TOTAL	0.03869	0.02724	0.01536	0.02822	0.01517	0.01584	0.01373	0.01509	0.01334	0.009329	0.00532	0.01685
-Biosynthesis	TOTAL	0.07321	0.1824	0.1319	0.176	0.1208	0.1541	0.04177	0.04587	0.04983	0.04303	0.04536	0.03489
-Other Enzymes	TOTAL	0.1509	0.1712	0.1616	0.1917	0.1357	0.1527	0.1084	0.1162	0.09037	0.08575	0.08088	0.09055
Organismal Systems	TOTAL	0	2.626e-11	0.002386	0.002586	0.00209	0.002489	0.03535	0.03439	0.03127	0.03464	0.03227	0.02841
-Immune System	TOTAL	0	0	0.0009668	0.000631	0.000625	0.0006707	0.01542	0.018	0.007369	0.007323	0.007547	0.005237
-Endocrine System	TOTAL	0	0	4.98e-05	5.715e-05	0.0001228	8.524e-05	0.007242	0.00536	0.003251	0.004384	0.001642	0.004011
-Circulatory System	TOTAL	0	0	0	0	0	0	0.00129	0.001209	0.002596	0.004228	0.001725	0.0006154
-Digestive System	TOTAL	0	0	0.0001052	5.699e-05	0.0002664	0.0002882	0.002188	0.001523	0.00619	0.006202	0.004119	0.001779
-Excretory System	TOTAL	0	0	0.000229	0.0003731	0.0004489	0.0005049	0.002285	0.002267	0.00225	0.003291	0.002088	0.001693
-Nervous System	TOTAL	0	0	3.127e-05	5.604e-05	0.0001602	0.0001915	0.00311	0.002833	0.002859	0.002285	0.001671	0.001923
-Sensory System	TOTAL	0	0	3.144e-05	5.695e-06	6.45e-05	2.494e-05	0.0001346	0.0001527	0.0004877	0.0007059	8.994e-05	1.094e-05
-Development	TOTAL	0	0	0	0	0	0	0.001081	0.0008933	0.001065	0.001322	0.00196	0.001341
-Environmental Adaptation	TOTAL	0	0	0	0	0	0	0.0003441	0.0002972	0.0002946	0.0003436	7.249e-05	0.0001025
Human Diseases	TOTAL	0.0416	0.004859	0.01321	0.01887	0.0144	0.01503	0.074	0.06703	0.06498	0.05908	0.06685	0.04345
-Cancers	TOTAL	0	0	0.0006582	0.0005482	0.000496	0.0003521	0.007854	0.007768	0.006497	0.006872	0.003968	0.002893
-Immune System Diseases	TOTAL	0	0	0.0001781	0.0004069	0.002758	0.00316	0.002601	0.002378	0.0105	0.007407	0.001007	0.005936
-Neurodegenerative Diseases	TOTAL	0	0	0.008752	0.009488	0.006885	0.008148	0.03489	0.02935	0.02124	0.01787	0.02249	0.01068
-Cardiovascular Diseases	TOTAL	0	0	0	0	0	0	0.006112	0.003274	0.006517	0.004315	0.007548	0.003624
-Metabolic Diseases	TOTAL	0	0	0	0	0	0	0	0	2.99e-05	3.029e-05	1.765e-05	9.138e-06
