K14224	Te(Uuc)e1:tE_UUC_E1
K01866	Tys1:YGR185C
K02924	Rpl39:YJL189W
K00974	Cca1:YER168C
K01922	Cab2:YIL083C
K12845	Snu13:YEL026W
K05765	Cof1:YLL050C
K11313	Spt3:YDR392W
K14307	Nup49:YGL172W
K03267	Sup35:YDR172W
K13025	Fal1:YDR021W
K00948	Prs3:YHL011C
K06173	Pus1:YPL212C
K14004	Sec13:YLR208W
K07974	Ras1:YOR101W
K04564	Sod2:YHR008C
K01187	Ima2:YOL157C
K14565	Nop58:YOR310C
K02925	Rpl3:YOR063W
K09498	Cct6:YDR188W
K03495	Mto1:YGL236C
K12868	Syf2:YGR129W
K03030	Rpn11:YFR004W
K13953	Adh2:YMR303C
K02951	Rps12:YOR369C
K11681	Swr1:YDR334W
K11121	Hst3:YOR025W
K13989	Dfm1:YDR411C
K10956	Ssh1:YBR283C
K10967	Ktr3:YBR205W
K00728	Pmt3:YOR321W
sce_YML104C	Mdm1:YML104C
K03017	Rpb9:YGL070C
K13954	Adh4:YGL256W
K15543	Ref2:YDR195W
K13939	Fol1:YNL256W
K01835	Pgm3:YMR278W
K12774	Mam1:YER106W
K04564	Mrp1:YDR347W
K03135	Taf11:YML015C
K00100	Aad3:YCR107W
sce_YDR016C	Dad1:YDR016C
K01530	Dnf1:YER166W
K14563	Nop1:YDL014W
K08734	Mlh1:YMR167W
K07974	Rhb1:YCR027C
K12416	Swm1:YDR260C
K14568	Emg1:YLR186W
K02136	Atp3:YBR039W
K10846	Rad2:YGR258C
K02923	Rpl38:YLR325C
K02155	Tfp3:YPL234C
K06647	Mbp1:YDL056W
K00763	Npt1:YOR209C
K00521	Fre6:YLL051C
K11667	Ies6:YEL044W
K13108	Pml1:YLR016C
K07975	Rho2:YNL090W
K14237	Tv(Aac)g1:tV_AAC_G1
K12881	Yra1:YDR381W
K02900	Rpl28:YGL103W
K03021	Ret1:YOR207C
K14230	Imt1:tM_CAU_O1
K00134	Tdh3:YGR192C
K11996	Uba4:YHR111W
K00414	Cor1:YBL045C
K05605	Ehd3:YDR036C
K00616	Nqm1:YGR043C
K01196	Gdb1:YPR184W
K11684	Bdf2:YDL070W
K02607	Orc5:YNL261W
K14229	Tk(Cuu)e1:tK_CUU_E1
K14229	Tk(Cuu)e2:tK_CUU_E2
K01930	Met7:YOR241W
K01247	Mag1:YER142C
K09830	Erg3:YLR056W
K14288	Los1:YKL205W
K04802	Pol30:YBR088C
K12855	Prp6:YBR055C
K13519	Ale1:YOR175C
K13339	Pex6:YNL329C
K07976	Sec4:YFL005W
K11756	Rsc1:YGR056W
K12882	Sto1:YMR125W
K00237	Sdh4:YDR178W
K01409	Kae1:YKR038C
K00088	Imd3:YLR432W
K14227	Ti(Aau)b:tI_AAU_B
sce_YJR004C	Sag1:YJR004C
K03860	Gpi1:YGR216C
K14227	Ti(Aau)g:tI_AAU_G
K14227	Ti(Aau)d:tI_AAU_D
K00550	Opi3:YJR073C
K01090	Ppg1:YNR032W
K13357	Spo1:YNL012W
K02868	Rpl11a:YPR102C
sce_YNL225C	Cnm67:YNL225C
sce_YHR193C	Egd2:YHR193C
K08681	Sno2:YNL334C
K02132	Atp1:YBL099W
K01802	Cwc27:YPL064C
K11273	Chl1:YPL008W
K07739	Elp3:YPL086C
K02261	Cox2:Q0250
K09265	Arg80:YMR042W
K07178	Rio1:YOR119C
K02207	Cdc34:YDR054C
K14554	Utp21:YLR409C
K14170	Pha2:YNL316C
K08139	Gal2:YLR081W
K14223	Cdc65:tQ_CUG_M
K14221	Td(Guc)k:tD_GUC_K
K00062	Ara2:YMR041C
K14221	Td(Guc)o:tD_GUC_O
K01507	Ppa2:YMR267W
K14221	Td(Guc)m:tD_GUC_M
K14171	Ahp1:YLR109W
K00100	Fox2:YKR009C
K01268	Lap4:YKL103C
K14221	Td(Guc)d:tD_GUC_D
K11269	Ctf18:YMR078C
K00863	Dak1:YML070W
K00643	Hem1:YDR232W
K05531	Mnn10:YDR245W
K14570	RNH70:YGR276C
K14227	Ti(Aau)p2:tI_AAU_P2
K07976	Ypt52:YKR014C
K08139	Rgt2:YDL138W
K09104	Cbf1:YJR060W
K02606	Orc4:YPR162C
K08139	Hxt15:YDL245C
K14376	Pap1:YKR002W
K10625	Ubr1:YGR184C
K00671	Nmt1:YLR195C
K03872	Elc1:YPL046C
K14539	Lsg1:YGL099W
K00830	Agx1:YFL030W
K05355	Coq1:YBR003W
K08516	Ykt6:YKL196C
K03885	Nde2:YDL085W
K10524	Nrk1:YNL129W
K00003	Hom6:YJR139C
K02138	Atp7:YKL016C
K01476	Car1:YPL111W
K11776	Swp82:YFL049W
K08504	Bet1:YIL004C
K05284	Gpi14:YJR013W
K03350	Cdc27:YBL084C
K14962	SWD2:YKL018W
K01515	Ysa1:YBR111C
K14227	Ti(Uau)l:tI_UAU_L
K03283	Ssa3:YBL075C
K03115	Ckb1:YGL019W
K14227	Ti(Uau)d:tI_UAU_D
K03348	Apc1:YNL172W
K03434	Gpi12:YMR281W
K01869	Cdc60:YPL160W
K14231	Tf(Gaa)h1:tF_GAA_H1
K14231	Tf(Gaa)h2:tF_GAA_H2
K00866	Cki1:YLR133W
K08141	Mal11:YGR289C
K11888	Sts1:YIR011C
K14220	Tn(Guu)p:tN_GUU_P
K11786	Sth1:YIL126W
K14220	Tn(Guu)l:tN_GUU_L
K14220	Tn(Guu)k:tN_GUU_K
K14234	Tt(Ugu)g2:tT_UGU_G2
K14234	Tt(Ugu)g1:tT_UGU_G1
K02141	Atp14:YLR295C
K14220	Tn(Guu)g:tN_GUU_G
K14220	Tn(Guu)f:tN_GUU_F
K11215	Ste12:YHR084W
K14220	Tn(Guu)c:tN_GUU_C
K11562	Nnf1:YJR112W
K11379	Yng1:YOR064C
K02830	Rad17:YOR368W
K01736	Aro2:YGL148W
K03848	Alg6:YOR002W
K01530	Neo1:YIL048W
K02984	Rps1a:YLR441C
K01834	Gpm3:YOL056W
K14234	Tt(Ugu)q1:tT_UGU_Q1
K11763	Rsc9:YML127W
K03031	Rpn12:YFR052W
K14152	His4:YCL030C
K08783	Ecm14:YHR132C
K02180	Bub3:YOR026W
K06628	Cdc45:YLR103C
K09419	Hsf1:YGL073W
K14237	Tv(Aac)k1:tV_AAC_K1
K14237	Tv(Aac)k2:tV_AAC_K2
K03847	Alg12:YNR030W
K00281	Gcv2:YMR189W
K07952	Arl3:YPL051W
K14575	Afg2:YLR397C
sce_YNR067C	Dse4:YNR067C
sce_YIL011W	Tir3:YIL011W
K06679	Mad1:YGL086W
K11294	Nsr1:YGR159C
K00100	Aad10:YJR155W
sce_YAL044C	Gcv3:YAL044C
K02304	Met8:YBR213W
K01880	Grs2:YPR081C
K12613	Dcp2:YNL118C
K11775	Snf12:YNR023W
K00591	Coq3:YOL096C
K06013	Ste24:YJR117W
K10703	Phs1:YJL097W
K00965	Gal7:YBR018C
K11713	Cdc43:YGL155W
K12619	Rat1:YOR048C
K04564	Rsm26:YJR101W
K12626	Lsm7:YNL147W
K14228	Tl(Uag)l1:tL_UAG_L1
sce_YHR143W	Dse2:YHR143W
K00670	Nat1:YDL040C
K00995	Pgs1:YCL004W
K00924	Ssn3:YPL042C
K14405	Fip1:YJR093C
K02155	Cup5:YEL027W
K14225	Tg(Gcc)m:tG_GCC_M
sce_YMR305C	Scw10:YMR305C
K00772	Meu1:YLR017W
K14225	Tg(Gcc)e:tG_GCC_E
K14225	Tg(Gcc)b:tG_GCC_B
K14225	Suf16:tG_GCC_C
K02858	Rib3:YDR487C
K08331	Atg13:YPR185W
K00547	Sam4:YPL273W
sce_YDR077W	Sed1:YDR077W
K02910	Rpl31b:YLR406C
K03846	Alg9:YNL219C
K04567	Krs1:YDR037W
K04371	Kss1:YGR040W
K00161	Pda1:YER178W
K01230	Mnl2:YLR057W
K04640	Gpa1:YHR005C
K00908	Cmk1:YFR014C
K10772	Apn2:YBL019W
K06673	Scc4:YER147C
sce_YDR130C	Fin1:YDR130C
K01383	Bar1:YIL015W
K06674	Smc2:YFR031C
