UniProt	Protein ibaq.chimp
P04406	170152128.850337
P07737	125208223.803911
P62937	76677231.6273953
P14618	39424562.9525405
P06576	68210068.1586778
P11142	57791289.3114792
Q06830	30935659.6506458
P00558	39229922.0193164
P37802	43467467.8960529
P07195	36824362.0995905
P00338	29502528.7989016
P68104	44743667.8912963
P23396	23077476.7095781
P62258	27976586.1857248
P06744	26771472.5823781
P04075	19144091.1044931
P10809	16305679.9970218
P62304	37314687.2788053
H0YC77;E5RK63;E7EMC6;E5RJR0;E5RI05;E5RK69;P08133;E5RJF5;E5RFF0;E5RIU8;A6NN80	24870475.9748624
P63220	18043009.1585096
P62829	25517394.3305463
P09669	23695707.1123106
P62906	20843568.3214846
P50990	16006275.9857984
P25705	16977778.6180826
Q99873	5007226.46875031
P13639	22159427.419632
P46777	17763215.8271991
F5H6T1;P61160	19250039.1298503
Q15233	14587132.8411392
P40926	19190216.980368
O00231	3438722.88814823
P18124	18131018.9362897
P06748	18979606.8057333
O15145	18979539.8843378
P78371	13580775.3626199
P62942	23336487.4377534
P46778	14014213.2039039
F8VZ69;F8VR77;F8W0A3;Q9UQ80	13880220.4850017
P61978	14499606.5231398
P62847	13307464.2391196
P62910	11512955.74848
P07437	13195796.8037023
P28066	18259569.1411321
F8WDR7;F8WEW2;F8WE84;B4DXW1;F5H3P5;P61158	20195847.9315277
P22626	12965702.6017287
H0YB22;P62263;E5RH77	10348297.3057963
D6R970;D6RC37;P53999	13507144.0275723
P62888	10401819.3883148
P25786	13706022.9592383
P07237	17614638.3096658
Q12906	10436005.0878442
P46782	10898445.3295072
P61604	6365221.2929419
P62750	8447283.63634915
P54819	7143884.60036774
P60174	8406920.03036136
B1AHC8	12768140.4413644
P50991	10086002.857129
Q06323	11699577.0095047
P42224	7460807.3857559
P49368	10704223.1794071
O15144	14360797.9349154
P23284	17682254.5477496
P62899	9667616.63000735
P27635	11567033.5249907
P48047	14613515.5823673
P38646	11559373.4051464
P47756	13949001.8503807
P20618	12089014.4556222
P37837	10872282.4963698
P18669	3068973.74019389
P49720	14177442.3626041
Q00839	12274020.5303323
P04233	13504080.0112396
P52272	14019091.4458283
P14866	11572352.7185975
Q5T0R7;Q5T0R6;Q5T0S3;Q5T0R8;Q5T0R1;Q5T0R9;Q5T0R3;Q5T0R2;Q01518;Q5T0R5;Q5T0R4	11257066.3382995
O00151	4993453.12670862
P26373	4606931.91119243
E7EU23;Q5SX90;Q5SX87;Q5SX91;Q5SX86;P50395	15723144.6031396
P15311	9630839.88156581
P52565	14688844.656522
F5H0C5;F5GWA7;F5GY37;F5H2D2;J3KPX7;U3KPZ5;F5H3X6;Q99623	11609957.9518207
P62701	7350977.42704338
P11021	17157120.3122825
P10599	11679538.9162973
P49721	9367427.46962086
P09429	10349818.3274076
P07108	12154727.3309023
Q9C037	19403996.5385881
P35579	9630410.10146242
P20700	10715266.3386985
P09972	7567945.30448921
O15533	8680786.36684329
P36542	11470618.6774124
P48643	9377810.56359507
P52566	7343086.06076209
P40939	10180002.5569263
P01903	10792562.8942792
P48735	4536137.75836709
E9PH29	5776950.86793343
P46781	10675917.8874938
P25788	11942989.1938808
P28070	11228376.5154968
P55084	8900010.06284428
P62753	9794356.33129741
P28838	12075731.7704679
P50453	26357913.0265985
Q9HB71	5953174.50531182
P13010	9623566.65497564
E9PG82;C9J0K6;P30626;B4DKK2;B4DHQ6	8211426.30286494
P78417	5741081.30678579
H9KVC3;H9KVD3;H9KVC9;H9KVD0;H9KVC4;H9KVC7;P20591;F8W8T1	3753970.77803322
H0Y8R5;D6RDI0;D6RF23;D6R9Z1;H0Y8W2;D6RHJ5;D6RHH4;E9PD14;D6RBD0;D6R909;D6REE5;D6RFX4;D6RAC2;D6RAU2;P63244;H0YAM7;D6R9L0;H0YAF8;H0Y9P0;J3KPE3;D6RFZ9;D6RGK8	8350595.17547975
P00492	13120782.9091078
P50914	8961625.90484267
P39023	10266676.3020028
P36957	6567548.55729622
P13073	11726541.7613085
P37108	8399873.86573356
P07910	11717514.6274876
P62306	3667932.59768189
P14317	4980879.04351471
P55072	10232392.9319233
P56385	4474228.99774871
P11310	1317788.24665755
O15511	5981904.94532633
P06753	9057996.77541481
P29350	4943384.5045148
P07954	5851196.90967157
B4DVE7;Q5T0G7;P50995;Q5T0G9;H0Y6E1	6325712.54219166
O00221	5009337.68165465
P31146	6595260.88767017
E7EQR6	6981341.7682133
P50213	4365605.65242175
P14625	9048710.10332204
P62308	2355817.49189718
P40227	7627156.7761255
D6RBL5;E9PHT9;P08758;D6RCN3;D6RBE9	7652057.60716655
P14868	4907933.19822069
O00303	8811987.35001521
Q9Y265	5934745.430311
C9JDV1;C9J9B9;C9JNQ1;C9JU59;E7EMG9;P33241;C9JKF7;E9PBD8	14677436.3129504
P02545	16932059.1825998
P23246	7530043.76314979
Q9Y230	6108945.46229252
P09211	5683937.52639707
P61769	14331295.333051
Q96KP4	2806800.55608848
P62316	9913559.86444941
P14324	4669875.30411896
P31939	7788965.70651021
P09874	3544066.95248581
P62913	11945001.588068
Q16836	5165206.294199
O43909	4022491.20547285
P26583	5559385.52079821
P55209	8654728.96596922
P43490	3479789.08321984
P34897	5447216.85464454
O75390	9158216.54063735
P23381	22127924.8720555
P22234	4644165.4409658
P25789	6175289.84946392
P49411	5488938.8740244
Q99714	8515888.32188744
P09525;Q6P452;B4DDF9	5980151.14107782
B4DT77;P20073;B9ZVT2	5026049.50052554
Q9H4M9	6921823.39090342
P99999	5998824.73247964
P12004	10803569.8157578
Q14974	5608611.76647467
Q14103	6455808.50339918
Q02790	3812804.96469325
P07900	6043417.55242854
F8VY00;F8VWQ0;F8VVM2;Q00325;F8VWR4;F8VYH5;F8VZL5	4388304.91796157
D6RAV0;D6RFH2;D6RDN0;Q9UKY7;D6R9V8;H0Y8K3;D6R973	7575668.14926179
P62314	6776741.56406364
Q8NC51	6786981.86573665
Q07812	7737721.23158603
P29692	6933180.84409936
P53396	5117427.23457012
Q9H0U4	6009376.71282772
P23526	7520239.00388612
Q9UKM9	5830048.47777023
P00505	5706265.80893678
P62081	5605651.21900041
P30040	5852674.4247284
P61086	3111191.647416
Q04837	7461479.10326604
D6RBK0;C9JZ20;B4DY47;C9JW96;P35232;E7ESE2;E9PCW0	5822498.34543983
F8VZ58;F8W0W4;F8W0C7;E9PAV3;F8VNW4;H0YHX9;F8W1N5;F8VZJ2;Q13765;F8W029	7836559.73772149
P62249	6501131.5070832
P63104	5688602.46467859
K7EL96;K7EJD0;O60664;K7ER39;K7ERZ3	3023048.05316386
H7C3W8;B8ZZ38;P42704;C9JCA9	6251346.22768136
P25787	7099087.97685356
P28065	7120761.88651675
P24534	5403739.51507946
P09622	4280080.2139389
P33992	4450883.98700774
P09651	7456277.09324729
F8WCY3;C9JDM3;C9JGV6;C9JIC6;C9JJ34;C9JXG8;H7C137;B3KUP2;P43487	4116868.33311196
P16401	7054981.98337547
O75947	6861931.97862042
G3V2K7;P49755	7395903.41027122
O43707	5491850.83051601
P22695	6156405.14696151
Q16698	3645397.87079357
Q15181	5271345.68058948
P62310	3304842.47472514
Q01813	6223670.8956884
P52209	7512334.70581026
Q01469	43799279.1787871
P61586	7365652.82166613
P31930	6067500.60174036
P05455	6694916.0570414
I3L3B0;I3L3Q7;Q07021	3536185.61014354
P13667	6106868.48912265
P62826	4082499.70608917
Q5T6W8;Q92688	3889824.33617244
P51572	3436221.95146377
P35268	3062328.96300869
P54577	3359989.6269583
Q15717	5143725.99131695
D6R9L5;H0Y993;H0Y8X0;B4DFG0;D6RDA2;P35659	4106008.25170141
P32119	1691872.72129913
Q9Y285	3413145.65340933
Q9BV40	7365253.97993274
P31948	3807941.05609431
P11586	4336484.78974712
P60228	5403590.16927635
P27824	4322681.18748641
P28062	4388936.67893358
Q16543	5481731.56795693
P11836	2745475.94734259
Q12931	2768245.70582477
P11177	5992489.60494503
H7C2U6;C9JDV8;F8WCR5;Q9BPW8	3224684.50051836
P31943	4338475.42550091
P05388	5515952.95993265
P63279	2667745.62403169
P29401	5615508.36105368
Q9Y266	5187065.68012518
H7C597;Q7KZF4	5687099.48029633
P21796	4982933.60405164
P38117;M0QY67	3773683.1969535
D6RD66;O75083	5201201.42776702
P30153	4687861.87794287
P40925	4476753.11716272
P09382	9588482.14393788
H7C310;C9IY94;C9JT15;H7C2Y0;C9J2Q4;C9JB25;F8WCX3;F8WB65;C9JQJ4;C9JSE7;C9J938;B5MD47;C9JFT1;H7C1T1;Q15019;C9JG93;B5MCX3;C9JZI2;C9IZU3	3284320.74842469
Q99798	2955263.24051168
O43143	3402318.94401543
O00487	4907765.4537327
P60900	5073162.06964513
O43776	3659752.97120275
P61254	2920613.45762137
Q9UBQ7	4525308.95849499
P00491	5213390.30954203
P09012	5159750.913627
Q15084	3005159.45257039
P43686	3836970.43672898
P08865	4189426.328624
P42766	2306960.64385083
O14818	4165009.79260144
Q08211	4558425.34232603
B4DDP6;F8WBG8;F8WB73;H7C111;B4DEM2;F2Z2V3;F2Z3E3;F8WCK3;Q9UJU6;C9J7P1;F8WFE1;H0Y5J4;B4DDD6;F8WBB2;F8WC20	3718519.29128873
P27797	5651906.45815592
Q08257	6164876.95747973
D6RD60;D6REP8;H0YC49;D6RC06;P49773;D6RE99	10454242.2711821
A6NJA2	3000334.09205823
E7EQS9;Q9Y3I0	6480457.84710034
Q9Y277	3873758.74277072
Q1KMD3	3711400.20920268
E5RHG6;E5RIX8;E5RJD8;E5RIW3;E5RJM1;O75347;B4DT30	3865629.86220527
P63167	3966184.50736562
H0YFF6;F5GZE5;Q5JXL7;E7ES33;E7EPK1;H0Y3Y4;Q16181;G3V1Q4	3704719.5587923
O43242	4575214.76194457
P09132	2524773.40157979
P14314	4874280.8897902
P54727	3712312.39002651
P55060;B4DUC5	3706855.79242784
O14980	4471974.01869075
Q13011	417367.331494024
F8WED0;H7BZ72;Q9Y2X3	2830420.96149509
P17858	3222037.83406274
P62277	10380632.1819317
Q9UJ70	1067541.69359271
Q00688	3908373.17658451
P49736	2785406.53408934
J3KQ32;C9JCJ9;Q9NTK5;C9JTK6	4222261.06521465
Q12905	4561520.33548941
D6RDG3;H0Y9Y1;P20290	5223343.24769342
P60866	8270517.63367624
H0YLU7;H0YNX6;H0YMU8;H0YM12;H3BV91;H0YK49;H0YL12;P13804;J3KN60;H0YKF0;H0YL83	3397189.54464954
D6RAE9;D6RFI0;D6RDG7;S4R2X2;Q9H9B4;H0Y9J5	4483565.43878935
P24752	2834705.33912633
Q16740	2722109.34236475
Q15056	4821263.53141031
G5E972;H0YJH7;A2T926;P42166;P42167	3230522.06699273
P63000	5723612.81483157
P09661	3736475.27484498
P13284	3318965.04733946
P35637	4985617.21236986
P49257	1431202.07317822
Q16531	3221672.92717941
P26196	4262299.27737413
P14927	2940013.92572941
Q9Y4L1	6128272.0905369
Q9Y5S9	3480369.80927822
H3BT58;Q14019	3832620.64591673
H0Y8C6;C9J875;E7ESZ1;C9JMV5;C9J583;C9JXE0;C9JZ53;E7EX05;F8WF30;E7EV12;E7ESA1;E7EQT5;C9JQT6;H0Y3V4;E7EWK4;B4E0R6;O00410;E7ETV8;C9JZD8;E7ETV3	3401819.07347092
A8K8G0;P51858	3644218.04627187
P30101	3875990.88060518
D6RA21;Q86W51;E7EPW6;H0Y9X3;O75340	3101946.05292678
P14854	3621452.31996132
O75367	2854949.59957504
Q92878	3184826.74929524
Q15046	3460905.96864197
P61313	3342435.31376274
B7Z4S1;E5RJ93;E5RK46;E5RFI1;P23193;E5RIS7	2937702.22289479
O00299	2966345.94834214
P04792	1926540.40708836
Q9UNM6	2810650.0666209
P31942	4089446.62200733
P17980	4269622.35000699
Q14152	3796390.26511627
G3V279;P84090	3388726.55562297
Q03252	3970313.57447761
P23368	2092549.21271101
P61289	2978507.70996103
Q13263	2972836.14209913
O00483	3049280.30147865
O00232	3881414.93971869
Q02878	4183848.97446614
Q9BS26	3162724.55270086
P54886	3780249.61298549
P00387	2401828.08416835
P05198	4673939.77048832
P41240	3813250.0093884
P30050	2273533.07184157
Q9UKK9	1963925.37192655
O95336	1698599.71406919
P17931	2548194.64650193
P49748	1979557.35692474
G3V3W9;H0YJG6;H0YJG7;B4DUR9;H0YJU2;H0YJ63;G3V438;O95433	2390666.14686313
H0Y3T6;Q9BRK5;G3V1E2	12291356.7743911
P54136	3814108.6572149
P61106	3743069.2039443
Q9P0L0	2749631.9114694
H3BQK6;B4DVL1;H3BNF6;H3BNF2;H3BUP3;H3BRL2;H3BQE7;H3BP76;H3BUK7;Q14764;I3L155;H3BPZ2	7212897.75305747
P08621	3561089.46441794
