UniProt	Protein ibaq.chimp
P26599	4142945.94044502
Q9NS69	3175879.18189132
Q04760	3510573.80421366
P31153	4669797.2256563
P49189	2267815.88345437
Q53EL6;Q5VZS7	2662959.85133903
F6T1Q0;Q6L8Q7	257082.530622017
B0QY89;H7C133;C9JHP4;B0QY90;H7C3A0;C9K0Q7;H0Y7E6;Q9Y262	3434650.02935472
Q16851	2180305.05635545
P04439	2507522.5618849
P36871	2224015.80127638
P49588	2325251.18829036
Q92499	2625181.51710217
Q07955	3925599.1473306
E7EPB7;H0Y7W6;E9PGQ4;Q96RU3	2985143.27769681
B0I1T2	4269658.86913565
B0YIW6;E9PK34;P48444	4784969.86692433
P12268	2925294.47999418
ENSG00000223380	6829899.52123957
E9PP73;E9PKQ1;E9PP63;P53618	3856437.99021592
Q07020	3558458.24971834
Q01105	2559802.45608327
K7EPX7;K7ESA9;K7EKK6;K7ELS3;K7ELH3;Q96BX8;K7ESI3	1731570.40794766
O95831	4203374.07492918
Q15691	3754548.22343216
P53004	6434319.51007854
P55786	3364685.36120312
O75663	889771.725883278
P51149	2369856.89567324
D6RAW4;H7C463;B9A067;C9J406;Q16891	1861925.20888476
P27348	5508539.22762495
H3BM18;H3BR65;Q16666;H3BR88;H3BVE6;E7EPR3	2924067.57719307
Q14697	3628618.31650973
P22314	2345146.05374925
P55809	1971450.90646281
P20042	3082161.72305481
H0YFT5;F5H3I6;Q86UX7;F5H1C6	2458039.85634772
P00367	3461438.10885812
P08670	34038836.9625489
K7EKN4;K7ER14;K7EMW8;K7EN52;K7ERG1;K7ENQ5;K7EQ08;K7EK18;K7EJZ2;K7EJV0;K7EL40;K7ER52;K7ELJ9;K7EIE4;K7EIR4;K7EPY1;K7ER34;K7EJL9;Q9UHD8;K7ENL0;K7EKF9;K7EJ51;K7EQD7	2904618.36781632
Q96AE4	3531845.44075139
P07814	2929970.62272373
P41091	3290378.00785791
P34932	3124915.72887479
O15371	2026246.31366351
O96008	2348655.85511948
Q9UMS4	3454207.4549449
P46063	3171641.09288193
P62195	3926046.71819647
P04080	959505.525452669
P41250	1704347.49323262
Q96AZ6	1507717.97250462
Q9Y333	2531729.92082932
Q9Y490	3230650.31927139
P62820	3904686.29571768
P09960	3689564.19655661
Q99729	3134205.2323086
Q92945	2329826.69727165
O75874	2175831.69305938
M0R0Y2;M0R058;M0QZM9;M0R027;M0R213;M0R031;M0QZN5;M0R0I4;M0R2M1;P54920	2322216.93657876
G3V589;G3V4Z5;G3V2U1;B4DJS7;G3V5U2;G3V5X9;Q9UNH7;H0YJF8	1798918.69072827
P50238	11419808.3604102
P15121	4119899.44259546
P07384	4209598.05626229
Q53GQ0	1833924.86681698
F2Z2Q0;H7C1F6;P30042;H7BYH1;H7C2G3	1801845.27385385
P62191	3480657.67828996
Q96PK6	2901099.87466614
P61981	3912011.90552065
P46776	2571821.75713479
H0Y653;H0YDU4;Q5JXT2;O00567	2649827.63639534
P41252	2729557.93433883
P33993	2999374.33676844
P56537	3143785.47237569
P49207	4468198.33740151
Q10713	1754031.71810516
Q96I99	3088609.00360468
P59998	3113325.69433075
P62995	2589109.55554302
Q01082	1038833.65905234
Q13200	3654308.41414079
P46940	3426988.75308062
O43633	2205119.69063923
P19623	2839091.383309
M0R1H0;M0R0P1;M0QXC9;M0R2B0;P22087;M0R2Q4;M0QXL5;M0R299;M0R2U2	2776714.14007492
P15927	2671814.2851895
Q99460	2520108.85513022
F5H6I6;Q86VP6;H0YH27	2563330.48999218
H0YJB9;G3V4E7;G3V4C6;Q9Y224	2612984.07337334
P47914	4399909.60958513
Q96HE7	2575406.63473824
B1AHE4;H0Y7N2;B1AHE3;Q9UBB4	973738.654834694
Q9NY33	1478207.81743835
O75533	3135559.89320538
O00571	3276788.92131414
Q04917	3687904.44219618
Q9Y6N5	1285328.77160807
P40306	2226634.14710073
H0Y938;D6RBG7;D6R997;D6RCL6;P35606;D6RBT6;B4DZI8;H0YAC7;D6RBZ7	2995222.56208641
M0R061;M0QXB4;O14579	3284518.60171222
Q14232	653803.889129828
B8ZZQ6;B8ZZA1;H7C031;B8ZZW7;F8WCE8;P06454;H7C2N1	1222483.66793193
H3BRV9;P61970	2208943.82353218
P62993	1989060.77207667
P52701	2303067.94703779
E2QRG8;B7Z510;B7Z332;Q00765;B7Z681;H0Y8J8	2478700.55284014
Q96IU4	312095.086351164
P36551	1369338.78534108
C9J9T4;C9JS04;C9JEL4;C9JZQ9;P20592;B7Z5D3	265164.169734318
O43837	1467057.17958251
P08237	1115691.78265394
P26639	1985378.51366012
ENSG00000115128	3620336.52286483
G3V314;H0YJL6;B7Z3I5;G3V2K5;G3V535;G3V3G2;Q9UI08;H0YJN0;G3V5F7	3865099.66357364
Q9H223	1397100.7907886
O15143	2687789.11185986
E5RIZ6;E5RIF8;E5RH00;E5RI46;E5RH42;Q5HYE9;Q13283;E5RJU8;F5H4D6	2457248.86546919
Q00610	3984130.47503473
F8VVB7;F8VTT6;B4E3S0;F8VRE9;F8VUX3;F8W1H8;Q9ULV4;F8VV53;F8VSA4;H0YHL7	1976841.69536398
D6R937;Q12904	3075216.51751072
Q13177	1849996.84116075
P30049	1609750.73669535
Q9UHV9	1908209.31791776
P23528	3318992.94836641
O95372	3860257.35313598
P16885	2570165.22337172
P27144	2672345.99407496
Q01081	2106963.03244361
P10768	1669830.87466863
P10515	2385244.43105118
H3BND3;H3BV41;O43809	4121713.38029534
P36776	1454598.36434472
P43243	2538188.71732013
P09104	3092523.21860496
P24666	2132450.77523066
E9PAW1	2682891.93050942
Q13347	2766632.4781761
P18754	1977397.6606008
Q9NQR4	1287407.58128695
Q13435	2701820.57695472
P56192	1967274.41867665
P53621	2694315.06552348
P35998	3402159.50426625
P04843	2667795.6711658
P55036	2517877.85156391
O75475	1124553.4217932
Q04446	948059.213211613
P52907	2904713.87926066
P84103	3798140.12334238
O43447	3269440.71580292
P55957	2107478.76561605
H0YIZ6;H0YJ09;G3V5A5;G3V541;G3V4X7;G3V5Z2;Q9H6D7;G3V2I5	1422329.2577274
E9PRI2;B4E2Q4;E9PRY0;E9PN86;J3KNJ2;Q7L2H7;E9PSB3;H0YCQ8;E7ESM3	2462330.82472133
P30043	2150359.90713763
H0YE29;Q07960;E9PNR6	2390642.07767488
Q9NZ45	3105872.28490326
B7ZLZ0;K7EJC2;K7EQR5;E7ERB7;Q9P107;K7ELE8	445020.455546072
P26368	1505758.32684909
Q14566	2445759.0612037
O15382	2105658.50277257
P29728	910408.231958776
Q5T123;Q9H299	5106025.02325848
O43390	1727070.35318648
P42765	2881557.90832406
H0Y6C1;H0YDA5;Q5QPD0;Q5TFE4	1488861.57776892
P00390	1607746.92206707
P17844	3385528.15084311
B4E1K7;Q9UJZ1;F2Z2I8	1901873.63623102
P10644	2886278.62637447
O60506	1187785.98471071
O95861	1493960.80365823
I3L1H3;I3L409;I3L3U8;I3L2T6;I3L329;I3L1R0;I3L133;I3L2E2;Q99732;I3L1I9;I3L1P1;I3L2T1	1994992.3519051
D6RII0;Q8WU39;H0Y9L3	2125249.63030181
K7ERW5;O43765;K7EMD6	20920405.0132401
P48637	1243036.58586901
Q02978;I3L1P8	1623717.67628318
P51665	2332606.87635426
Q13561	1958367.6233001
P27816	2285357.25696311
Q9NSD9	2115859.0973118
Q9HCC0	1135502.17268715
Q8WUM4	2469824.6845234
Q9UNK0	1422852.06801989
K7ERD2;K7EQ02;K7EQ55;K7EK33;Q96EP5	1908785.48786724
Q15029	1696436.47199845
P53597	3168127.61004512
P18031	1068686.32231699
Q9ULC4	1616304.11018534
P11172	1768662.07006166
P19525	1778726.38543623
B0QZK8;Q5SWC8;B0QZK6;B0QZK5;B0QZK7;B0QZK4;Q5SSJ5;B0QZK9	2721770.22731739
Q96CG1	2526945.05506892
P49591	1472428.46067948
P02786	2431704.59777777
P11413	2445250.87346453
P27694	1867185.93506368
Q06210	1366083.29190298
P28331	2248036.39974983
Q9BWD1	2351965.59488974
P09326	1073857.21917576
Q96FW1	2602109.65676824
Q9UBX3	1541859.0966245
F8WAR1;C9JWQ9;C9JRN3;U3KPZ2;C9JHG2;Q14699;G3XAJ6	2007424.32978347
P31946	3049889.01276598
P06493	2067842.53923113
E9PHS0;F8WDS9;H7C2E3;O43813	248562.706296569
Q14498	2171624.53935749
P62333	3530763.02476772
Q99471	1081544.77403976
K7EJ99;G3V162;B1AKP7;K7ENM9;K7EJM5;K7EL26;B4DJ45;Q13148;K7EN94	940637.908131539
A8MZI2;Q9Y512	2032488.93078068
O75937	1815933.37182659
P61513	1440994.47356404
Q16629	2074466.0529845
P55265	1453879.55981844
P38606	1224351.45205276
D6RFH4;H3BUX2;O43169;J3QR91;J3KNF8	1729090.03633318
F8WD73;C9JRZ6;G3V1K1;Q9NX63;F8WAR4	1593249.41671942
E9PJM7;E9PJK8;E7EMB1;H0YDK5;Q9UH65	2015438.33355967
O75439	1355641.21037059
Q14240	1976793.64402709
Q9H444	2560830.49643448
P51571	660800.749226994
Q9UBE0	1442564.8736528
Q5T3N1;P04083;Q5T3N0	200047.300526192
S4R3X6;F5GYR8;O60763;H0Y7C0;F5H4X1	2371711.58784172
O76003	1717794.48528605
F8WEH9;B4DKT0;Q9H8Y8;F8WEG2;F8WBR9;F8WF79	1740335.14602423
P04899	4437737.00655871
Q92841	2333991.9586944
P61009	3071192.89182506
Q9UKD2	1437114.2824538
C9JWF5;C9JFN4;C9J188;H0Y503;Q7L1Q6;C9JV57;C9IZ80	3320292.34800858
Q12874	2225583.54378827
O15400	849086.255346719
Q02750	1737409.80687231
M0QYG8;M0QYJ8;M0R0C1;M0R2P2;M0QXC2;M0QXZ6;M0R1D2;M0QYD5;M0QX47;O60234	1167420.38519557
P46109	2061425.2075943
O15372	1993905.57351899
C9J5C3;C9JSA3;C9JND6;C9J932;H7C5M9;C9J6F3;C9J363;F8WDF3;Q9BUL8	2459147.31389133
P51148	2061471.49794999
P35244	1522068.67488202
P61088	1017912.95327374
D6RGF4;D6R9I9;H0Y990;P61221	1319654.1483677
P15153	1908385.55899818
I3L223;Q96AG4;I3L2E8	1985136.1063581
P33316	147639.08049966
Q9UIJ7	4127393.31650938
Q9H2U2	1195471.74581815
J3KTD8;H3BSC0;J3KS23;Q13951;J3KRT0	469375.859084161
P22307	1246777.93404009
P15374	2503913.53903824
P62241	3545998.80431275
Q12907	1814934.82474606
I3L234;I3L3C4;I3L1Y4;B4DJ58;I3L3U9;I3L1A3;I3L2F2;O76021;J3QSV6;J3KPU7;I3L4T8	2261046.81975407
I3L1I0;I3NI27;I3L1F4;B7Z403;I3NI24;I3L3G0;K7ENF2;I3L277;I3L3Q4;Q9HC38;I3L2C2	2424302.16535157
Q96C19;H0Y4Y4	3251968.13332895
P55884	2276921.65995025
P04632	2323190.47449497
Q9NVJ2	2223850.4717777
P47897	1643836.59147642
Q13043	1451640.79221689
P42126	373809.642842217
P22570	1913340.23078168
Q92734	1604218.1497581
P52888	1052371.49846121
Q86X55	1741296.89358386
O95202	2119791.17759703
O96019	1770903.21869946
P14735	1624415.50995208
P23919	4016888.17665109
I3L4S0;H3BRJ7;Q96QK1;I3L4P4	1508635.61963167
O00161	1398965.92727216
Q9P2J5	1643025.40338481
O75832	1280561.62443316
P49321	1580412.86452202
P09496	2260200.06233815
O75368	1355194.87168994
P25205	2373574.1564254
O75608	1315007.42598127
H7C118;H7C003;B5MBZ8;B5MCY6;C9JRC4;C9JD73;C9J177;Q15435;H7C3Q5	2932868.13158847
Q92947	1777978.22832971
E5RG97;H0YB26;E5RHZ0;E5RJ85;E5RFT7;O75131;E5RG68	1176420.00301334
Q00059	1170529.79130919
Q08623;E7EVH9	1453690.6038525
Q07666	2517514.04640013
Q9Y2Z0	2058287.95769263
P49327	1211448.36469247
E9PMH2;E9PPD7;O00170	852998.453619568
B7ZKM0;F8W667;F8VV04;H0YHU8;F8VVK9;F8VZM2;Q15020	1124787.8034664
O75995	1485578.12308421
Q9H845	1109628.83508695
Q96CW1	1879788.298312
F8VNP8;Q16630;F8W084;F8WJN3	2120852.68763345
O60925	1301995.88255252
Q9NP72	1312415.50082872
P30740	4442188.6795536
Q13185	1078902.08337363
Q92608	1636155.78780843
P19388	1471204.83438487
Q9BZQ8;H0Y7M9	1941238.71975931
Q9UHX1	1901244.91126321
P11387	1651122.59591715
P31689	1900727.48488608
E7ETX1;Q9UBV8	1050204.19984343
F8W156;F8VVA7;F8W651;F8VYE0;B4DHZ0;F8VXR1;F8VS17;B4DDX8;F8VYZ4;F8VXB1;P61923;F8VYK5;F8VWL5;F8VUC5	2434193.67906589
F5GX39;Q15363;E7EQ72	1620631.88125714
Q6NVY1	392327.901449311
P40429	2694652.26762385
Q9P2R7	1708786.06442852
O14929	2223275.03983274
O00154	601373.367349956
Q06203	944335.261934681
P17174	1037624.3432134
O43665	447589.971953848
E9PQB6;H0YCD5;Q9Y3B7	2066676.48284226
P33991	1837682.1296079
F8WBW6;Q13442	3244228.24156539
Q96G03	1689202.25343313
O60884	1877076.19854139
Q92598	1439335.11765614
F8VVL1;O43583	809384.006604347
Q16186	1899317.49766061
P68036	1483069.59520621
P54725	1437263.51066633
Q14683	1340796.84580352
E9PC62	1421987.51866501
Q16822	825424.980422661
G3V5A4;Q9Y5B9;G3V2X0;G3V401	2018452.34051358
P13798	825583.179776381
P47755	1990627.03343568
Q5JX61;H0Y524;Q5JX59;Q5JX58;Q5JX54;E7ENH5;Q5JX60;A6PVH9;Q5JX52;Q5JX55;Q5JX45;E7EV27;Q5JX44;Q5JX56;F2Z2V0;B0QZ18;Q99829;Q5JX57;Q5JX53	1523394.66025291
P09668	2906580.31794963
P29966	1612212.18750221
P12081	1555681.61999307
Q9Y570	1198411.08724393
P30085	3038094.11859392
E7ESU4;E9PJN6;Q9H0A0;E9PMU0	1119736.92602262
G3V448;Q9H3N1	842071.710641809
O60832	1415777.53443995
Q7Z3B4	1114318.00025601
B4DEK4;D6RC15;O60749;D6RBT1	2638495.15517295
E7EQ69;F8WCK0;C9J5J3;C9JZU6;B0AZT5;Q9GZZ1;C9J5D1	1255497.75530363
Q5Y7D6	1338481.40854047
P19367	1986138.21554142
O60610	1571274.04964604
Q9H4A4	758904.598715659
Q9UBT2	1103734.76463075
B3KYB7;B7Z7Q0;B3KYB6;P48739	1314729.27940108
F2Z2P5;H0YAV2;F2Z3Q5;H0YBZ3;F2Z2U2;F2Z3A2;Q969X5	1401577.25875415
H0Y6P3;P41218	132238.654883181
P11766	1183903.07236325
P61019	1572964.58832254
J3QLU7;H3BMU1;J3QQP8;H3BQ38;H3BQF7;H3BUI0;H3BPP6;E9PF00;P53990;J3KR23;F5GXM3	1935874.17849469
Q13247	1992251.55978004
I3L4G9;I3L164;C9K0K7;E7EW35;I3L2J4;I3L331;I3L0S1;I3L275;I3L3B8;C9JJS3;E7EPA1;I3L1T1;O60256;C9JDU5;C9JDH0;B4E329	1450238.33915156
Q9NR30	1597087.57049106
P55145;H7C2D6	3106116.71187681
B4DP62;P53007	2284598.44155793
Q04637	1718957.50985702
Q9BVK6	1857365.85225795
Q92882	2898075.78851437
Q9Y3F4	1930701.85774599
