17196	mmu_17196		12337.714
69187	NotMapped		2702.9714
12954	K09541		230102.04
11354	NotMapped		29714.286
14077	K08752		759398.5
12961	mmu_12961		111428.57
12889	NotMapped		9436.8571
12955	K09542		493714.29
380684	K04574		63394.495
226180	K07608		6863.8889
18039	K04572		36464.088
17189	mmu_17189		203142.86
110187	NotMapped		6522.2857
20617	K04528		42501.429
18823	NotMapped		3711.1429
12962	mmu_12962		16659.429
19194	NotMapped		1870.9429
G3UXD0	NotMapped		4008
12373	NotMapped		5085.1429
21956	K12045		99335.548
70350	NotMapped		26739.143
22349	K05761		27327.69
218038	K12562		926.44315
21954	K12044		7477.7251
66473	K01310		19158.935
19752	K01168		7442.2819
11723	NotMapped		365714.29
21924	K05865		13860.248
68416	NotMapped		4513.1429
16204	K08755		145312.5
19660	NotMapped		40000
22003	K10373		159507.04
22072	K01312		910.81301
282619	NotMapped		511.2
12716	K00933		38038.278
19293	mmu_19293		36857.143
17906	K10351		171686.75
12409	K00081		357377.05
227120	NotMapped		30571.429
56727	K00469		3133.2632
109901	K01326		9827.4436
12613	K12298		13094.157
12307	NotMapped		777142.86
12308	NotMapped		4988.8571
12970	mmu_12970		1056.5143
22227	K08769		2580.0977
59006	NotMapped		625.97143
109697	K08779		62052.506
55948	K06644		91532.258
215384	NotMapped		24092.571
13706	K01346		25840.221
26950	NotMapped		1280.2857
16618	K01325		93.471264
18378	NotMapped		3615.1429
12797	NotMapped		422857.14
12957	mmu_12957		15877.714
22287	NotMapped		14196
16612	K01325		36524.904
14120	K03841		16251.622
17897	K12749		57843.137
22074	NotMapped		12082.857
29818	K09546		89349.112
107753	K10090		35849.231
140781	K17751		1126.9251
22004	K10374		2683098.6
12652	mmu_12652		3525.7143
69117	NotMapped		32000
21345	NotMapped		8685714.3
76703	K01291		6081.4286
18040	K04573		6911.6745
17888	K17751		16615.067
14580	K05640		10896.512
233335	K10376		24087.124
18946	K14074		33403.805
20259	K05768		6094.5455
17901	K05738		136702.13
23795	NotMapped		57714.286
56370	NotMapped		8466.5714
11847	K01476		25458.475
17287	K01395		1798.7952
69191	K09581		17865.275
66284	NotMapped		1259.2286
17907	K12758		197041.42
106393	NotMapped		26353.143
18645	K05759		258571.43
53318	NotMapped		169714.29
22003	K10373		13697183
11770	K08753		7045454.5
69060	K14073		8188.6022
68738	K01895		9647.2141
20618	NotMapped		244571.43
17896	K12750		24223.834
99709	NotMapped		827.71429
21953	K12043		74175.824
11636	K00939		348453.61
16855	K10091		25248.466
67041	K01027		346153.85
67931	NotMapped		12071.714
66283	NotMapped		11323.143
20199	NotMapped		5862
12346	K01672		109195.4
76722	K00933		34606.205
103968	K08768		245647.97
12865	K02270		33745
380683	NotMapped		233142.86
12709	K00933		1916010.5
12036	K00826		264631.04
18951	K04557		84823.848
16765	K04381		370469.8
67868	K01345		1384.9071
19701	K01380		2563.4328
11475	K12313		9071618
59011	NotMapped		9405.7143
19285	NotMapped		1225714.3
11754	K00276		116993.46
236539	K00058		140337.71
17756	K10430		9792.1225
11472	K05699		6804.4743
20200	NotMapped		322857.14
22004	K10374		1813380.3
12722	K05027		3386.4184
17762	K04380		1226.5621
13807	K01689		8064.7465
18600	K01481		33135.215
77337	NotMapped		3142.2857
17882	K10352		34285.714
22223	K05611		982062.78
54200	K01015		682.89941
67373	NotMapped		10001.714
75600	NotMapped		1251.2286
17957	NotMapped		905.54286
24131	NotMapped		31142.857
67399	NotMapped		4814
14264	K08121		3990.4255
12389	K06278		1117977.5
17868	K12568		954.96063
69824	NotMapped		1105.1429
13346	K07610		1848614.1
12958	mmu_12958		617.65714
81600	K01183		1900.1268
18479	K04409		4877.2477
223809	NotMapped		32857.143
17880	K10352		3438133.9
259300	K12469		162799.26
11459	K10354		32095.491
20964	NotMapped		25586
16832	K00016		2658682.6
14778	K00432		102654.87
53322	NotMapped		57142.857
21925	K12042		5801.6875
104069	NotMapped		35428.571
12715	K00933		93175.853
69983	K01203		16155.187
233799	K01896		8745.3913
14598	K00681		10340.669
329251	K12329		29713.115
12353	K01672		788.42271
12925	NotMapped		520000
20203	NotMapped		126571.43
216188	K00289		4872.2644
74551	K01596		52500
20404	K11247		35795.455
66824	K12799		89119.171
15277	K00844		13631.407
13823	K06107		17438.105
13070	K00498		2167300.4
27357	K00750		55555.556
27053	K01953		35472.371
20910	NotMapped		70000
14725	K06233		585.30043
12557	K06811		57.73156
67092	K00613		39007.092
56012	K01834		18886.957
13628	K03231		1868.0562
13808	K01689		61520.737
14199	NotMapped		662857.14
13007	K09377		2202072.5
109042	NotMapped		87714.286
218138	K01711		123655.91
19132	K07607		10805.263
19058	K06268		74117.647
224796	K05025		45019.92
56421	K00850		64923.469
68794	K04437		206529.71
17922	K10359		67.321344
107993	K10379		445.02404
16777	K05636		119820.83
21916	K10370		155153.2
50876	K10370		21642.735
216350	NotMapped		48000
109272	NotMapped		11801.143
18295	K08126		500000
21648	K10420		27640
18073	K06826		87550.201
15507	K04455		305263.16
66695	K08120		135656.84
12512	K06497		31328.151
72088	NotMapped		22293.143
12323	K04515		2673.6162
67399	NotMapped		218000
12372	NotMapped		9375.1429
18746	K00873		1161958.6
20198	NotMapped		74857.143
104183	NotMapped		9237.1429
27273	K00898		1013.3495
69787	NotMapped		286.2
330440	NotMapped		789.25714
12971	NotMapped		12911.714
17929	NotMapped		3797.7143
14660	K01425		39762.611
12799	K01121		20074.286
433470	NotMapped		1454.4857
17035	NotMapped		40571.429
16664	K07604		1143.9256
226519	K05635		143746.11
16854	K06831		318181.82
75572	K01512		358490.57
20195	NotMapped		942857.14
16775	K06241		48953.744
226041	NotMapped		193142.86
67326	NotMapped		15003.714
18489	NotMapped		30857.143
118449	NotMapped		183714.29
12349	K01672		719230.77
76293	NotMapped		50285.714
17885	K10352		12.630872
17879	K10352		34397.528
67971	NotMapped		988571.43
11674	K01623		2200549.5
66734	K10435		52802.479
107272	K00831		67297.297
13602	NotMapped		7142
17022	K08122		2313609.5
14457	NotMapped		9201.4286
171580	NotMapped		5636
11450	K07296		53036.437
107029	K00027		83256.528
22240	NotMapped		497142.86
232714	K12047		21413.429
232400	NotMapped		179428.57
17930	NotMapped		4204.5714
18483	NotMapped		24292
13179	K04660		972677.6
23969	NotMapped		15973.429
11983	NotMapped		241428.57
17118	K12561		702265.37
69051	K00286		67500
14467	NotMapped		314285.71
56185	K11517		51841.36
16852	K06830		3170370.4
72948	NotMapped		3188.2857
11676	K01623		303030.3
21985	NotMapped		297142.86
12933	NotMapped		283428.57
20965	NotMapped		16848.286
16890	K07188		3297.7602
20194	NotMapped		800000
21753	NotMapped		40857.143
19340	K07884		18263.927
229731	NotMapped		302857.14
17988	NotMapped		28857.143
73723	NotMapped		168571.43
13405	K10366		2708.9995
12721	K13882		157483.73
13184	NotMapped		2013.4
14583	K00820		43758.967
13010	K13899		41079.286
16985	NotMapped		21085.714
11997	K00011		214556.96
15275	K00844		52977.413
22352	K07606		2575107.3
107684	NotMapped		31714.286
18611	NotMapped		131714.29
71960	K10352		32750
16952	NotMapped		1734285.7
11820	K04520		3545.0649
12306	NotMapped		3742857.1
14381	K00036		135339.81
18074	K06826		14540.271
66395	NotMapped		9828571.4
12362	K01370		10646.269
56356	NotMapped		17659.429
17105	K13915		63273.649
74340	K01251		39967.374
11808	NotMapped		1605714.3
109857	K00084		7942.2383
13821	K06107		6942.5484
17760	K10432		18543.046
56078	K01672		7371.9243
109934	NotMapped		26141.714
12406	K09501		2733812.9
83397	NotMapped		82571.429
67103	K13948		1702127.7
216810	NotMapped		20742.571
217124	NotMapped		5265.4286
12934	K07528		86363.636
67865	NotMapped		45714.286
20324	NotMapped		116857.14
29877	NotMapped		357142.86
380698	NotMapped		2003.6571
11766	NotMapped		10015.714
26556	NotMapped		4975.1429
12332	K10368		268750
24014	K01165		3822.585
192176	K04437		1020022.7
65969	NotMapped		501.65714
21346	NotMapped		711428.57
109264	K00029		7371.8543
66355	K00364		95942.029
208943	K10357		15262.286
20963	K05855		58187.599
76281	NotMapped		9360.8571
12313	K02183		171140.94
23917	K00088		4441.4397
18476	K16795		53879.31
66222	K13963		989445.91
20708	K13963		71142.857
16779	K06243		26903.835
102502	NotMapped		141428.57
14590	K01307		24761.83
58194	K12470		19464.034
66144	K02151		80982.353
16019	NotMapped		90857.143
76932	NotMapped		5559.4286
67443	K10435		4957.52
30948	NotMapped		47142.857
12696	K13195		23579.651
22138	K12567		7099.6507
67834	K00030		314207.65
11717	K01490		58224.543
19038	K09563		139150.94
67861	NotMapped		103714.29
16403	K06485		15673.694
68028	K02891		58942.623
12140	K08756		9284.0909
74145	K03917		79918.033
14571	K00111		63823.934
56205	NotMapped		39142.857
12653	mmu_12653		21785.429
12798	NotMapped		192857.14
17755	K10429		32629.87
18799	K05857		40211.64
13017	K04496		22046.966
56526	NotMapped		2394.1714
16560	K10392		4859.41
50706	NotMapped		697142.86
229603	K11860		3581.1905
19895	K01807		4756.7657
P01864	NotMapped		20086.857
11544	K01245		119060.77
66251	K12493		36711.281
23999	K08870		181948.42
11677	K00011		2006329.1
229593	NotMapped		12230.286
68196	NotMapped		2922
22271	K00757		9291.3183
14432	NotMapped		4307.1429
97165	K11295		795238.1
22152	K07375		8478
19309	K00688		24584.323
66471	NotMapped		178285.71
114584	K05021		937759.34
14079	K08751		15650.758
74103	NotMapped		199714.29
72042	NotMapped		317142.86
15929	K00030		113486.01
73442	NotMapped		35714.286
11486	K01488		175852.27
22323	K06274		94133.333
66849	NotMapped		17827.429
11641	NotMapped		110000
12554	K06808		10634.874
98878	K12477		50646.95
270685	K13402		13306.039
114663	K01092		43793.103
16541	K08565		1014.9881
17904	K12751		7417218.5
212307	K10436		192331.29
11857	K12462		309000
227737	NotMapped		64000
20692	NotMapped		10104
12810	NotMapped		81714.286
19055	K04348		28406.91
11745	NotMapped		1080000
19339	K07882		13090.909
14086	NotMapped		43428.571
16594	K10407		17195.326
20193	NotMapped		8744.8571
67980	K02564		93115.942
15163	K06106		17310.7
13476	NotMapped		115714.29
68106	NotMapped		56857.143
71733	NotMapped		19570.286
219072	NotMapped		76000
11973	K02150		197787.61
16956	K01059		1247.2152
17254	K06519		55323.194
13860	NotMapped		41142.857
98932	K12755		1732558.1
54609	K04523		28213.166
170718	K00030		224000
16678	K07605		21821.036
13132	K12475		83028.721
107589	K00907		422462.65
11518	NotMapped		139428.57
19231	NotMapped		1871428.6
20719	K13963		1224867.7
432516	K10356		3323.1064
16906	K07611		2993197.3
18537	K00573		125110.13
75974	NotMapped		4438.5714
74325	K04645		29181.659
93686	NotMapped		17414
227620	K00972		10756.41
15129	K13823		19863946
326618	K10375		1991935.5
11964	K02145		79254.457
15122	K13823		4885714.3
12908	K00624		40575.08
53416	K08282		20863.309
75608	K12194		119642.86
12325	K04515		2493.7618
26611	NotMapped		81714.286
56360	NotMapped		148857.14
20362	NotMapped		172857.14
353170	NotMapped		4797.4286
18754	K06068		5467.2999
56195	NotMapped		15250.286
22003	K10373		11465.845
16592	K08754		822222.22
66111	NotMapped		110571.43
12550	K05689		15271.493
104001	NotMapped		187428.57
69654	K10424		130348.26
11465	K05692		128000
71780	K01858		89946.14
320707	K05850		12273.429
110078	K00688		103202.85
223601	NotMapped		31714.286
232748	NotMapped		16769.429
68631	K13247		114106.58
15444	NotMapped		9565.7143
107975	NotMapped		48285.714
68420	NotMapped		3201.4286
19264	K06478		9682.4167
14960	K06752		2784.3359
16149	K06505		22756.989
23825	NotMapped		634285.71
14007	K13207		24409.449
230972	NotMapped		7976.8571
18582	K13758		16446
14936	K00693		4727.1003
213539	K09556		135714.29
22142	K07374		200221.73
381694	K13675		11811.043
14593	K00804		36000
170930	K12160		765263.16
67068	K10419		64070.833
57915	NotMapped		3658.2857
94181	K05304		173714.29
68519	NotMapped		56857.143
11722	K01176		551.17417
15512	K03283		210110.58
17524	NotMapped		58571.429
59069	K09290		3450704.2
14688	K04536		308823.53
16593	K10407		64695.009
19672	NotMapped		198000
67803	NotMapped		5189.4286
17219	K02542		12166.87
11966	K02147		45988.258
14245	NotMapped		5012
268996	NotMapped		7841.7143
71148	NotMapped		31714.286
18751	K02677		16393.443
52589	NotMapped		85142.857
101314	NotMapped		9526.2857
11931	K01540		153618.42
22629	K16198		776422.76
18717	K00889		1580.938
20970	K16337		5461.3122
13589	K10436		764925.37
12491	K06259		85593.22
56327	K07943		42992.391
18033	K02580		2700.103
66273	NotMapped		8914
227541	K08794		7246.4935
14269	NotMapped		50857.143
18597	K00161		289743.59
18739	NotMapped		3020.8571
56702	K11275		13958.744
17161	K00274		230038.02
74091	K01639		74062.5
68263	K00162		345403.9
69772	K00019		1213.7143
11891	K07885		6036.6516
216197	K13999		193043.48
18536	NotMapped		15224.857
234779	K05859		2853.5178
14026	NotMapped		11593.714
74044	NotMapped		1864.6571
12759	NotMapped		275428.57
16170	NotMapped		3124.8571
73834	K02149		15500
228359	NotMapped		197714.29
380711	NotMapped		425.25714
380686	NotMapped		6787.1429
51793	K01482		58947.368
380928	K06084		12720.571
66128	NotMapped		26590.571
P01867-2	NotMapped		246000
21987	NotMapped		73142.857
229877	NotMapped		111142.86
22631	K16197		1232653.1
66310	NotMapped		1571.0857
66645	NotMapped		61714.286
18797	K05858		17585.089
57349	K10029		6696.8571
20202	NotMapped		18636
59069	K09290		192605.63
21825	K16857		19401.709
239217	NotMapped		43142.857
12419	K11587		316753.93
73086	K04445		3441.1356
108911	NotMapped		117428.57
66128	NotMapped		11342.857
320183	NotMapped		7679.1429
13016	K04496		26077.098
72157	K01835		133225.81
12417	K11586		275409.84
216963	K05737		4060.7792
27360	NotMapped		258285.71
18642	K00850		28589.744
319713	K07520		1058.4018
72108	NotMapped		9901.4286
170750	K01262		71749.599
65106	NotMapped		58857.143
12412	K11585		226486.49
14225	K09568		1194444.4
227700	K11248		22873.75
20111	K04373		15193.37
12402	K04707		94.876232
17831	K10955		670.70896
105298	NotMapped		4024.2857
12322	K04515		11825.732
15193	NotMapped		38571.429
17220	K02210		10922.253
53598	K10425		50046.237
11429	K01681		891025.64
16181	K05481		12214.607
12816	K08132		21025.641
52398	NotMapped		754285.71
17698	K05763		634315.42
29812	NotMapped		89142.857
18220	NotMapped		188571.43
68614	NotMapped		6283.1429
22793	K06273		17467.021
26417	K04371		84210.526
66204	K01512		147474.75
18195	K06027		109677.42
53378	NotMapped		38000
12183	K01837		52895.753
192662	K12462		843137.25
27984	NotMapped		59142.857
108058	K04515		30627.306
13688	NotMapped		2895.7143
244373	NotMapped		348571.43
233908	K13098		335907.34
54391	K00861		153548.39
63986	NotMapped		12214.571
12757	K04644		41917.447
17967	K06491		8844.843
382643	NotMapped		482857.14
15382	K12741		1253125
116847	K08125		505291.01
56086	K11290		657439.45
18753	K06068		18249.258
22343	NotMapped		84571.429
66469	NotMapped		5700.2857
29875	K16848		47495.474
14904	NotMapped		4267.7143
14857	K00799		59641.256
76626	NotMapped		212857.14
668218	NotMapped		4349.4286
26370	K10840		15360.465
16400	K06482		231.00665
15469	K11434		727762.8
12858	K02264		193150.68
11852	K07856		5875
108671	K09529		57915.058
114886	NotMapped		88285.714
11733	K10380		962.2986
227960	NotMapped		2550.4
14784	K04364		146543.78
234353	K12494		6453.2305
214459	NotMapped		6820.8571
407785	K03939		73516.379
74325	K04645		5365.5022
100732	K10436		18913.167
17215	K02541		16748.768
320183	NotMapped		7572
26949	K00540		295566.5
22375	K01867		131808.73
54120	NotMapped		853.22857
14156	K04799		11603.704
75901	K12610		1376.5449
11957	K02131		209259.26
63913	NotMapped		144857.14
108664	K02144		11729.814
53605	K11279		57033.248
57752	K14282		2512.1845
59069	K09290		570422.54
17931	K06270		130223.52
269774	K08853		17622.523
20742	K06115		268726.2
20024	NotMapped		340000
232201	NotMapped		9166
72096	NotMapped		5377.7143
19088	K04739		106730.77
29817	NotMapped		66857.143
66514	K13051		38343.558
17955	K11282		277333.33
329910	K12417		7024.5791
20739	K06114		933.20911
50926	K13044		207973.42
80890	K11997		5455.2419
56426	NotMapped		45428.571
68598	K09528		202371.54
208194	K01173		4337.5
18738	NotMapped		221428.57
30059	NotMapped		5274
22151	K07375		185393.26
54519	NotMapped		9050.8571
16773	K05637		9207.9845
54401	K16197		930894.31
93730	NotMapped		18949.429
14555	K00006		421203.44
329154	NotMapped		14998
12340	K10364		330419.58
69270	K10732		2193.4694
193740	K03283		411856.47
18750	K02677		2080.8036
12041	K00905		9602.4272
54403	K13575		179.53661
171210	K01068		31346.578
75007	NotMapped		9842
