K08341	Atg8:SPBP8B7.24c
K13728	Rev7:SPBC12D12.09
K10661	Doa10:SPBC14F5.07
K01551	Get3:SPAC1142.06
K03232	Tef5:SPCC1450.04
K16330	SPBC1861.05:SPBC1861.05
K03685	Pac1:SPBC119.11c
K11684	Bdf1:SPCC1450.02
K14546	SPCC1450.03:SPCC1450.03
K08269	Ppk36:SPCC63.08c
K03258	Sce3:SPBC18H10.04c
K03231	Ef1A-a:SPCC794.09c
K01890	Frs1:SPAC23A1.12c
K01424	SPBPB21E7.09:SPBPB21E7.09
K01193	Inv1:SPCC191.11
K08334	SPAC20G8.10c:SPAC20G8.10c
spo_SPBC21B10.08c	P450:SPBC21B10.08c
K02966	Rps1901:SPBC21C3.13
K00728	Ogm2:SPAPB1E7.09
K10745	SPAC12B10.15c:SPAC12B10.15c
K02214	Spo4:SPBC21C3.18
K00264	Glt1:SPAPB1E7.07
K04441	Sty1:SPAC24B11.06c
K00924	Pck1:SPAC17G8.14c
K02918	Rpl35:SPCC613.05c
K02178	Bub1:SPCC1322.12c
K11650	Ssr3:SPAC23G3.10c
K02516	Skb1:SPBC16H5.11c
K04532	Uba5:SPAC323.06c
K06677	Cnd1:SPBC776.13
K02900	Rpl2801:SPBC776.11
K14545	SPBC776.17:SPBC776.17
K02264	Cox6:SPAC1B2.04
K00679	Plh1:SPBC776.14
K03257	SPAC1006.07:SPAC1006.07
K05286	Gpi10:SPCC16A11.06c
K02684	Spp1:SPAC6B12.10c
K09424	Reb1:SPBC1198.11c
K00286	SPAPYUG7.05:SPAPYUG7.05
K13126	PabP:SPAC57A7.04c
K05019	SPAC1610.01:SPAC1610.01
K07203	Tor2:SPBC216.07c
K06943	Nog1:SPBC651.01c
K05290	Gpi8:SPCC11E10.02c
K11361	Spt20:SPAC4D7.10c
K07375	Nda3:SPBC26H8.07c
K02730	SPBC646.16:SPBC646.16
K09498	Cct6:SPBC646.11
K01408	Mug138:SPACUNK4.12c
K06672	Mis4:SPAC31A2.05c
K01807	SPAC144.12:SPAC144.12
K11095	Usp103:SPBP35G2.09
K01652	Ilv1:SPBP35G2.07
K03133	Taf9:SPAC12G12.05c
K12608	Caf16:SPAC20G4.01
K01876	Drs1:SPCC1223.07c
K05609	Uch1:SPAC27F1.03c
K01869	SPAC4G8.09:SPAC4G8.09
K03801	SPAC4F10.05c:SPAC4F10.05c
K00382	Dld1:SPAC1002.09c
K12184	Vps28:SPAC1B3.07c
K02993	Rps7:SPAC18G6.14c
K10751	Pcf2:SPAC26H5.03
K11109	Pot1:SPAC26H5.06
K00858	SPCC24B10.02c:SPCC24B10.02c
K02320	Pol1:SPAC3H5.06c
K02146	Vma6:SPAC17A2.03c
K10696	Brl2:SPCC970.10c
K11644	Pst1:SPBC12C2.10c
K02971	Rps21:SPBC18E5.06
K02866	Rpl1001:SPBC18E5.04
K12260	Srx1:SPBC106.02c
K02930	Rpl402:SPBP8B7.03c
K02736	SPBC577.10:SPBC577.10
K05755	Arc4:SPAC6G9.07c
K02151	Vma7:SPBC3B9.18c
K12603	Ccr4:SPCC31H12.08c
K00761	SPAC1B3.01c:SPAC1B3.01c
K03386	SPCC330.06c:SPCC330.06c
K02738	Pre3:SPBC4C3.10c
K10733	Psf2:SPBC725.13c
K11314	Ada2:SPCC24B10.08c
K10524	SPBP22H7.06:SPBP22H7.06
K12584	Nhm1:SPBP4H10.20
K02605	Orp3:SPAC3H1.01c
K03351	Cut20:SPAC19G12.01c
K02307	Dam1:SPAC589.08c
K00772	SPAC16C9.02c:SPAC16C9.02c
K00134	Gpd3:SPBC354.12
K09495	Cct3:SPBC1A4.08c
K01104	Pyp1:SPAC26F1.10c
K01476	Car1:SPBP26C9.02c
K08502	SPCC594.06c:SPCC594.06c
K10848	Rad16:SPCC970.01
K01836	SPAC1296.01c:SPAC1296.01c
K12767	Ppk18:SPAPB18E9.02c
K02932	Rpl502:SPBC11C11.09c
K14558	SPBC713.04c:SPBC713.04c
K02938	Rpl803:SPBC839.04
K01537	Cta3:SPBC839.06
K11569	Dad4:SPBC3B9.22c
K13954	Adh4:SPAC5H10.06c
K00290	Lys3:SPAC227.18
K00667	Fas2:SPAC4A8.11c
K12662	SPAC227.12:SPAC227.12
K11126	Trt1:SPBC29A3.14c
K11204	Gcs1:SPAC22F3.10c
K00924	Ppk24:SPBC21.07c
K00931	SPAC17H9.13c:SPAC17H9.13c
K02896	Rpl24:SPAC6G9.09c
K08150	Itr1:SPAC4F8.15
K13333	SPAC977.09c:SPAC977.09c
K12820	Prp43:SPBC16H5.10c
K03011	Rpb3:SPCC1442.10c
K11665	Ino80:SPAC29B12.01
K06666	Tup11:SPAC18B11.10
K11766	Rsc58:SPAC1F3.07c
K06215	Snz1:SPAC29B12.04
K02937	Rpl701:SPBC18H10.12c
K11324	Swc4:SPAC9G1.13c
K03234	Eft201:SPAC513.01c
K12160	Pmt3:SPBC365.06
K03843	Alg2:SPBC11B10.01
K04563	Cdc2:SPBC11B10.09
K10590	SPAC12B10.01c:SPAC12B10.01c
K01001	Gpt2:SPBC15D4.04
K11293	Slm9:SPBC15D4.03
K00133	SPCC1827.06c:SPCC1827.06c
K05288	Gpi13:SPBC27B12.06
K13431	SPBC3B9.03:SPBC3B9.03
