K06226	Smo:Dmel_CG11561
K00327	Cpr:Dmel_CG11567
K09571	FkbP59:Dmel_CG4535
K02104	ArgOs:Dmel_CG4531
K13342	Pex5:Dmel_CG14815
K03130	Can:Dmel_CG6577
K14566	Bka:Dmel_CG4539
K01823	Dmel_CG5919:Dmel_CG5919
K12193	vps24:Dmel_CG9779
K06068	PkcDelta:Dmel_CG42349
K12385	Npc1b:Dmel_CG12092
K04514	Rok:Dmel_CG9774
K03068	Arr:Dmel_CG5912
K07897	Rab7:Dmel_CG5915
K03875	Skp2:Dmel_CG9772
K00699	Dmel_CG10178:Dmel_CG10178
K01792	Dmel_CG9008:Dmel_CG9008
K04392	Rac1:Dmel_CG2248
K11660	Mta1-like:Dmel_CG2244
K06072	L(3)s1921:Dmel_CG2245
K13807	RdgC:Dmel_CG6571
K03066	Rpt6r:Dmel_CG2241
K10695	Sce:Dmel_CG5595
K02726	ProS25:Dmel_CG5266
K00624	Dmel_CG5265:Dmel_CG5265
K03341	Dmel_CG1427:Dmel_CG1427
K02295	Phr6-4:Dmel_CG2488
K09699	Dmel_CG5599:Dmel_CG5599
K04539	GbeTa5:Dmel_CG10763
K04508	Ebi:Dmel_CG4063
K11664	Yl-1:Dmel_CG4621
K08765	CptI:Dmel_CG12891
K00649	DhaP-at:Dmel_CG4625
K02354	Fz4:Dmel_CG4626
K10751	Caf1-105:Dmel_CG12892
K10744	Dmel_CG11164:Dmel_CG11164
K12859	Dim1:Dmel_CG3058
K13348	Dmel_CG11077:Dmel_CG11077
K12828	Dmel_CG2807:Dmel_CG2807
K01283	AncE-2:Dmel_CG16869
K09313	Ct:Dmel_CG11387
K14011	GinT3:Dmel_CG5469
K07760	Cdc2c:Dmel_CG10498
K00698	Kkv:Dmel_CG2666
K06064	H:Dmel_CG5460
K02434	Dmel_CG5463:Dmel_CG5463
K06257	Sdc:Dmel_CG10497
K00852	Dmel_CG13369:Dmel_CG13369
K03163	Top1:Dmel_CG6146
K14213	Dip-c:Dmel_CG5663
K02900	Rpl27a:Dmel_CG15442
K03251	Eif-3p66:Dmel_CG10161
K00016	ImpL3:Dmel_CG10160
K00721	Dmel_CG10166:Dmel_CG10166
K05637	Wb:Dmel_CG15288
K06129	Dmel_CG31683:Dmel_CG31683
K00911	Ip3K2:Dmel_CG34359
K08253	HasPin:Dmel_CG40080
K12074	Tim:Dmel_CG3234
K04679	SarA:Dmel_CG15667
K03126	Taf12:Dmel_CG17358
K03094	SkpE:Dmel_CG11942
K14310	Nup205:Dmel_CG11943
K03094	SkpC:Dmel_CG11941
K05126	Ret:Dmel_CG14396
K10746	Tos:Dmel_CG10387
K00517	Cyp4e2:Dmel_CG2060
K00517	Cyp4e1:Dmel_CG2062
K10575	Dmel_CG9602:Dmel_CG9602
K09311	Ubx:Dmel_CG10388
K04536	GbeTa13f:Dmel_CG10545
K11322	E(pC):Dmel_CG7776
K12823	Rm62:Dmel_CG10279
K10696	Bre1:Dmel_CG10542
K03951	Dmel_CG3621:Dmel_CG3621
K10572	Ipk1:Dmel_CG30295
K01183	Cht12:Dmel_CG30293
K00699	Ugt37a1:Dmel_CG11012
K01598	PpcDc:Dmel_CG30290
K04512	DaaM:Dmel_CG14622
K13338	L(3)70da:Dmel_CG6760
K00948	Dmel_CG6767:Dmel_CG6767
K14008	Dmel_CG6766:Dmel_CG6766
K02896	RpL24-like:Dmel_CG6764
K14318	Mbo:Dmel_CG6819
K02324	DNApol-epsilon:Dmel_CG6768
K02991	Rps6:Dmel_CG10944
K15542	Dmel_CG1109:Dmel_CG1109
K10891	FanCd2:Dmel_CG17269
K00934	ArgK:Dmel_CG32031
K02266	LevY:Dmel_CG17280
K07376	For:Dmel_CG10033
K11124	Smg6:Dmel_CG6369
K04196	CCKLR-17D1:Dmel_CG42301
K00517	Cyp4ad1:Dmel_CG2110
K00876	Dmel_CG6364:Dmel_CG6364
K08471	Gr57a:Dmel_CG13441
K00510	Ho:Dmel_CG14716
K14316	Dmel_CG14712:Dmel_CG14712
K14411	Hrb27C:Dmel_CG10377
K04307	Lgr3:Dmel_CG31096
K02140	L(2)06225:Dmel_CG6105
K09567	Dmel_CG17266:Dmel_CG17266
K09050	CreBb-17a:Dmel_CG6103
K03965	Dmel_CG9306:Dmel_CG9306
K01078	PriMo-2:Dmel_CG33747
K01078	PriMo-1:Dmel_CG33748
K09201	PhoL:Dmel_CG3445
K01810	Pgi:Dmel_CG8251
K02870	Rpl12:Dmel_CG3195
K11353	Dmel_CG3446:Dmel_CG3446
K12869	Crn:Dmel_CG3193
K03964	Dmel_CG3192:Dmel_CG3192
K00517	Cyp28d1:Dmel_CG10833
K07197	Hlh106:Dmel_CG8522
K00507	Dmel_CG9747:Dmel_CG9747
K03007	Rpb10:Dmel_CG13628
K03120	Trf:Dmel_CG7562
K08471	Or1A:Dmel_CG17885
K08492	Syx18:Dmel_CG13626
K02604	Orc2:Dmel_CG3041
K07944	Dnd:Dmel_CG6560
K11436	Art3:Dmel_CG6563
K01099	SynJ:Dmel_CG6562
K08876	YatA:Dmel_CG1973
K01183	Cht11:Dmel_CG3044
K03935	Dmel_CG1970:Dmel_CG1970
K00844	Hex-t1:Dmel_CG33102
K03259	4ehP:Dmel_CG33100
K06027	Nsf2:Dmel_CG33101
K08471	Or45a:Dmel_CG1978
K10443	Kel:Dmel_CG7210
K12199	Dmel_CG7967:Dmel_CG7967
K00029	MenL-1:Dmel_CG7964
K00981	CdsA:Dmel_CG7962
K10598	Dmel_CG7747:Dmel_CG7747
K06059	TacE:Dmel_CG7908
K05236	AlpHacop:Dmel_CG7961
K02924	Rpl39:Dmel_CG3997
K00939	Adk3:Dmel_CG6612
K07151	OstStt3:Dmel_CG7748
K08471	Or49a:Dmel_CG13158
K09420	Myb:Dmel_CG9045
K01280	TppIi:Dmel_CG3991
K00029	MenL-2:Dmel_CG7969
K09427	Adf1:Dmel_CG15845
K08471	Gr47a:Dmel_CG12906
K11253	His3.3b:Dmel_CG8989
K07765	S2p:Dmel_CG8988
K14403	Cpsf73:Dmel_CG7698
K08790	Trc:Dmel_CG8637
K13216	NipP1:Dmel_CG8980
K08056	Erp60:Dmel_CG8983
K14407	CstF-64:Dmel_CG7697
K02332	Tam:Dmel_CG8987
K08282	FraY:Dmel_CG7693
K01077	Dmel_CG1809:Dmel_CG1809
K11728	E(bX):Dmel_CG32346
K14307	Nup58:Dmel_CG7360
K00411	RfeSp:Dmel_CG7361
K08282	Ste12dor:Dmel_CG32616
K00517	Cyp4d8:Dmel_CG4321
K07204	RapTor:Dmel_CG4320
K12947	SpaSe25:Dmel_CG1751
K02961	mRpS17:Dmel_CG4326
K08471	Gr2A:Dmel_CG18531
K09312	Cad:Dmel_CG1759
K12861	Dmel_CG4980:Dmel_CG4980
K13917	mRNA-cap:Dmel_CG1810
K00854	Dmel_CG3534:Dmel_CG3534
K11578	Mit(1)15:Dmel_CG9900
K08054	Cnx14D:Dmel_CG9906
K05388	ParA:Dmel_CG9907
K12879	Tho2:Dmel_CG31671
K03033	Rpn3:Dmel_CG42641
K10392	Khc-73:Dmel_CG8183
K00710	GalNac-t1:Dmel_CG8182
K10592	Dmel_CG8184:Dmel_CG8184
K02149	Vha36:Dmel_CG8186
K02127	AtpSyn-b:Dmel_CG8189
K00128	Dmel_CG31075:Dmel_CG31075
K06564	LerP:Dmel_CG31072
K14398	Dmel_CG7185:Dmel_CG7185
K08863	Sak:Dmel_CG7186
K08471	Gr66a:Dmel_CG7189
K11093	SnrNp70k:Dmel_CG8749
K10858	Pms2:Dmel_CG8169
K00799	GstD2:Dmel_CG4181
K05636	LanB1:Dmel_CG7123
K11807	Adp:Dmel_CG5124
K08834	NinAc:Dmel_CG5125
K00624	Dmel_CG5122:Dmel_CG5122
K01312	AlpHatry:Dmel_CG18444
K00261	Dmel_CG4434:Dmel_CG4434
K01518	Apf:Dmel_CG31713
K00471	Dmel_CG4335:Dmel_CG4335
K00528	DarE:Dmel_CG12390
K01446	PgrP-lc:Dmel_CG4432
K01255	S-Lap4:Dmel_CG32064
K10754	Gnf1:Dmel_CG1119
