K03536	RnpA:slr1469
K01091	slr0458:slr0458
K01770	IspF:slr1542
K03073	SecE:ssl3335
K02355	Fus:slr1463
K03798	FtsH:slr0228
K01462	Def:slr1549
K03088	RpoE:sll0856
K00971	RfbM:sll1370
K01920	GshB:slr1238
K02114	AtpC:slr1330
K01485	CodA:slr1237
K00239	SdhA:slr1233
K00973	RfbA:sll0207
K01885	GltX:sll0179
K02437	gcvH:slr0879
K02709	PsbH:ssl2598
K04043	DnaK:sll0170
K00605	GcvT:sll0171
K01876	AspS:slr1720
K00088	GuaB:slr1722
K10190	LacG:slr1723
K02495	HemN:sll1876
K04035	At103:sll1874
K00510	Ho2:sll1875
K01546	KdpA:slr1728
K01547	KdpB:slr1729
K01878	GlyQ:slr0638
K00926	ArcC:sll0573
K01992	RfbA:sll0574
K01990	RfbB:sll0575
K13993	Hsp17:sll1514
K01589	PurK:sll0578
K03149	ThiG:slr0633
K02233	CobS:slr0636
K03631	RecN:sll1520
K03608	MinE:ssl0546
K11522	sll0038:sll0038
K01724	PhhB:ssl2296
K00059	FabG:slr0886
K00134	Gap1:slr0884
K02234	CobW:slr0502
K03046	RpoC2:sll1789
K03116	ssl2823:ssl2823
K01000	MraY:sll0657
K14606	sll0659:sll0659
K03087	RpoD:sll0306
K01738	CysM:sll0712
K03550	RuvA:sll0876
K13747	NapC:sll0873
K03043	RpoB:sll1787
K00520	MerA:slr1849
K00013	HisD:slr1848
K03186	UbiX:slr1099
K08289	PurT:slr0861
K07031	lmbP:slr0862
K02931	RplE:sll1808
K03635	MoaE:slr0903
K00950	FolK:slr1093
K00036	Zwf:slr1843
K01738	CysK:slr1842
K00382	PhdD:slr1096
K02704	PsbB:slr0906
K04034	BchE:slr0905
K09815	ZntC:slr2043
K02895	RplX:sll1807
K02874	RplN:sll1806
K02335	PolA:slr0707
K02982	RpsC:sll1804
K00390	CysH:slr1791
K02886	RplB:sll1802
K00616	TalB:slr1793
K01502	MerR:sll0784
K02699	PsaL:slr1655
K02563	MurG:slr1656
K06148	HlyB:slr1651
K02994	RpsH:sll1809
K01586	LysA:sll0504
K02911	RpmF:ssr1736
K02303	CysG:sll0378
K00677	LpxA:sll0379
K00147	ProA:sll0373
K01955	CarB:sll0370
K03723	Mfd:sll0377
K11963	BraG:sll0374
K10206	AspC:sll0006
K05349	Bgl:sll1538
K01470	slr0596:slr0596
K03676	GrxC:ssr2061
K02669	PilT:sll1533
K02945	Rps1:slr1984
K01903	SucC:sll1023
K03644	LipA:slr1598
K11996	MoeB:sll1536
K00266	GltD:sll1027
K06187	RecR:slr1426
K03798	FtsH:slr1390
K00426	CydB:slr1380
K02635	PetB:slr0342
K01129	Dgt:sll0398
K03527	slr0348:slr0348
K11962	LivG:sll0764
K03531	FtsZ:sll1633
K00798	CobA:slr0260
K05579	NdhH:slr0261
K03154	Ycf40:ssr0102
K11954	NatB:slr0559
K00970	PcnB:sll1253
K02640	PetG:smr0010
K02914	RpmH:smr0011
K01714	DapA:slr0550
K01356	LexA:sll1626
K00240	SdhB:sll1625
K01494	Dcd:sll1258
K01873	ValS:slr0557
K01704	LeuD:sll1444
K01937	PyrG:sll1443
K10257	DesB:sll1441
K00275	PdxH:sll1440
K02111	AtpA:sll1326
K02115	AtpC:sll1327
K02109	AtpF:sll1324
K02113	AtpD:sll1325
K02108	AtpI:sll1322
K02109	AtpG:sll1323
K01866	TyrS:ssr1720
K02116	Atp1:sll1321
K01790	RfbC:slr1933
K01601	RbcL:slr0009
K02357	Tsf:sll1261
K08963	MtnA:slr1938
K02967	RpsB:sll1260
K08309	Slt:slr0534
K03686	DnaJ:sll0897
K02970	RpsU:ssl0601
K02852	RffM:slr1271
K01579	PanD:sll0892
K00024	CitH:sll0891
K05592	DeaD:slr0083
K05574	NdhC:slr1279
K04042	GlmU:sll0899
K01868	ThrS:sll0078
K02723	Ycf32:sml0007
K02919	Rpl36:sml0006
K00425	CydA:slr1379
K03689	Ycf6:sml0004
K02714	PsbM:sml0003
K02722	PsbX:sml0002
K01711	YefA:slr1072
K02434	GatB:sll1435
K03394	CbiL:slr1879
K01784	GalE:slr1078
K02653	PilC:slr0163
K02697	PsaJ:sml0008
K03502	UmuC:slr0790
K02653	GspF:slr0162
K03469	RnhA:slr0080
K01265	Map:slr0918
K02639	PetF:ssl0020
K00441	slr1923:slr1923
K10189	LacF:slr1202
K03500	Fmu:slr0679
K00860	CysC:slr0676
K03526	IspG:slr2136
K00325	PntB:slr1434
K03592	PmbA:slr1435
K07657	slr0081:slr0081
K11717	NifS:slr0077
K01883	CysS:slr0958
K09013	Ycf16:slr0075
K02487	slr0073:slr0073
K03501	GidB:slr0072
K00604	Fmt:slr0070
K02470	GyrB:sll2005
K05586	sll1220:sll1220
K04487	NifS:slr0387
K11961	slr1201:slr1201
K11960	LivH:slr1200
K03087	RpoD:sll0184
K01480	sll0228:sll0228
K02492	HemA:slr1808
K05568	NdhD:slr2007
K05568	NdhF:slr2009
K03768	PpiB:sll0227
K00820	GlmS:sll0220
K00845	Glk:sll0593
K06223	MbpA:slr1803
K05573	NdhB:sll0223
K00012	slr1299:slr1299
K03100	LepB:sll0716
K01955	slr1616:slr1616
K03657	UvrD:sll1143
K05979	slr1718:slr1718
K00793	RibC:sll0300
K01775	Alr:slr0827
K00655	sll1848:sll1848
K05583	NdhL:ssr1386
K08680	slr1916:slr1916
K03797	Prc:slr1751
K00627	OdhB:sll1841
K04567	LysS:slr1550
K00057	GpsA:slr1755
K02238	ComEc:sll1929
K01915	GlnA:slr1756
K00773	Tgt:slr0713
K03438	MraW:sll1144
K01262	PepP:sll0136
K03584	RecO:slr0181
K01887	ArgS:sll0502
K01649	LeuA:slr0186
K00762	PyrE:slr0185
K09686	Ycf38:sll0760
K00970	PcnB:sll0825
K00240	SdhB:sll0823
K02887	RplT:sll0767
K11525	Tsr or:sll0041
K11525	Tar:sll0042
K00696	Sps:sll0045
K01426	NylA:sll0828
K00599	RapQ:sll0829
K00937	Ppk:sll0290
K01879	GlyS:slr0220
K00991	IspD:slr0951
K03841	Fbp:slr0952
K03637	MoaC:slr0902
K01759	slr0381:slr0381
K00767	NadC:slr0936
K00930	ArgB:slr1898
K00020	MmsB:slr0229
K01735	AroB:slr2130
K01945	PurD:slr1159
K13788	Pta:slr2132
K02050	NrtB:sll1451
K04518	PheA:sll1662
K03177	TruB:slr0457
K01687	IlvD:slr0452
K02286	CpcC:sll1580
K00602	PurH:slr0597
K00526	slr0591:slr0591
K01978	RnpB:6803s01
K03701	UvrA:slr1844
K03070	SecA:sll0616
K03551	RuvB:sll0613
K01711	RfbD:sll1212
K02864	RplJ:sll1745
K02935	RplL:sll1746
K01736	AroC:sll1747
K01689	Eno:slr0752
K04038	ChlN:slr0750
K02867	RplK:sll1743
K01649	LeuA:sll1564
K07304	MsrA:slr1795
K03692	OtsA:sll1566
K13821	PutA:sll1561
K00891	AroK:sll1669
K01657	TrpE:slr1979
K02878	RplP:sll1805
K03787	SurE:sll1459
K02863	RplA:sll1744
K11781	CofH:sll1659
K06042	CbiC:sll0916
K02377	sll1213:sll1213
K02890	RplV:sll1803
K07304	MsrA:sll1394
K03797	CtpB:slr0257
K05895	CobK:slr0252
K06861	slr0251:slr0251
K01467	BlaOxa-3:slr0319
K02884	RplS:sll1740
K02926	RplD:sll1800
K01977	Rrn16sb:6803r04
K01952	PurL:slr0520
K01935	BioD:slr0523
K01980	Rrn23sb:6803r05
K09458	FabF:sll1069
K04035	sll1214:sll1214
K06920	exsB:slr0527
K00606	PanB:slr0526
K03405	ChlI:slr1030
K01928	MurE:slr0528
K03787	SurE:sll1108
K02634	PetA:sll1317
K02636	PetC:sll1316
K00324	PntA:slr1239
K03798	FtsH:slr1604
K02012	slr0513:slr0513
K02488	PleD:slr1798
K02435	slr0033:slr0033
K00826	IlvE:slr0032
K00111	GlpD:sll1085
K02049	NrtD:sll1082
K01436	Ama:slr1653
K02693	PsaE:ssr2831
K00919	sll0711:sll0711
K03217	slr1471:slr1471
K00609	PyrB:slr1476
K01710	RfbB:slr0836
K01870	IleS:sll1362
K01139	SpoT:slr1325
K02343	DnaX:sll1360
K04066	PriA:sll0270
K13542	HemD:sll0166
K02040	PstS:slr1247
K02112	AtpB:slr1329
K02657	sll1291:sll1291
K03075	SecG:ssr3307
K02015	FecC:slr1316
K02838	Frr:sll0145
K09903	PyrH:sll0144
K01893	AsnC:sll0495
K02897	sll1824:sll1824
K02016	FecB:slr1319
K01791	slr0624:slr0624
K03671	TrxA:slr0623
K01802	Cyp:slr1251
K01265	Map:slr0786
K00620	ArgJ:sll1883
K02909	RpmE:ssl3445
K01803	TpiA:slr0783
K00274	slr0782:slr0782
K07568	QueA:sll0467
K03183	UbiE:sll1653
K00147	ProA:sll0461
K02293	Pds:slr1254
K02040	sll0540:sll0540
K07646	KdpD:slr1731
K01895	Acs:sll0542
K03685	Rnc:slr0346
K02438	GlgX:slr1857
K03644	LipA:sll0868
K00684	Aat:sll0869
K12574	slr0551:slr0551
K01768	CyaA:sll0646
K07106	MurQ:sll0861
K03703	UvrC:sll0865
K03885	Ndh:slr0851
K03789	RimI:slr0853
K00845	XylR:slr0329
K01754	IlvA:slr2072
K04078	GroEs:slr2075
K00971	ManA:slr2074
