K00767	BNA6:YFR047C
K06685	MOB1:YIL106W
K12626	LSM7:YNL147W
K03848	ALG6:YOR002W
K11763	RSC9:YML127W
K14152	HIS4:YCL030C
K02021	MDL1:YLR188W
K18179	COA6:YMR244C-A
K08338	ATG10:YLL042C
K02929	RPL42B:YHR141C
K00053	ILV5:YLR355C
K14234	tT(AGU)I1:tT_AGU_I1
K17906	ATG2:YNL242W
K11137	TEL2:YGR099W
K01067	ACH1:YBL015W
K08735	MSH2:YOL090W
sce_YLR300W	Exg1:YLR300W
K11235	MFA2:YNL145W
K05283	GWT1:YJL091C
K10746	EXO1:YOR033C
K14229	tK(UUU)K:tK_UUU_K
K02889	RPL21A:YBR191W
K17778	TIM10:YHR005C-A
K12732	ARO10:YDR380W
K14299	SEH1:YGL100W
K08343	ATG3:YNR007C
K01626	ARO3:YDR035W
K10865	MRE11:YMR224C
K11664	VPS72:YDR485C
K07300	VNX1:YNL321W
K01184	PGU1:YJR153W
K00721	DPM1:YPR183W
K14833	NOC2:YOR206W
K02134	ATP16:YDL004W
K07976	YPT53:YNL093W
K13288	Rex2:YLR059C
K14768	UTP7:YER082C
K06654	PHO80:YOL001W
K02866	RPL10:YLR075W
K06668	GIN4:YDR507C
K07573	CSL4:YNL232W
K15908	EAP1:YKL204W
K11121	SIR2:YDL042C
K14225	SUF17:tG_GCC_O2
K14220	tN(GUU)G:tN_GUU_G
K09241	GAL4:YPL248C
K09680	CAB1:YDR531W
K17799	PNT1:YOR266W
K18694	PGC1:YPL206C
K00900	PFK27:YOL136C
K14799	TSR1:YDL060W
K14834	NOC3:YLR002C
K11569	DAD4:YDR320C-A
K14224	tE(UUC)G2:tE_UUC_G2
K14779	ROK1:YGL171W
K12581	POP2:YNR052C
K13524	UGA1:YGR019W
K14688	ZRC1:YMR243C
K03327	ERC1:YHR032W
K02541	MCM3:YEL032W
K17973	MDM20:YOL076W
K07243	FTR1:YER145C
K11806	SOF1:YLL011W
K00993	EPT1:YHR123W
K01497	RIB1:YBL033C
K12837	MUD2:YKL074C
K14191	DIM1:YPL266W
K02987	RPS4B:YHR203C
K15068	DIA2:YOR080W
K10632	ETP1:YHL010C
K00419	Qcr9:YGR183C
K08794	CMK2:YOL016C
K14228	tL(UAA)Q:tL_UAA_Q
K00641	MET2:YNL277W
K11873	UBP10:YNL186W
K05956	BET2:YPR176C
sce_YBL063W	Kip1:YBL063W
K11759	RSC4:YKR008W
K09102	INO2:YDR123C
K03246	TIF34:YMR146C
K00939	ADK1:YDR226W
K10088	YOS9:YDR057W
K10295	HRT3:YLR097C
K09265	RLM1:YPL089C
K15339	YEN1:YER041W
K02201	Cab4:YGR277C
K06659	CLB3:YDL155W
K12274	SEC72:YLR292C
K14229	tK(CUU)D2:tK_CUU_D2
K14229	tK(CUU)D1:tK_CUU_D1
K09584	MPD1:YOR288C
K03448	FEN2:YCR028C
K14402	Cft2:YLR115W
K00101	CYB2:YML054C
K11128	GAR1:YHR089C
K15134	SRB4:YER022W
K14232	SUF2:tP_AGG_C
K11575	CEP3:YMR168C
K15222	RRN11:YML043C
K06947	GRC3:YLL035W
K14232	SUF10:tP_AGG_N
K11673	ARP8:YOR141C
K13303	YPK2:YMR104C
K03143	TFB4:YPR056W
K14298	GLE2:YER107C
K14005	SEC31:YDL195W
K00698	CHS2:YBR038W
K15027	TMA64:YDR117C
K06009	YPS1:YLR120C
K03644	LIP5:YOR196C
K14218	tA(UGC)O:tA_UGC_O
K11378	SAS3:YBL052C
K18561	FRD1:YEL047C
K17878	NNT1:YLR285W
K02144	VMA13:YPR036W
K03264	TIF6:YPR016C
K15542	Pfs2:YNL317W
K08287	KNS1:YLL019C
K01104	PTP2:YOR208W
K14832	MAK21:YDR060W
K00966	PSA1:YDL055C
K11254	HHF1:YBR009C
K14228	tL(UAA)D:tL_UAA_D
K14783	CIC1:YHR052W
K15072	SAF1:YBR280C
K03239	GCN3:YKR026C
K13719	OTU1:YFL044C
K03504	POL32:YJR043C
K05955	RAM2:YKL019W
K11541	URA2:YJL130C
K01624	FBA1:YKL060C
K12853	SNU114:YKL173W
K11374	ELP2:YGR200C
K08139	Hxt10:YFL011W
K00963	UGP1:YKL035W
K11117	STN1:YDR082W
K04567	MSK1:YNL073W
K14968	SDC1:YDR469W
K00902	SEC59:YMR013C
K02350	REV3:YPL167C
K14818	SQT1:YIR012W
K09495	CCT3:YJL014W
K14224	tE(CUC)D:tE_CUC_D
K17909	ATG23:YLR431C
K12232	HUL4:YJR036C
K14224	tE(CUC)I:tE_CUC_I
K09359	MATALPHA2:YCR039C
K00486	BNA4:YBL098W
K04799	RAD27:YKL113C
K03860	GPI1:YGR216C
K15146	MED4:YOR174W
K14809	SPB4:YFL002C
K01802	CPR1:YDR155C
K14819	YVH1:YIR026C
K11772	SWI3:YJL176C
K18155	AEP3:YPL005W
K16261	GAP1:YKR039W
K04711	YDC1:YPL087W
K06666	TUP1:YCR084C
K05287	GPI11:YDR302W
K03364	CDH1:YGL003C
K17792	TIM54:YJL054W
K01867	MSW1:YDR268W
K04555	UBC7:YMR022W
K17278	DAP1:YPL170W
K01647	CIT3:YPR001W
K06215	SNZ3:YFL059W
K04797	GIM5:YML094W
K14848	RRB1:YMR131C
K14550	Utp10:YJL109C
K02433	HER2:YMR293C
K03844	ALG11:YNL048W
K08139	Hxt8:YJL214W
K00873	Pyk1:YAL038W
K14169	NCS2:YNL119W
K12182	VPS27:YNR006W
K00560	CDC21:YOR074C
K05841	ATG26:YLR189C
K10736	MCM10:YIL150C
K14800	TSR2:YLR435W
K12768	ZIP1:YDR285W
K00637	ARE2:YNR019W
K12587	MTR3:YGR158C
K08192	DAL5:YJR152W
K05529	MNN9:YPL050C
K01955	CPA2:YJR109C
K17978	NUM1:YDR150W
K15323	SEN34:YAR008W
K15081	AMN1:YBR158W
K18730	SYH1:YPL105C
K07976	VPS21:YOR089C
K01867	WRS1:YOL097C
K14788	ENP2:YGR145W
K00616	TAL1:YLR354C
K13535	CLD1:YGR110W
K18156	ATP23:YNR020C
K14969	SHG1:YBR258C
K00921	FAB1:YFR019W
K02365	ESP1:YGR098C
K10862	TDP1:YBR223C
K00036	ZWF1:YNL241C
K12883	CBC2:YPL178W
K14829	IPI3:YNL182C
K13107	IST3:YIR005W
K11363	SGF11:YPL047W
K14793	RRP9:YPR137W
K11231	SLN1:YIL147C
K12614	DHH1:YDL160C
K00606	ECM31:YBR176W
K03320	MEP3:YPR138C
K09243	UME6:YDR207C
K15371	GDH2:YDL215C
K14221	tD(GUC)L1:tD_GUC_L1
K14221	tD(GUC)L2:tD_GUC_L2
K17795	TIM17:YJL143W
K14218	tA(AGC)K1:tA_AGC_K1
K14407	Rna15:YGL044C
K18423	CSE1:YGL238W
K17976	MMR1:YLR190W
K01649	LEU4:YNL104C
K02142	ATP18:YML081C-A
K07975	RHO3:YIL118W
K02964	RPS18A:YDR450W
K03024	RPC31:YNL151C
K15561	NAB3:YPL190C
K17866	DPH2:YKL191W
K14536	RIA1:YNL163C
K05864	CPR6:YLR216C
K01637	ICL1:YER065C
K15165	SSN2:YDR443C
<a	href="/dbget-bin/www_bget?sce:YFL054C">YFL054C</a>:<a
K12847	SAD1:YFR005C
K14684	SAL1:YNL083W
K00418	Qcr8:YJL166W
K14528	Pop8:YBL018C
K18721	NUP1:YOR098C
K00988	APA2:YDR530C
K06649	SWI4:YER111C
K14950	SPF1:YEL031W
K18168	EMI5:YOL071W
K14537	Nog2:YNR053C
K11839	UBP5:YER144C
K02943	RPP2A:YOL039W
K14224	tE(UUC)E3:tE_UUC_E3
K14224	tE(UUC)E1:tE_UUC_E1
K01866	TYS1:YGR185C
K02924	RPL39:YJL189W
K00974	CCA1:YER168C
K16261	DIP5:YPL265W
K01922	Cab2:YIL083C
K12845	SNU13:YEL026W
K08286	CLA4:YNL298W
K11313	SPT3:YDR392W
K14307	NUP49:YGL172W
K13025	FAL1:YDR021W
K00948	PRS3:YHL011C
K06173	PUS1:YPL212C
K14004	SEC13:YLR208W
K17788	MIC19:YFR011C
K07827	RAS1:YOR101W
