YGR192C	K00134		2.6181e+12
YBR118W	K03231		2.2365e+12
YCR012W	K00927		2.8866e+12
YHR174W	K01689		2.5064e+12
YDR385W	K03234		9.0527e+11
YLR044C	K01568		1.6212e+12
YLL024C	K03283		2.0098e+12
YPL231W	K00667		2.9938e+11
YKL182W	K00668		3.4324e+11
YNR016C	K11262		2.3006e+11
YMR186W	K04079		1.2674e+12
YNL209W	K03283		1.1092e+12
YAL038W	K00873		3.2356e+12
YLR167W	K02977		1.5006e+11
YOL086C	K13953		1.9665e+12
YML045W	NotMapped		5.4027e+11
YLR249W	K03235		9.4651e+11
YBR079C	K03254		2.9856e+11
YJL130C	K11541		2.4485e+11
YOR063W	K02925		1.285e+12
YAL003W	K03232		2.8552e+11
YBR196C	K01810		4.3429e+11
YPL106C	K09485		6.9732e+11
YJL080C	NotMapped		1.5702e+11
YKL060C	K01624		1.2904e+12
YJR045C	K04043		2.0897e+11
YER091C	K00549		7.9581e+11
YLR304C	K01681		1.7073e+11
YOR335C	K01872		2.0052e+11
YDR127W	K13830		9.529e+10
YLR259C	K04077		1.9177e+11
YJL034W	K09490		2.3874e+11
YBL076C	K01870		8.8551e+10
YEL034W	K03263		3.9609e+11
YKL152C	K01834		1.4918e+12
YPL160W	K01869		9.6369e+10
YLL045C	K02936		9.7184e+11
YLR150W	sce_YLR150W		9.8069e+10
YGR094W	K01873		1.5467e+11
YLR106C	K14572		4.2927e+10
YGL206C	K04646		9.3657e+10
YGR234W	K05916		1.0062e+12
YOR341W	K02999		1.7218e+11
YIL078W	K01868		9.604e+10
YGL253W	K00844		2.5601e+11
YMR229C	NotMapped		6.7802e+10
YMR012W	NotMapped		9.8199e+10
YDR037W	K04567		1.808e+11
YGL009C	K01702		3.2096e+11
YBR121C	K01880		2.3031e+11
YDL185W	K02145		2.255e+11
YOR027W	K09553		1.1273e+11
YER165W	K13126		2.6005e+11
YGR264C	K01874		7.5608e+10
YLR180W	K00789		2.5644e+11
YJR109C	K01955		1.8623e+11
YLR340W	K02941		3.8919e+11
YGL008C	K01535		7.1495e+11
YMR031C	NotMapped		9.8007e+10
YJL138C	K03257		7.4993e+10
YGR204W	K00288		9.7129e+10
YJR016C	K01687		1.6369e+11
