Numerator	Denominator	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener
		10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.9845	0.9845	0.9845	0.8959	0.8959	0.8959	0.9589	0.9589	0.9589	0.9608	0.9608	0.9608	0.7862	0.7862	0.7862	0.6581	0.6581	0.6581	0.5155	0.5155	0.5155	0.6414	0.6414	0.6414	0.7325	0.7325	0.7325
Genetic Information Processing	TOTAL	0.5116	0.5249	0.5304	0.3508	0.3566	0.36	0.3689	0.3796	0.3974	0.3213	0.3288	0.3396	0.2879	0.2905	0.2947	0.1917	0.197	0.2014	0.1922	0.1966	0.2017	0.2939	0.3068	0.3139	0.1816	0.1886	0.1947
-Transcription	TOTAL	0.01312	0.01861	0.02194	0.02805	0.03025	0.03414	0.001219	0.001952	0.00309	0.0003806	0.001254	0.00265	0.003276	0.004308	0.006113	0.005427	0.006406	0.007555	0.01035	0.01091	0.01169	0.009489	0.01086	0.01222	0.0002821	0.0003235	0.001703
-Translation	TOTAL	0.3984	0.4014	0.4031	0.2329	0.2344	0.2351	0.3465	0.3491	0.3763	0.3069	0.3088	0.3237	0.233	0.2358	0.2435	0.1313	0.1327	0.1365	0.143	0.1467	0.1509	0.225	0.229	0.2332	0.1525	0.1531	0.1537
-Folding, Sorting and Degradation	TOTAL	0.07655	0.08499	0.09142	0.05868	0.06223	0.06537	0.01517	0.01715	0.01966	0.008681	0.01012	0.01111	0.03831	0.04147	0.04676	0.04237	0.0462	0.04938	0.02787	0.0302	0.0378	0.04566	0.05596	0.06388	0.02295	0.02752	0.03205
-DNA Maintenance	TOTAL	0.01201	0.01806	0.02523	0.02482	0.0278	0.03016	0.001734	0.002018	0.002502	0.001134	0.002361	0.005505	0.002735	0.005683	0.0069	0.006965	0.01044	0.01226	0.002827	0.005937	0.006951	0.006966	0.009182	0.01098	0.001847	0.003696	0.01225
-RNA Family	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0.001178	0.001278	0.002652	0.01055	0.01094	0.01322	0.0001588	0.002698	0.003638	0.0001843	0.004472	0.00546	0.002124	0.004547	0.00669	0.001738	0.005141	0.007005	0.0019	0.002942	0.004982	0.006458	0.0092	0.0121	0.01787	0.01864	0.01964
-Signal Transduction	TOTAL	0.001178	0.001278	0.002652	0.01047	0.01086	0.01299	7.71e-05	0.002698	0.003165	0.0001625	0.004472	0.004806	0.0005683	0.002257	0.003619	0.0007844	0.002154	0.00331	0.0008796	0.001913	0.002446	0.003041	0.004452	0.00674	0.01787	0.01864	0.01964
-Signaling Molecules and Interaction	TOTAL	0	0	0	7.795e-05	7.795e-05	7.795e-05	0	0	0.0006847	0	0	0.0008082	0.000353	0.002234	0.004183	0.0009537	0.002884	0.003942	0.0002474	0.001055	0.002557	0.002417	0.003797	0.006499	0	0	0
Cellular Processes	TOTAL	0.00832	0.008745	0.009813	0.01296	0.01353	0.01759	0.00113	0.01395	0.02847	0.001481	0.01154	0.01742	0.005953	0.01369	0.01618	0.008919	0.01872	0.02205	0.006791	0.01045	0.01382	0.02929	0.03793	0.04383	0.001577	0.002501	0.004103
-Hemoglobin	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	TOTAL	0	0	0	0	0	0.0005268	0.0001983	0.001292	0.02748	0.0002262	0.002977	0.01463	0.002402	0.004715	0.01012	0.004638	0.006756	0.008953	0.003944	0.008138	0.01037	0.01231	0.01471	0.01816	0	0	0
-Cytoskeleton	TOTAL	0.002647	0.002647	0.002647	0.003836	0.003836	0.003836	0	0	0.004627	0	2.1e-05	0.003777	0.0008374	0.002787	0.003601	0.001158	0.003491	0.005604	0.0001154	0.001809	0.002393	0.004959	0.008056	0.01342	0.001411	0.001411	0.001411
-Cell Motility	TOTAL	0.001178	0.001178	0.001603	0.007671	0.008245	0.01239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001292	0.00106	0.002333
-Cell Growth and Death	TOTAL	0.004495	0.004495	0.005989	0.001202	0.001336	0.001475	0.0003683	0.005478	0.006176	5.389e-05	0.00272	0.002985	0.0007998	0.001493	0.001884	0.0007778	0.001371	0.002463	0.0002486	0.0004355	0.0007113	0.00188	0.004228	0.005535	0	2.987e-05	0.000505
-Cell Communication	TOTAL	0	0	0	0	0	0	0	1.962e-06	0.008255	0	0.0001017	0.007723	1.623e-05	0.0009228	0.006928	7.914e-05	0.001104	0.00873	9.112e-06	0.0001806	0.00189	0.001267	0.002818	0.01589	0	0	0
Metabolism	TOTAL	0.4184	0.429	0.4437	0.4913	0.4999	0.5073	0.3561	0.3847	0.4414	0.4066	0.4262	0.4936	0.286	0.2989	0.315	0.2676	0.2765	0.2864	0.1601	0.1632	0.1794	0.1403	0.1545	0.1655	0.1682	0.1795	0.1855
-Membrane Transport	TOTAL	0.01369	0.02127	0.0278	0.08083	0.09692	0.1028	0	3.065e-05	0.0002973	0	0	0.0001442	0.000321	0.0006994	0.001441	0.000637	0.001042	0.001276	0.0003081	0.0005483	0.0006337	0.00045	0.0008191	0.0009268	0.01131	0.01686	0.01923
-Central Carbon Metabolism	TOTAL	0.05438	0.07354	0.08241	0.09375	0.1089	0.12	0.1458	0.194	0.2328	0.1255	0.1671	0.2096	0.05545	0.0713	0.07723	0.05516	0.06783	0.0738	0.03414	0.04235	0.06042	0.03027	0.03505	0.03642	0.01748	0.02284	0.02778
-Energy Metabolism	TOTAL	0.01071	0.02432	0.02774	0.02182	0.02705	0.03378	0.008028	0.0418	0.08344	0.01311	0.03512	0.08556	0.0142	0.01931	0.03846	0.01278	0.02029	0.03179	0.02215	0.02343	0.03379	0.007443	0.01122	0.02278	0.02311	0.03212	0.03909
-Biosynthesis	TOTAL	0.1626	0.1801	0.1964	0.1003	0.1117	0.1151	0.02464	0.05206	0.058	0.07307	0.09479	0.1112	0.08353	0.1027	0.1078	0.07175	0.08356	0.08871	0.02815	0.03244	0.04557	0.02547	0.03813	0.04083	0.03957	0.04296	0.04692
-Other Enzymes	TOTAL	0.1017	0.1261	0.1451	0.1401	0.149	0.1758	0.04595	0.08518	0.1593	0.07908	0.1048	0.1756	0.07428	0.1008	0.1242	0.08356	0.1042	0.1241	0.03731	0.05477	0.07261	0.05737	0.069	0.07915	0.05051	0.06173	0.07029
Organismal Systems	TOTAL	0	0	0	0	0.0003947	0.0008987	0.001041	0.005716	0.0158	0.0006144	0.004406	0.01208	0.004109	0.006895	0.0104	0.009199	0.01122	0.01388	0.005319	0.009714	0.01325	0.01589	0.01911	0.02598	0	0.0003493	0.0007363
-Immune System	TOTAL	0	0	0	0	0	0	0	0.0001575	0.005378	0	0.0002503	0.004209	0.000451	0.002582	0.004443	0.0005874	0.002964	0.005946	4.868e-06	0.0004795	0.003945	0.000658	0.002863	0.008928	0	0	0
-Endocrine System	TOTAL	0	0	0	0	0.0003947	0.0008987	4.185e-06	0.0001588	0.002713	2.123e-05	0.0001258	0.004496	0.0004745	0.001039	0.002102	0.0006533	0.001471	0.002242	0.0001097	0.0009746	0.003521	0.001905	0.002792	0.006022	0	0	0.000387
-Circulatory System	TOTAL	0	0	0	0	0	0	0	0	0	0	0	4.334e-05	0	0.0005691	0.002842	0	0.001248	0.006384	0	6.138e-05	0.002628	7.207e-05	0.001662	0.006357	0	0	0
-Digestive System	TOTAL	0	0	0	0	0	0	0	0	0.006741	0	0	0.004274	0	0.0001413	0.003611	0	0.0004184	0.003233	0	3.168e-06	0.0001388	0.0001578	0.001534	0.002764	0	0	0.0003493
-Excretory System	TOTAL	0	0	0	0	0	0	0	0.0001072	0.0001758	3.779e-06	4.76e-05	0.0009666	0.0004021	0.0007419	0.001184	0.001144	0.001676	0.003416	0.0003428	0.001159	0.002097	0.001373	0.003611	0.005259	0	0	0
-Nervous System	TOTAL	0	0	0	0	0	8.441e-10	0	2.218e-05	0.005357	0	0	0.002621	0	9.206e-06	0.0006014	0	3.259e-05	0.0004696	0	1.25e-05	0.0007825	0.0005845	0.001362	0.004188	0	0	0
-Sensory System	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.206e-06	0	0	2.471e-05	0	0	1.176e-05	4.736e-07	0.0003818	0.001328	0	0	0
-Development	TOTAL	0	0	0	0	0	0	0	0	0.0007533	0	0	0.0003989	0	0	0.0002244	0	0	0.0002784	0	0	2.865e-05	0	0.0002361	0.0004867	0	0	0
-Environmental Adaptation	TOTAL	0	0	0	0	0	0	0	0	0	0	0	9.889e-05	0	0	0.0004221	0	0	0.000343	0.003311	0.003459	0.005068	0	3.567e-05	0.001462	0	0	0
Human Diseases	TOTAL	0.005618	0.02073	0.02629	0.003354	0.01051	0.01649	0.007514	0.06418	0.09871	0.01478	0.07362	0.09651	0.02782	0.04543	0.05247	0.04252	0.05305	0.06236	0.02431	0.03591	0.04255	0.04192	0.05175	0.06996	0.001211	0.01189	0.01744
-Cancers	TOTAL	0	0	0	0	8.639e-05	0.001448	0	6.497e-05	0.0001252	0	2.569e-05	0.000323	3.111e-05	0.0002806	0.0005116	0	0.0008678	0.001077	7.214e-05	0.0004353	0.0009737	0.001936	0.002578	0.004378	0	0	0.000258
-Immune System Diseases	TOTAL	0	0	0	0	8.441e-10	0.0001584	0.000213	0.001228	0.001559	0.001284	0.004344	0.006313	0.001186	0.00232	0.0042	0.003581	0.0054	0.00843	0.002509	0.004647	0.005581	0.0006658	0.002429	0.003252	0	0	0
-Neurodegenerative Diseases	TOTAL	0	0.01996	0.01996	0	0.005819	0.006346	0.0002671	0.0612	0.06334	0.0007184	0.06671	0.07246	0.008374	0.02449	0.02731	0.01872	0.02491	0.02898	0.008348	0.02715	0.02954	0.01778	0.02404	0.03293	0	0.0009529	0.0009529
-Cardiovascular Diseases	TOTAL	0	0	0	0	0	0	0	0	1.962e-06	0	0	2.834e-06	0	0	0	0	0	0	0	0	0	0.001489	0.003877	0.006896	0	0	0
-Metabolic Diseases	TOTAL	0	0	0.004738	0	0	0.004433	0	0.006741	0.0198	0	0.004274	0.01633	0	0.003611	0.009833	0	0.003233	0.008037	0	8.094e-05	0.001643	0	0.0002593	0.004536	0	0	0.01064
-Infectious Diseases	TOTAL	0	0.004738	0.01036	0.0001499	0.003093	0.008992	0.0009948	0.006628	0.01127	0.0004731	0.005928	0.01082	0.01092	0.01253	0.01882	0.01321	0.01464	0.02461	0.001929	0.004811	0.00933	0.009472	0.01777	0.02573	0	0.00585	0.01273
Not Mapped	TOTAL	0.01554	0.01554	0.01554	0.1041	0.1041	0.1041	0.04113	0.04113	0.04113	0.03917	0.03917	0.03917	0.2138	0.2138	0.2138	0.3419	0.3419	0.3419	0.4845	0.4845	0.4845	0.3586	0.3586	0.3586	0.2675	0.2675	0.2675
-Not Mapped	TOTAL	0.01554	0.01554	0.01554	0.1041	0.1041	0.1041	0.04113	0.04113	0.04113	0.03917	0.03917	0.03917	0.2138	0.2138	0.2138	0.3419	0.3419	0.3419	0.4845	0.4845	0.4845	0.3586	0.3586	0.3586	0.2675	0.2675	0.2675
TOTAL	MAPPED	1.016	1.016	1.016	1.116	1.116	1.116	1.043	1.043	1.043	1.041	1.041	1.041	1.272	1.272	1.272	1.519	1.519	1.519	1.94	1.94	1.94	1.559	1.559	1.559	1.365	1.365	1.365
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Genetic Information Processing	MAPPED	0.5197	0.5332	0.5387	0.3915	0.398	0.4018	0.3847	0.3959	0.4145	0.3344	0.3422	0.3535	0.3662	0.3695	0.3748	0.2913	0.2994	0.3061	0.3729	0.3815	0.3913	0.4583	0.4783	0.4894	0.2479	0.2574	0.2657
-Transcription	MAPPED	0.01333	0.0189	0.02228	0.0313	0.03376	0.0381	0.001272	0.002036	0.003222	0.0003962	0.001305	0.002758	0.004166	0.005479	0.007776	0.008245	0.009733	0.01148	0.02008	0.02116	0.02268	0.01479	0.01693	0.01904	0.0003851	0.0004417	0.002324
-Translation	MAPPED	0.4047	0.4077	0.4095	0.26	0.2616	0.2624	0.3613	0.364	0.3924	0.3195	0.3214	0.3369	0.2963	0.2999	0.3097	0.1994	0.2016	0.2073	0.2774	0.2846	0.2928	0.3508	0.357	0.3636	0.2083	0.209	0.2099
