Numerator	Denominator	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.9812	0.8808	0.9585	0.9616	0.7968	0.6691	0.5222	0.647	0.6652
Genetic Information Processing	TOTAL	0.3313	0.184	0.3164	0.2448	0.284	0.1939	0.2224	0.304	0.1429
-Transcription	TOTAL	0.006892	0.003823	0.004117	0.001298	0.009033	0.0106	0.01154	0.0146	0
-Translation	TOTAL	0.2663	0.1354	0.2397	0.2022	0.188	0.1043	0.1505	0.1626	0.09802
-Folding, Sorting and Degradation	TOTAL	0.0451	0.02908	0.06653	0.03756	0.07904	0.06859	0.04583	0.1085	0.04091
-DNA Maintenance	TOTAL	0.005175	0.01013	0.004904	0.003812	0.008617	0.01034	0.01427	0.0187	0.002906
-RNA Family	TOTAL	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0.005333	0.01138	0.01166	0.00974	0.01046	0.0154	0.003825	0.04083	0.005656
-Signal Transduction	TOTAL	0.005333	0.01138	0.01166	0.00974	0.01042	0.01512	0.003721	0.03848	0.005656
-Signaling Molecules and Interaction	TOTAL	0	0	0	0	9.647e-06	0	0.0001226	0.002353	0
Cellular Processes	TOTAL	0.004255	0.009975	0.01121	0.008024	0.01403	0.02402	0.01141	0.06087	0.002661
-Hemoglobin	TOTAL	0	0	0	0	0	0	0	0	0
-Vesicular Transport	TOTAL	0	0.0002983	0.003173	0.003511	0.006218	0.01298	0.005912	0.02114	0
-Cytoskeleton	TOTAL	0	0.001009	0.002079	0.001639	0.007048	0.00968	0.00471	0.01813	0
-Cell Motility	TOTAL	0.001039	0.005407	0	0	0	0	0	0	0.0007566
-Cell Growth and Death	TOTAL	0.002742	0.001506	0.005898	0.002844	0.0007593	0.001314	0.0007774	0.008237	0.001425
-Cell Communication	TOTAL	0	0	1.09e-05	1.53e-05	0	0	0	0.01371	0
Metabolism	TOTAL	0.4403	0.368	0.5256	0.5909	0.3553	0.3355	0.199	0.1929	0.2179
-Membrane Transport	TOTAL	0.007339	0.03827	0.0004643	0.0002204	0.0009713	0.0006722	0.0002254	0.0001295	0.01549
-Central Carbon Metabolism	TOTAL	0.1246	0.1351	0.3768	0.3331	0.1289	0.1204	0.07056	0.07352	0.05176
-Energy Metabolism	TOTAL	0.01121	0.017	0.008306	0.01765	0.02066	0.04068	0.0387	0.04064	0.03782
-Biosynthesis	TOTAL	0.1998	0.09205	0.05434	0.1407	0.1412	0.1166	0.06109	0.05819	0.07018
-Other Enzymes	TOTAL	0.08138	0.06974	0.05838	0.07624	0.05398	0.05797	0.02207	0.0191	0.03655
Organismal Systems	TOTAL	0	0	0	0	0.0001442	0.0003515	0.003273	0.01344	0
-Immune System	TOTAL	0	0	0	0	4.541e-05	8.982e-05	1.053e-06	0.0001371	0
-Endocrine System	TOTAL	0	0	0	0	0	0	0	0.0003079	0
-Circulatory System	TOTAL	0	0	0	0	5.98e-05	0.0002031	0	0.01081	0
-Digestive System	TOTAL	0	0	0	0	0	0	0	0.001092	0
-Excretory System	TOTAL	0	0	0	0	0	0	0	0.0002044	0
-Nervous System	TOTAL	0	0	0	0	0	0	0	0.0008792	0
-Sensory System	TOTAL	0	0	0	0	0	0	0	0	0
-Development	TOTAL	0	0	0	0	0	0	0	7.186e-05	0
-Environmental Adaptation	TOTAL	0	0	0	0	0	0	0.003223	0	0
Human Diseases	TOTAL	0	0.0008475	0.0001457	0.001274	0.006389	0.007571	0.004092	0.002759	0
-Cancers	TOTAL	0	0	2.603e-05	0	3.883e-05	0.0002647	6.501e-05	0.0009732	0
-Immune System Diseases	TOTAL	0	0	4.573e-05	0.001131	0.0004028	0.0009491	0.002765	0.0001906	0
-Neurodegenerative Diseases	TOTAL	0	0	0	9.629e-05	0.0005987	0.0007826	0.0004251	0.0005135	0
-Cardiovascular Diseases	TOTAL	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	TOTAL	0	0	0	0	0	0	0	0	0
-Infectious Diseases	TOTAL	0	0	9.997e-05	0	0.00522	0.004366	0.0002812	0.00052	0
Not Mapped	TOTAL	0.01882	0.1192	0.04149	0.03838	0.2032	0.3309	0.4778	0.353	0.3348
-Not Mapped	TOTAL	0.01882	0.1192	0.04149	0.03838	0.2032	0.3309	0.4778	0.353	0.3348
TOTAL	MAPPED	1.019	1.135	1.043	1.04	1.255	1.495	1.915	1.546	1.503
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1
Genetic Information Processing	MAPPED	0.3377	0.2089	0.3301	0.2545	0.3564	0.2898	0.4258	0.4698	0.2147
-Transcription	MAPPED	0.007024	0.00434	0.004296	0.001349	0.01134	0.01584	0.02209	0.02256	0
-Translation	MAPPED	0.2714	0.1537	0.25	0.2103	0.236	0.1559	0.2881	0.2513	0.1473
-Folding, Sorting and Degradation	MAPPED	0.04596	0.03302	0.06941	0.03906	0.09921	0.1025	0.08776	0.1678	0.0615
-DNA Maintenance	MAPPED	0.005274	0.0115	0.005116	0.003964	0.01081	0.01545	0.02733	0.0289	0.004369
-RNA Family	MAPPED	0	0	0	0	0	0	0	0	0
Environmental Information Processing	MAPPED	0.005436	0.01292	0.01217	0.01013	0.01313	0.02302	0.007324	0.0631	0.008502
-Signal Transduction	MAPPED	0.005436	0.01292	0.01217	0.01013	0.01307	0.02259	0.007125	0.05947	0.008502
-Signaling Molecules and Interaction	MAPPED	0	0	0	0	1.211e-05	0	0.0002348	0.003637	0
Cellular Processes	MAPPED	0.004337	0.01132	0.01169	0.008344	0.0176	0.03589	0.02184	0.09408	0.004001
-Hemoglobin	MAPPED	0	0	0	0	0	0	0	0	0
-Vesicular Transport	MAPPED	0	0.0003386	0.00331	0.003652	0.007804	0.01939	0.01132	0.03267	0
-Cytoskeleton	MAPPED	0	0.001146	0.002169	0.001705	0.008846	0.01447	0.009019	0.02802	0
-Cell Motility	MAPPED	0.001059	0.006139	0	0	0	0	0	0	0.001137
-Cell Growth and Death	MAPPED	0.002795	0.001709	0.006153	0.002958	0.000953	0.001964	0.001489	0.01273	0.002142
-Cell Communication	MAPPED	0	0	1.137e-05	1.591e-05	0	0	0	0.02118	0
Metabolism	MAPPED	0.4488	0.4177	0.5484	0.6145	0.4459	0.5014	0.381	0.2981	0.3276
-Membrane Transport	MAPPED	0.00748	0.04345	0.0004844	0.0002292	0.001219	0.001005	0.0004316	0.0002001	0.02329
-Central Carbon Metabolism	MAPPED	0.1269	0.1534	0.3931	0.3464	0.1618	0.1799	0.1351	0.1136	0.07781
-Energy Metabolism	MAPPED	0.01142	0.0193	0.008665	0.01836	0.02593	0.0608	0.0741	0.06282	0.05686
-Biosynthesis	MAPPED	0.2037	0.1045	0.05669	0.1463	0.1773	0.1742	0.117	0.08994	0.1055
-Other Enzymes	MAPPED	0.08294	0.07918	0.06091	0.07928	0.06775	0.08663	0.04227	0.02952	0.05495
Organismal Systems	MAPPED	0	0	0	0	0.0001809	0.0005253	0.006268	0.02078	0
-Immune System	MAPPED	0	0	0	0	5.699e-05	0.0001342	2.015e-06	0.000212	0
-Endocrine System	MAPPED	0	0	0	0	0	0	0	0.0004758	0
-Circulatory System	MAPPED	0	0	0	0	7.505e-05	0.0003035	0	0.01671	0
-Digestive System	MAPPED	0	0	0	0	0	0	0	0.001688	0
-Excretory System	MAPPED	0	0	0	0	0	0	0	0.0003159	0
-Nervous System	MAPPED	0	0	0	0	0	0	0	0.001359	0
-Sensory System	MAPPED	0	0	0	0	0	0	0	0	0
-Development	MAPPED	0	0	0	0	0	0	0	0.0001111	0
-Environmental Adaptation	MAPPED	0	0	0	0	0	0	0.006172	0	0
Human Diseases	MAPPED	0	0.0009622	0.000152	0.001325	0.008018	0.01131	0.007836	0.004265	0
-Cancers	MAPPED	0	0	2.716e-05	0	4.873e-05	0.0003955	0.0001245	0.001504	0
-Immune System Diseases	MAPPED	0	0	4.771e-05	0.001176	0.0005056	0.001418	0.005295	0.0002946	0
-Neurodegenerative Diseases	MAPPED	0	0	0	0.0001001	0.0007514	0.00117	0.000814	0.0007937	0
-Cardiovascular Diseases	MAPPED	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	MAPPED	0	0	0	0	0	0	0	0	0
-Infectious Diseases	MAPPED	0	0	0.0001043	0	0.006552	0.006525	0.0005384	0.0008037	0
Not Mapped	MAPPED	0.01918	0.1353	0.04329	0.03992	0.2551	0.4945	0.9148	0.5456	0.5033
-Not Mapped	MAPPED	0.01918	0.1353	0.04329	0.03992	0.2551	0.4945	0.9148	0.5456	0.5033
