KO number	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener
K14721	NaN	NaN	NaN	NaN	2479	4238	2.215	8.766	NaN
K03020	NaN	NaN	NaN	NaN	25230	14389	3.852	77.891	NaN
K03022	NaN	NaN	NaN	NaN	NaN	NaN	1.067	27.252	NaN
K03023	NaN	NaN	NaN	NaN	1392	319	0.121	7.665	NaN
K03024	NaN	NaN	NaN	NaN	666	3713	0.893	NaN	NaN
K03026	NaN	NaN	NaN	NaN	1805	NaN	16.722	NaN	NaN
K03027	NaN	NaN	NaN	1724	26518	7030	16.203	52.207	NaN
K03017	NaN	NaN	NaN	NaN	7147	3958	40.058	67.549	NaN
K03019	NaN	NaN	NaN	NaN	3566	NaN	25.297	2.719	NaN
K03040	17803.54	3718	NaN	NaN	NaN	NaN	NaN	NaN	1420.115
K03043	4425.6	2577	NaN	NaN	NaN	NaN	NaN	NaN	749.744
K03046	4044.52	2230	NaN	NaN	NaN	NaN	NaN	NaN	474.012
K03086	484.78	953	NaN	NaN	NaN	NaN	NaN	NaN	66.557
K03087	NaN	302	NaN	NaN	NaN	NaN	NaN	NaN	41.458
K02405	NaN	38	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03088	NaN	183	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03093	NaN	NaN	NaN	NaN	NaN	NaN	0.093	NaN	NaN
K03092	NaN	113	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03048	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03060	3700.2	2568	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03010	NaN	NaN	NaN	NaN	8429	2359	18.222	43.181	NaN
K03006	NaN	NaN	NaN	NaN	4745	2294	20.386	65.875	NaN
K03008	NaN	NaN	NaN	NaN	8891	4697	10.827	79.803	NaN
K03012	NaN	NaN	9828	NaN	3205	7633	17.6	NaN	NaN
K03015	NaN	NaN	NaN	NaN	NaN	NaN	22.209	28.455	NaN
K03014	NaN	NaN	NaN	NaN	NaN	NaN	95.668	24.722	NaN
K03016	NaN	NaN	NaN	NaN	3255	9261	35.119	52.852	NaN
K03009	NaN	NaN	NaN	NaN	20748	1927	22.442	NaN	NaN
K03007	NaN	NaN	NaN	NaN	6303	13388	2.488	93.658	NaN
K03021	NaN	NaN	NaN	NaN	2182	NaN	0.814	5.407	NaN
K03018	NaN	NaN	7868	8489	3147	1013	1.792	NaN	NaN
K03025	NaN	NaN	NaN	NaN	2474	NaN	NaN	NaN	NaN
K03002	NaN	NaN	534	489	9681	2472	1.412	48.254	NaN
K02999	NaN	NaN	NaN	3213	8500	2441	17.029	50.969	NaN
K10843	NaN	NaN	4364	NaN	180	805	9.501	14.36	NaN
K03136	NaN	NaN	NaN	NaN	1534	NaN	12.187	20.49	NaN
K03137	NaN	NaN	NaN	NaN	731	NaN	2.567	38.879	NaN
K03134	NaN	NaN	NaN	NaN	9289	9625	9.84	5.606	NaN
K03133	NaN	NaN	4939	NaN	6873	9418	12.644	87.703	NaN
K03130	NaN	NaN	NaN	NaN	4955	4269	8.187	23.727	NaN
K03138	NaN	NaN	NaN	429	787	NaN	102.063	22.162	NaN
K03139	NaN	NaN	NaN	NaN	3534	881	7.096	54.781	NaN
K03124	NaN	NaN	NaN	NaN	855	NaN	17.16	54.786	NaN
K03126	NaN	NaN	NaN	NaN	3824	4898	3.875	62.642	NaN
