Numerator	Denominator	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.9845	0.8959	0.9589	0.9608	0.7862	0.6581	0.5155	0.6414	0.7325
Genetic Information Processing	TOTAL	0.5116	0.3508	0.3689	0.3213	0.2879	0.1917	0.1922	0.2939	0.1816
-Transcription	TOTAL	0.01312	0.02805	0.001219	0.0003806	0.003276	0.005427	0.01035	0.009489	0.0002821
-Translation	TOTAL	0.3984	0.2329	0.3465	0.3069	0.233	0.1313	0.143	0.225	0.1525
-Folding, Sorting and Degradation	TOTAL	0.07655	0.05868	0.01517	0.008681	0.03831	0.04237	0.02787	0.04566	0.02295
-DNA Maintenance	TOTAL	0.01201	0.02482	0.001734	0.001134	0.002735	0.006965	0.002827	0.006966	0.001847
-RNA Family	TOTAL	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0.001178	0.01055	0.0001588	0.0001843	0.002124	0.001738	0.0019	0.006458	0.01787
-Signal Transduction	TOTAL	0.001178	0.01047	7.71e-05	0.0001625	0.0005683	0.0007844	0.0008796	0.003041	0.01787
-Signaling Molecules and Interaction	TOTAL	0	7.795e-05	0	0	0.000353	0.0009537	0.0002474	0.002417	0
Cellular Processes	TOTAL	0.00832	0.01296	0.00113	0.001481	0.005953	0.008919	0.006791	0.02929	0.001577
-Hemoglobin	TOTAL	0	0	0	0	0	0	0	0	0
-Vesicular Transport	TOTAL	0	0	0.0001983	0.0002262	0.002402	0.004638	0.003944	0.01231	0
-Cytoskeleton	TOTAL	0.002647	0.003836	0	0	0.0008374	0.001158	0.0001154	0.004959	0.001411
-Cell Motility	TOTAL	0.001178	0.007671	0	0	0	0	0	0	0.0001292
-Cell Growth and Death	TOTAL	0.004495	0.001202	0.0003683	5.389e-05	0.0007998	0.0007778	0.0002486	0.00188	0
-Cell Communication	TOTAL	0	0	0	0	1.623e-05	7.914e-05	9.112e-06	0.001267	0
Metabolism	TOTAL	0.4184	0.4913	0.3561	0.4066	0.286	0.2676	0.1601	0.1403	0.1682
-Membrane Transport	TOTAL	0.01369	0.08083	0	0	0.000321	0.000637	0.0003081	0.00045	0.01131
-Central Carbon Metabolism	TOTAL	0.05438	0.09375	0.1458	0.1255	0.05545	0.05516	0.03414	0.03027	0.01748
-Energy Metabolism	TOTAL	0.01071	0.02182	0.008028	0.01311	0.0142	0.01278	0.02215	0.007443	0.02311
-Biosynthesis	TOTAL	0.1626	0.1003	0.02464	0.07307	0.08353	0.07175	0.02815	0.02547	0.03957
-Other Enzymes	TOTAL	0.1017	0.1401	0.04595	0.07908	0.07428	0.08356	0.03731	0.05737	0.05051
Organismal Systems	TOTAL	0	0	0.001041	0.0006144	0.004109	0.009199	0.005319	0.01589	0
-Immune System	TOTAL	0	0	0	0	0.000451	0.0005874	4.868e-06	0.000658	0
-Endocrine System	TOTAL	0	0	4.185e-06	2.123e-05	0.0004745	0.0006533	0.0001097	0.001905	0
-Circulatory System	TOTAL	0	0	0	0	0	0	0	7.207e-05	0
-Digestive System	TOTAL	0	0	0	0	0	0	0	0.0001578	0
-Excretory System	TOTAL	0	0	0	3.779e-06	0.0004021	0.001144	0.0003428	0.001373	0
-Nervous System	TOTAL	0	0	0	0	0	0	0	0.0005845	0
-Sensory System	TOTAL	0	0	0	0	0	0	0	4.736e-07	0
-Development	TOTAL	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	TOTAL	0	0	0	0	0	0	0.003311	0	0
