KO number	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener
K14721	NaN	NaN	NaN	NaN	867650	1483300	775.25	3068.1	NaN
K03020	NaN	NaN	NaN	NaN	3128520	1784236	1348.2	10281.612	NaN
K03022	NaN	NaN	NaN	NaN	NaN	NaN	373.45	9538.2	NaN
K03023	NaN	NaN	NaN	NaN	864432	198099	42.35	2682.75	NaN
K03024	NaN	NaN	NaN	NaN	147186	820573	312.55	NaN	NaN
K03026	NaN	NaN	NaN	NaN	604675	NaN	5852.7	NaN	NaN
K03027	NaN	NaN	NaN	577540	9440408	2502680	5671.05	18272.45	NaN
K03017	NaN	NaN	NaN	NaN	857640	474960	6632.556	8713.821	NaN
K03019	NaN	NaN	NaN	NaN	413656	NaN	8853.95	951.65	NaN
K03040	5857364.7	1223222	NaN	NaN	NaN	NaN	NaN	NaN	447336.22
K03043	5939155.2	3458334	NaN	NaN	NaN	NaN	NaN	NaN	832215.84
K03046	5690639.6	3137610	NaN	NaN	NaN	NaN	NaN	NaN	420253.15
K03086	297170.14	584189	NaN	NaN	NaN	NaN	NaN	NaN	28286.725
K03087	NaN	110532	NaN	NaN	NaN	NaN	NaN	NaN	17619.65
K02405	NaN	9082	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03088	NaN	34953	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03093	NaN	NaN	NaN	NaN	NaN	NaN	53.103	NaN	NaN
K03092	NaN	53901	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03048	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03060	336718.2	233688	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K03010	NaN	NaN	NaN	NaN	10553108	2953468	6420.764	50780.856	NaN
K03006	NaN	NaN	NaN	NaN	8370180	4046616	7135.1	124306.12	NaN
