Numerator	Denominator	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.9812	0.8808	0.9585	0.9616	0.7968	0.6691	0.5222	0.647	0.6652
Genetic Information Processing	TOTAL	0.3382	0.1872	0.3169	0.2451	0.2859	0.1956	0.2252	0.3061	0.1497
-Transcription	TOTAL	0.01525	0.009443	0.004148	0.001315	0.009116	0.01103	0.01172	0.01473	0.003097
-Translation	TOTAL	0.2673	0.1369	0.2397	0.2023	0.1885	0.1054	0.1509	0.1633	0.09959
-Folding, Sorting and Degradation	TOTAL	0.04705	0.03099	0.06699	0.03778	0.07968	0.06916	0.04657	0.1102	0.04501
-DNA Maintenance	TOTAL	0.01449	0.01464	0.006218	0.003876	0.009263	0.01135	0.01746	0.01973	0.005739
-RNA Family	TOTAL	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0.005602	0.01182	0.01175	0.009754	0.01086	0.01573	0.003951	0.041	0.006344
-Signal Transduction	TOTAL	0.005333	0.01182	0.01166	0.009754	0.01086	0.01573	0.003866	0.03864	0.006344
-Signaling Molecules and Interaction	TOTAL	0.0002682	0.0002916	8.61e-05	0	0.0001452	0.0004168	0.0001959	0.002378	0
Cellular Processes	TOTAL	0.006306	0.02268	0.0117	0.008419	0.01484	0.02437	0.01148	0.06207	0.003577
-Hemoglobin	TOTAL	0	0	0	0	0	0	0	0	0
-Vesicular Transport	TOTAL	0	0.0002983	0.003221	0.003525	0.006249	0.01323	0.005996	0.02122	0
-Cytoskeleton	TOTAL	0.001676	0.002055	0.002128	0.001653	0.007048	0.00968	0.004732	0.01817	0.001987
-Cell Motility	TOTAL	0.002578	0.01984	0	0	0	0	0	0	0.002152
-Cell Growth and Death	TOTAL	0.004279	0.002389	0.00644	0.003253	0.001575	0.001677	0.0008337	0.009064	0.002328
-Cell Communication	TOTAL	0	0	1.09e-05	1.53e-05	0	0	0	0.01371	0
Metabolism	TOTAL	0.4422	0.3738	0.527	0.5921	0.3569	0.3381	0.2005	0.1938	0.2184
-Membrane Transport	TOTAL	0.01021	0.04481	0.0004859	0.0002204	0.0009952	0.0009723	0.0003736	0.000223	0.01665
-Central Carbon Metabolism	TOTAL	0.1437	0.1495	0.4057	0.3641	0.1456	0.1265	0.07695	0.0742	0.05659
-Energy Metabolism	TOTAL	0.0275	0.03256	0.04959	0.06063	0.03193	0.04414	0.04117	0.04144	0.04939
-Biosynthesis	TOTAL	0.2287	0.1116	0.07892	0.1558	0.155	0.1267	0.06882	0.06069	0.07545
-Other Enzymes	TOTAL	0.1295	0.08429	0.08746	0.103	0.06515	0.06159	0.03362	0.0239	0.04184
Organismal Systems	TOTAL	0	0.007222	0	3.25e-05	0.001144	0.001782	0.004472	0.01373	0
-Immune System	TOTAL	0	0	0	3.25e-05	0.0004627	0.0003515	2.042e-05	0.0002095	0
-Endocrine System	TOTAL	0	0	0	0	4.371e-05	0	7.438e-07	0.0005337	0
-Circulatory System	TOTAL	0	0	0	0	0.0006542	0.001345	0.0005952	0.01081	0
-Digestive System	TOTAL	0	0	0	0	4.295e-05	0.000246	0.0001482	0.001101	0
-Excretory System	TOTAL	0	0	0	0	0	0	0	0.0002044	0
-Nervous System	TOTAL	0	0	0	0	0	0	0	0.0008792	0
-Sensory System	TOTAL	0	0	0	0	0	0	0	1.756e-06	0
-Development	TOTAL	0	0	0	0	0	0	0	7.186e-05	0
-Environmental Adaptation	TOTAL	0	0.007222	0	0	0	0	0.004326	0	0
Human Diseases	TOTAL	0	0.002929	0.0005235	0.001731	0.007388	0.009797	0.006048	0.003035	0.0004447
-Cancers	TOTAL	0	0.002082	2.603e-05	0.0004015	0.0003461	0.001136	0.0003652	0.00167	0.0004447
-Immune System Diseases	TOTAL	0	0	0.0001262	0.001602	0.0009898	0.002134	0.005278	0.0002154	0
-Neurodegenerative Diseases	TOTAL	0	0	0	0.0001433	0.001202	0.002021	0.0009187	0.001258	0
-Cardiovascular Diseases	TOTAL	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	TOTAL	0	0	0	0	0	0	0	0	0
-Infectious Diseases	TOTAL	0	0.0008475	0.0005235	0	0.006502	0.007545	0.0004447	0.000865	0
Not Mapped	TOTAL	0.01882	0.1192	0.04149	0.03838	0.2032	0.3309	0.4778	0.353	0.3348
-Not Mapped	TOTAL	0.01882	0.1192	0.04149	0.03838	0.2032	0.3309	0.4778	0.353	0.3348
TOTAL	MAPPED	1.019	1.135	1.043	1.04	1.255	1.495	1.915	1.546	1.503
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1
Genetic Information Processing	MAPPED	0.3447	0.2125	0.3306	0.2548	0.3588	0.2923	0.4312	0.4732	0.225
-Transcription	MAPPED	0.01554	0.01072	0.004327	0.001368	0.01144	0.01648	0.02245	0.02276	0.004655
-Translation	MAPPED	0.2724	0.1554	0.2501	0.2104	0.2366	0.1575	0.289	0.2524	0.1497
-Folding, Sorting and Degradation	MAPPED	0.04795	0.03518	0.06989	0.03929	0.1	0.1034	0.08917	0.1703	0.06767
-DNA Maintenance	MAPPED	0.01477	0.01662	0.006487	0.004031	0.01163	0.01696	0.03342	0.0305	0.008627
-RNA Family	MAPPED	0	0	0	0	0	0	0	0	0
Environmental Information Processing	MAPPED	0.005709	0.01342	0.01226	0.01014	0.01363	0.02351	0.007566	0.06337	0.009536
-Signal Transduction	MAPPED	0.005436	0.01342	0.01217	0.01014	0.01363	0.02351	0.007403	0.05972	0.009536
-Signaling Molecules and Interaction	MAPPED	0.0002734	0.0003311	8.983e-05	0	0.0001823	0.000623	0.0003751	0.003675	0
Cellular Processes	MAPPED	0.006427	0.02575	0.01221	0.008756	0.01863	0.03642	0.02199	0.09594	0.005377
-Hemoglobin	MAPPED	0	0	0	0	0	0	0	0	0
-Vesicular Transport	MAPPED	0	0.0003386	0.003361	0.003666	0.007843	0.01978	0.01148	0.0328	0
-Cytoskeleton	MAPPED	0.001709	0.002334	0.00222	0.001719	0.008846	0.01447	0.009062	0.02808	0.002987
-Cell Motility	MAPPED	0.002628	0.02253	0	0	0	0	0	0	0.003235
-Cell Growth and Death	MAPPED	0.004361	0.002713	0.006719	0.003383	0.001977	0.002507	0.001596	0.01401	0.0035
-Cell Communication	MAPPED	0	0	1.137e-05	1.591e-05	0	0	0	0.02118	0
Metabolism	MAPPED	0.4507	0.4244	0.5498	0.6157	0.4479	0.5053	0.3839	0.2996	0.3283
-Membrane Transport	MAPPED	0.01041	0.05087	0.0005069	0.0002292	0.001249	0.001453	0.0007154	0.0003446	0.02504
-Central Carbon Metabolism	MAPPED	0.1464	0.1698	0.4233	0.3786	0.1827	0.189	0.1473	0.1147	0.08508
-Energy Metabolism	MAPPED	0.02803	0.03697	0.05174	0.06305	0.04008	0.06596	0.07884	0.06405	0.07425
-Biosynthesis	MAPPED	0.2331	0.1267	0.08234	0.162	0.1945	0.1894	0.1318	0.09379	0.1134
-Other Enzymes	MAPPED	0.132	0.09569	0.09125	0.1072	0.08177	0.09204	0.06438	0.03695	0.0629
Organismal Systems	MAPPED	0	0.008199	0	3.38e-05	0.001436	0.002664	0.008563	0.02122	0
-Immune System	MAPPED	0	0	0	3.38e-05	0.0005807	0.0005253	3.91e-05	0.0003238	0
-Endocrine System	MAPPED	0	0	0	0	5.486e-05	0	1.424e-06	0.0008249	0
-Circulatory System	MAPPED	0	0	0	0	0.0008211	0.002011	0.00114	0.01671	0
-Digestive System	MAPPED	0	0	0	0	5.39e-05	0.0003677	0.0002838	0.001701	0
-Excretory System	MAPPED	0	0	0	0	0	0	0	0.0003159	0
-Nervous System	MAPPED	0	0	0	0	0	0	0	0.001359	0
-Sensory System	MAPPED	0	0	0	0	0	0	0	2.713e-06	0
-Development	MAPPED	0	0	0	0	0	0	0	0.0001111	0
-Environmental Adaptation	MAPPED	0	0.008199	0	0	0	0	0.008285	0	0
Human Diseases	MAPPED	0	0.003325	0.0005462	0.001801	0.009272	0.01464	0.01158	0.004691	0.0006685
-Cancers	MAPPED	0	0.002363	2.716e-05	0.0004175	0.0004343	0.001698	0.0006992	0.002581	0.0006685
-Immune System Diseases	MAPPED	0	0	0.0001316	0.001666	0.001242	0.00319	0.01011	0.0003329	0
-Neurodegenerative Diseases	MAPPED	0	0	0	0.000149	0.001508	0.00302	0.001759	0.001944	0
-Cardiovascular Diseases	MAPPED	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	MAPPED	0	0	0	0	0	0	0	0	0
