Numerator	Denominator	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener
		10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%
-Membrane Transport	-DNA Maintenance	0.3247	0.6382	2.236	1.438	2.65	4.505	0	0.0779	0.1009	0	0.05686	0.06681	0	0.1077	0.1276	0	0.06268	0.0846	0.008592	0.01568	0.02615	0.005368	0.006925	0.01131	1.394	3.534	6.371
-Central Carbon Metabolism	-DNA Maintenance	5.714	24.07	29.73	5.748	12.94	15.18	60.28	69.44	79.22	81.02	87.63	108.5	13.31	15.3	16.38	9.846	11.31	12.87	3.857	4.985	5.596	3.716	3.839	4.109	7.987	15.42	23.52
-Energy Metabolism	-DNA Maintenance	0.5012	1.051	5.532	0.6442	1.523	3.297	1.332	1.503	10.1	3.881	4.723	15.73	1.744	2.497	3.629	3.062	3.923	4.538	2.174	2.701	3.218	2.046	2.127	2.331	4.502	13.01	17.5
-Biosynthesis	-DNA Maintenance	8.95	36.45	45.25	4.281	8.803	10.91	7.748	8.739	16.39	32.17	36.49	44.89	14.74	16.21	17.54	9.469	11.28	12.73	3.484	3.969	4.648	2.782	3.05	3.34	10.58	24.04	31.01
-Other Enzymes	-DNA Maintenance	3.998	10.69	27.72	4.018	6.234	7.309	2.687	10.97	14.07	7.072	19.67	30.95	3.974	6.222	8.558	3.174	4.906	6.605	1.064	1.278	2.748	0.7973	1	1.245	6.102	9.594	15.14
Organismal Systems	-DNA Maintenance	0	0	0	0	0	0.6872	0	0	0	0	0	0.008527	0	0.01595	0.1327	0	0.03097	0.1602	0.18	0.2298	0.3062	0.6693	0.7083	0.7502	0	0	0
-Immune System	-DNA Maintenance	0	0	0	0	0	0	0	0	0	0	0	0.008527	0	0.005965	0.05673	0	0.008691	0.03236	0	8.262e-05	0.001349	0.006376	0.007412	0.01084	0	0	0
-Endocrine System	-DNA Maintenance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004513	0	0	0	0	0	5.943e-05	0.0128	0.01593	0.02885	0	0	0
-Circulatory System	-DNA Maintenance	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006617	0.07406	0	0.01806	0.1209	0	0	0.03478	0.535	0.5668	0.5955	0	0	0
-Digestive System	-DNA Maintenance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004435	0	0	0.02013	0	0	0.008186	0.05398	0.05711	0.05991	0	0	0
-Excretory System	-DNA Maintenance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01033	0.01071	0.0115	0	0	0
-Nervous System	-DNA Maintenance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04443	0.04605	0.04946	0	0	0
-Sensory System	-DNA Maintenance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.39e-05	0	0	0
-Development	-DNA Maintenance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003631	0.003763	0.004043	0	0	0
-Environmental Adaptation	-DNA Maintenance	0	0	0	0	0	0.6872	0	0	0	0	0	0	0	0	0	0	0	0	0.1798	0.2282	0.2662	0	0	0	0	0	0
Human Diseases	-DNA Maintenance	0	0	0	0	0.06463	0.2169	0.005309	0.02635	0.1087	0.02484	0.3343	0.52	0.5748	0.7811	0.915	0.447	0.7568	0.9376	0.06715	0.2873	0.4833	0.1303	0.1451	0.1569	0	0	0.1812
-Cancers	-DNA Maintenance	0	0	0	0	0	0.2133	0	0.004194	0.005471	0	0	0.1036	0	0.004191	0.03794	0	0.02332	0.1125	0.003724	0.005216	0.02551	0.04669	0.05206	0.08914	0	0	0.1812
-Immune System Diseases	-DNA Maintenance	0	0	0	0	0	0	0	0.007335	0.02117	0	0.2915	0.4856	0	0.04348	0.1285	0	0.08441	0.2357	0	0.1935	0.4263	0	0.009983	0.01152	0	0	0
-Neurodegenerative Diseases	-DNA Maintenance	0	0	0	0	0	0	0	0	0	0.003542	0.02919	0.03891	0.00854	0.06948	0.1328	0.008558	0.08183	0.1795	0.007451	0.03225	0.0574	0.01197	0.02776	0.06721	0	0	0
-Cardiovascular Diseases	-DNA Maintenance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	-DNA Maintenance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Infectious Diseases	-DNA Maintenance	0	0	0	0	0	0.0837	0	0.01608	0.1087	0	0	0	0.4714	0.6187	0.736	0.2876	0.4071	0.6783	0.0003847	0.01643	0.03089	0.003533	0.02639	0.04866	0	0	0
Not Mapped	-DNA Maintenance	0.9061	3.637	4.481	5.683	11.34	12.42	6.654	6.961	8.72	9.892	10.01	11.64	20.99	23.43	26.69	27.07	30.85	36.54	26.39	33.44	38.18	17.84	18.49	19.86	52.4	105.2	155.6
-Not Mapped	-DNA Maintenance	0.9061	3.637	4.481	5.683	11.34	12.42	6.654	6.961	8.72	9.892	10.01	11.64	20.99	23.43	26.69	27.07	30.85	36.54	26.39	33.44	38.18	17.84	18.49	19.86	52.4	105.2	155.6
TOTAL	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
MAPPED	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Genetic Information Processing	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Transcription	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN
-Translation	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-DNA Maintenance	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-RNA Family	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Environmental Information Processing	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Signal Transduction	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-RNA Family	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN	NaN	NaN	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	NaN	NaN	NaN
Cellular Processes	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Hemoglobin	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Vesicular Transport	-RNA Family	NaN	NaN	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	NaN	NaN
-Cytoskeleton	-RNA Family	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN
-Cell Motility	-RNA Family	Inf	Inf	NaN	Inf	Inf	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	Inf	Inf	Inf
-Cell Growth and Death	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN
-Cell Communication	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	Inf	Inf	Inf	Inf	Inf	Inf	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	Inf	Inf	Inf	NaN	NaN	NaN
Metabolism	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Membrane Transport	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Energy Metabolism	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Biosynthesis	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Other Enzymes	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Organismal Systems	-RNA Family	NaN	NaN	NaN	Inf	Inf	NaN	NaN	NaN	NaN	Inf	NaN	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	NaN	NaN
-Immune System	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	Inf	NaN	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	Inf	NaN	NaN	NaN
-Endocrine System	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	Inf	NaN	NaN	NaN	NaN	NaN	Inf	Inf	NaN	Inf	Inf	Inf	NaN	NaN	NaN
-Circulatory System	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	NaN	NaN	Inf	Inf	Inf	NaN	NaN	NaN
-Digestive System	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN	Inf	Inf	Inf	NaN	NaN	NaN
-Excretory System	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	Inf	Inf	Inf	NaN	NaN	NaN
-Nervous System	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	Inf	Inf	Inf	NaN	NaN	NaN
-Sensory System	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	Inf	Inf	NaN	NaN	NaN	NaN
-Development	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	Inf	Inf	Inf	NaN	NaN	NaN
-Environmental Adaptation	-RNA Family	NaN	NaN	NaN	Inf	Inf	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	Inf	Inf	Inf	NaN	NaN	NaN	NaN	NaN	NaN
Human Diseases	-RNA Family	NaN	NaN	NaN	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	NaN
-Cancers	-RNA Family	NaN	NaN	NaN	Inf	NaN	NaN	Inf	Inf	NaN	Inf	NaN	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	NaN
-Immune System Diseases	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	NaN	NaN
-Neurodegenerative Diseases	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	NaN	NaN
-Cardiovascular Diseases	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Metabolic Diseases	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Infectious Diseases	-RNA Family	NaN	NaN	NaN	Inf	NaN	NaN	Inf	Inf	NaN	NaN	NaN	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	NaN	NaN
Not Mapped	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Not Mapped	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
TOTAL	Environmental Information Processing	178.5	187.5	187.5	53.75	87.67	87.85	85.11	85.74	85.74	102.5	102.7	102.8	91.86	95.55	98.42	63.17	64.93	66.48	248.8	256.4	270.8	24.37	24.41	24.53	72.91	173.9	231.3
MAPPED	Environmental Information Processing	175.2	184	184	47.34	77.22	77.38	81.58	82.18	82.18	98.59	98.72	98.86	73.19	76.13	78.42	42.27	43.45	44.49	129.9	133.9	141.4	15.76	15.79	15.87	48.5	115.7	153.9
Genetic Information Processing	Environmental Information Processing	57.87	61.98	62.55	9.768	16	16.29	26.81	27.13	27.17	25.02	25.13	25.18	25.83	27.13	28.18	12.15	12.57	13.02	54.35	57.71	59.71	7.374	7.418	7.511	10.96	24.94	34.6
-Transcription	Environmental Information Processing	1.203	1.23	2.859	0.3019	0.3275	0.8295	0.3466	0.3525	0.3556	0.1317	0.133	0.1352	0.8208	0.837	0.889	0.6502	0.6965	0.7111	2.843	2.951	3.105	0.3183	0.3557	0.3612	0	0	0.4961
-Translation	Environmental Information Processing	47.71	49.93	50.11	7.278	11.87	12.03	20.39	20.55	20.55	20.73	20.76	20.8	17.19	17.95	18.55	6.544	6.742	7.016	37.3	38.63	40.83	3.927	3.97	3.998	7.185	16.93	23.03
-Folding, Sorting and Degradation	Environmental Information Processing	7.722	8.456	8.821	1.478	2.521	2.722	5.654	5.704	5.744	3.824	3.861	3.876	7.032	7.583	7.799	4.232	4.464	4.597	10.98	12.08	12.31	2.6	2.648	2.697	3.282	7.191	10.31
-DNA Maintenance	Environmental Information Processing	0.7876	0.9238	2.717	0.5245	0.8896	1.286	0.4007	0.4174	0.5331	0.2408	0.3919	0.3979	0.6969	0.8174	0.8849	0.5661	0.6872	0.7437	3.114	3.633	4.642	0.4003	0.4586	0.4827	0.1552	0.5017	1.276
-RNA Family	Environmental Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Environmental Information Processing	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-Signal Transduction	Environmental Information Processing	0.9521	1	1	0.975	1	1	0.9927	1	1	1	1	1	0.9848	0.9959	1	0.9723	0.984	1	0.9486	0.9675	0.9875	0.9415	0.9422	0.9432	1	1	1
-Signaling Molecules and Interaction	Environmental Information Processing	0	0	0.04789	0	0	0.02498	0	0	0.007328	0	0	0	0	0.0009673	0.01383	0	0	0.02692	0.01218	0.03098	0.05102	0.05667	0.05739	0.05817	0	0	0
Cellular Processes	Environmental Information Processing	0.1296	0.7978	1.126	0.1904	0.8763	1.943	0.9454	0.961	1.003	0.8213	0.8249	0.8644	1.296	1.34	1.418	1.505	1.555	1.617	2.837	2.923	3.089	1.476	1.493	1.515	0.1517	0.4264	0.8395
-Hemoglobin	Environmental Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	Environmental Information Processing	0	0	0	0.01603	0.02615	0.0262	0.27	0.272	0.2762	0.36	0.3605	0.3619	0.5712	0.5941	0.615	0.8083	0.8446	0.8679	1.471	1.523	1.602	0.5139	0.5177	0.5191	0	0	0
-Cytoskeleton	Environmental Information Processing	0	0	0.3143	0	0.08867	0.1739	0.177	0.1783	0.1824	0.1681	0.1683	0.1697	0.6474	0.6734	0.6936	0.6115	0.6286	0.6436	1.172	1.208	1.277	0.4325	0.4423	0.4447	0	0	0.1449
-Cell Motility	Environmental Information Processing	0	0.1948	0.4603	0	0.4741	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006798	0.1316	0.4978
-Cell Growth and Death	Environmental Information Processing	0	0.4895	0.8023	0	0.131	0.1507	0.4975	0.5057	0.5522	0.2916	0.2924	0.334	0.06131	0.07603	0.1504	0.08028	0.08475	0.1089	0.1854	0.2005	0.213	0.187	0.2014	0.2212	0	0.2479	0.373
-Cell Communication	Environmental Information Processing	0	0	0	0	0	0	0.0009279	0.0009347	0.0009347	0.001568	0.00157	0.001573	0	0	0	0	0	0	0	0	0	0.3339	0.3346	0.3363	0	0	0
Metabolism	Environmental Information Processing	76.96	82.35	82.82	19.91	32.14	32.84	44.85	45.03	45.15	60.58	60.67	60.78	32.51	33.97	34.85	20.97	21.77	22.32	50	51.02	53.84	4.637	4.702	4.738	14.83	37.96	48.41
-Membrane Transport	Environmental Information Processing	0.4718	1.376	1.915	2.106	3.031	3.936	0	0.03981	0.04166	0	0.02263	0.02266	0	0.0928	0.09558	0	0.04446	0.0618	0.03988	0.05749	0.09768	0.002437	0.003176	0.005471	0.2163	2.54	3.071
-Central Carbon Metabolism	Environmental Information Processing	21.19	23.21	26.94	7.712	11.52	12.65	28.3	32.31	34.78	30.42	34.2	37.43	11.41	12.27	13.91	7.404	7.758	8.227	17.43	18.45	20	1.774	1.798	1.821	3.649	8.969	12.15
-Energy Metabolism	Environmental Information Processing	0.9238	2.102	5.11	0.7422	1.36	2.755	0.6204	0.7121	4.252	1.542	1.815	6.225	1.418	1.974	2.942	2.152	2.642	2.934	9.202	10.18	10.54	0.9848	0.9962	1.01	3.801	6.457	8.831
-Biosynthesis	Environmental Information Processing	28.71	37.47	41.8	4.947	7.87	9.717	4.049	4.659	6.766	11.07	14.44	15.97	11.62	13.59	14.62	7.102	7.664	8.134	13.77	16.49	17.87	1.326	1.427	1.486	4.811	12.47	16.4
-Other Enzymes	Environmental Information Processing	9.871	15.26	24.28	3.79	6.061	7.22	1.436	5.006	7.499	2.768	7.827	10.58	3.516	5.412	6.373	2.34	3.739	4.053	3.866	5.787	8.697	0.3649	0.4663	0.5824	2.349	6.522	7.784
Organismal Systems	Environmental Information Processing	0	0	0	0	0	0.6344	0	0	0	0	0	0.003332	0	0.01383	0.1051	0	0.02282	0.1126	0.7954	0.8559	1.148	0.3231	0.3293	0.3361	0	0	0
-Immune System	Environmental Information Processing	0	0	0	0	0	0	0	0	0	0	0	0.003332	0	0.004339	0.0442	0	0.0058	0.02282	0	0.0002831	0.005217	0.003078	0.003365	0.005112	0	0	0
-Endocrine System	Environmental Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00416	0	0	0	0	0	0.0002014	0.00616	0.007514	0.01309	0	0	0
-Circulatory System	Environmental Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005715	0.06023	0	0.01322	0.08499	0	0	0.1481	0.2579	0.2637	0.2652	0	0	0
-Digestive System	Environmental Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004088	0	0	0.01589	0	0	0.038	0.02595	0.02664	0.027	0	0	0
-Excretory System	Environmental Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00498	0.00499	0.005015	0	0	0
-Nervous System	Environmental Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02142	0.02146	0.02157	0	0	0
-Sensory System	Environmental Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.307e-05	0	0	0
-Development	Environmental Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001751	0.001754	0.001763	0	0	0
-Environmental Adaptation	Environmental Information Processing	0	0	0	0	0	0.6344	0	0	0	0	0	0	0	0	0	0	0	0	0.7954	0.8427	1.135	0	0	0	0	0	0
Human Diseases	Environmental Information Processing	0	0	0	0	0.07445	0.1829	0.002216	0.01249	0.04489	0.009885	0.1308	0.1777	0.4985	0.6078	0.6964	0.3324	0.4916	0.6189	0.3192	1.044	1.6	0.05811	0.06736	0.07402	0	0	0.08115
-Cancers	Environmental Information Processing	0	0	0	0	0	0.1825	0	0.002232	0.002232	0	0	0.04122	0	0.003709	0.03294	0	0.01719	0.07705	0.016	0.01768	0.09363	0.02243	0.02371	0.0408	0	0	0.08115
-Immune System Diseases	Environmental Information Processing	0	0	0	0	0	0	0	0.003921	0.01082	0	0.1161	0.1644	0	0.03848	0.09457	0	0.06278	0.1377	0	0.7437	1.38	0	0.004644	0.005283	0	0	0
-Neurodegenerative Diseases	Environmental Information Processing	0	0	0	0	0	0	0	0	0	0.001411	0.009885	0.01473	0.007089	0.05892	0.1155	0.006115	0.05082	0.1306	0.02691	0.1093	0.2402	0.004791	0.0126	0.03083	0	0	0
-Cardiovascular Diseases	Environmental Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	Environmental Information Processing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Infectious Diseases	Environmental Information Processing	0	0	0	0	0	0.07445	0	0.008571	0.04489	0	0	0	0.4345	0.4879	0.5986	0.2271	0.29	0.4767	0.001786	0.07184	0.1183	0.001617	0.01276	0.02108	0	0	0
Not Mapped	Environmental Information Processing	3.36	3.529	3.529	6.407	10.45	10.47	3.531	3.557	3.557	3.935	3.941	3.946	18.67	19.42	20	20.9	21.49	22	118.9	122.5	129.4	8.601	8.617	8.66	24.41	58.24	77.43
-Not Mapped	Environmental Information Processing	3.36	3.529	3.529	6.407	10.45	10.47	3.531	3.557	3.557	3.935	3.941	3.946	18.67	19.42	20	20.9	21.49	22	118.9	122.5	129.4	8.601	8.617	8.66	24.41	58.24	77.43
TOTAL	-Signal Transduction	187.5	187.5	187.5	53.75	87.85	87.85	85.74	85.74	85.74	102.5	102.7	102.8	91.86	95.96	99.94	63.17	65.99	67.83	256.8	266.3	276.4	25.87	25.89	26.04	72.91	173.9	231.3
MAPPED	-Signal Transduction	184	184	184	47.34	77.38	77.38	82.18	82.18	82.18	98.59	98.72	98.86	73.19	76.46	79.63	42.27	44.15	45.38	134.1	139.1	144.3	16.74	16.75	16.85	48.5	115.7	153.9
Genetic Information Processing	-Signal Transduction	60.78	62.12	63.41	9.768	16	16.44	27.01	27.13	27.17	25.02	25.13	25.18	25.83	27.35	28.5	12.15	12.8	13.18	56.09	59.49	62.07	7.828	7.879	7.966	10.96	24.94	34.6
-Transcription	-Signal Transduction	1.203	1.292	2.859	0.3019	0.3358	0.8295	0.3466	0.353	0.3556	0.1317	0.133	0.1352	0.8264	0.837	0.9028	0.6651	0.701	0.7148	2.939	3.046	3.189	0.3377	0.3778	0.3835	0	0	0.4961
-Translation	-Signal Transduction	49.93	49.93	50.11	7.278	11.9	12.03	20.54	20.55	20.55	20.73	20.76	20.8	17.19	18.05	18.84	6.544	6.884	7.134	38.49	40.08	41.56	4.163	4.21	4.245	7.185	16.93	23.03
-Folding, Sorting and Degradation	-Signal Transduction	8.051	8.456	8.821	1.478	2.522	2.722	5.688	5.704	5.744	3.824	3.861	3.876	7.032	7.585	7.806	4.232	4.517	4.597	11.34	12.32	12.84	2.76	2.812	2.86	3.282	7.191	10.31
-DNA Maintenance	-Signal Transduction	0.7876	0.9703	2.717	0.5245	0.8896	1.286	0.4007	0.4205	0.5331	0.2408	0.3919	0.3979	0.6969	0.8208	0.8893	0.5661	0.7027	0.749	3.205	3.828	4.798	0.4251	0.4869	0.5121	0.1552	0.5017	1.276
-RNA Family	-Signal Transduction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Signal Transduction	1	1	1.05	1	1	1.026	1	1	1.007	1	1	1	1	1.001	1.014	1	1	1.028	1.012	1.032	1.054	1.06	1.061	1.062	1	1	1
