Numerator	Denominator	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener
		10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%
-Signal Transduction	MAPPED	0.005436	0.005436	0.005436	0.01292	0.01292	0.01342	0.01217	0.01217	0.01217	0.01012	0.01013	0.01014	0.01251	0.01307	0.01363	0.02186	0.02259	0.02351	0.006836	0.007125	0.007403	0.05935	0.05947	0.05972	0.006405	0.008502	0.009536
-Signaling Molecules and Interaction	MAPPED	0	0	0.0002734	0	0	0.0003311	0	0	8.983e-05	0	0	0	0	1.211e-05	0.0001823	0	0	0.000623	9.131e-05	0.0002348	0.0003751	0.003588	0.003637	0.003675	0	0	0
Cellular Processes	MAPPED	0.0007045	0.004337	0.006427	0.002461	0.01132	0.02575	0.01159	0.01169	0.01221	0.00833	0.008344	0.008756	0.01747	0.0176	0.01863	0.0355	0.03589	0.03642	0.02171	0.02184	0.02199	0.09307	0.09408	0.09594	0.001498	0.004001	0.005377
-Hemoglobin	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	MAPPED	0	0	0	0.0003386	0.0003386	0.0003386	0.00331	0.00331	0.003361	0.003652	0.003652	0.003666	0.007804	0.007804	0.007843	0.01912	0.01939	0.01978	0.01128	0.01132	0.01148	0.0326	0.03267	0.0328	0	0	0
-Cytoskeleton	MAPPED	0	0	0.001709	0	0.001146	0.002334	0.002169	0.002169	0.00222	0.001705	0.001705	0.001719	0.008846	0.008846	0.008846	0.01447	0.01447	0.01447	0.009016	0.009019	0.009062	0.02743	0.02802	0.02808	0	0	0.002987
-Cell Motility	MAPPED	0	0.001059	0.002628	0	0.006139	0.02253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001402	0.001137	0.003235
-Cell Growth and Death	MAPPED	0	0.002795	0.004361	0	0.001709	0.002713	0.006098	0.006153	0.006719	0.002958	0.002958	0.003383	0.0007819	0.000953	0.001977	0.001843	0.001964	0.002507	0.00132	0.001489	0.001596	0.0118	0.01273	0.01401	0	0.002142	0.0035
-Cell Communication	MAPPED	0	0	0	0	0	0	1.137e-05	1.137e-05	1.137e-05	1.591e-05	1.591e-05	1.591e-05	0	0	0	0	0	0	0	0	0	0.02118	0.02118	0.02118	0	0	0
Metabolism	MAPPED	0.4376	0.4488	0.4507	0.4062	0.4177	0.4244	0.5474	0.5484	0.5498	0.6138	0.6145	0.6157	0.4433	0.4459	0.4479	0.4962	0.5014	0.5053	0.3787	0.381	0.3839	0.2938	0.2981	0.2996	0.3057	0.3276	0.3283
-Membrane Transport	MAPPED	0.002565	0.00748	0.01041	0.02791	0.04345	0.05087	0	0.0004844	0.0005069	0	0.0002292	0.0002292	0	0.001219	0.001249	0	0.001005	0.001453	0.0002881	0.0004316	0.0007154	0.0001535	0.0002001	0.0003446	0.00446	0.02329	0.02504
-Central Carbon Metabolism	MAPPED	0.121	0.1269	0.1464	0.1369	0.1534	0.1698	0.3469	0.3931	0.4233	0.3077	0.3464	0.3786	0.1475	0.1618	0.1827	0.1707	0.1799	0.189	0.1337	0.1351	0.1473	0.1119	0.1136	0.1147	0.07379	0.07781	0.08508
-Energy Metabolism	MAPPED	0.005021	0.01142	0.02803	0.009591	0.0193	0.03697	0.007549	0.008665	0.05174	0.01564	0.01836	0.06305	0.01933	0.02593	0.04008	0.0509	0.0608	0.06596	0.07082	0.0741	0.07884	0.06241	0.06282	0.06405	0.03884	0.05686	0.07425
-Biosynthesis	MAPPED	0.1561	0.2037	0.2331	0.09666	0.1045	0.1267	0.04927	0.05669	0.08234	0.1122	0.1463	0.162	0.1549	0.1773	0.1945	0.1669	0.1742	0.1894	0.1042	0.117	0.1318	0.08409	0.08994	0.09379	0.09919	0.1055	0.1134
-Other Enzymes	MAPPED	0.05636	0.08294	0.132	0.06384	0.07918	0.09569	0.01748	0.06091	0.09125	0.02803	0.07928	0.1072	0.0462	0.06775	0.08177	0.05385	0.08663	0.09204	0.02903	0.04227	0.06438	0.02301	0.02952	0.03695	0.04184	0.05495	0.0629
