Numerator	Denominator	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.9812	0.8808	0.9585	0.9616	0.7968	0.6691	0.5222	0.647	0.6652
Genetic Information Processing	TOTAL	0.3242	0.1798	0.315	0.2434	0.2812	0.1911	0.2184	0.3024	0.142
-Transcription	TOTAL	0.006418	0.003443	0.004043	0.001283	0.008608	0.01007	0.01109	0.01305	0
-Translation	TOTAL	0.2663	0.1354	0.2396	0.2022	0.1867	0.1036	0.1498	0.1609	0.09667
-Folding, Sorting and Degradation	TOTAL	0.04294	0.02668	0.06634	0.0373	0.07655	0.06658	0.04415	0.1066	0.03845
-DNA Maintenance	TOTAL	0.004201	0.009541	0.004674	0.002343	0.007587	0.008777	0.01211	0.01635	0.002128
-RNA Family	TOTAL	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0.005333	0.01138	0.01166	0.009727	0.009974	0.01474	0.003672	0.04075	0.004261
-Signal Transduction	TOTAL	0.005333	0.01138	0.01166	0.009727	0.009964	0.01462	0.00357	0.0384	0.004261
-Signaling Molecules and Interaction	TOTAL	0	0	0	0	0	0	4.769e-05	0.002322	0
Cellular Processes	TOTAL	0.0006912	0.002168	0.01111	0.00801	0.01392	0.02376	0.01134	0.06022	0.0009967
-Hemoglobin	TOTAL	0	0	0	0	0	0	0	0	0
-Vesicular Transport	TOTAL	0	0.0002983	0.003173	0.003511	0.006218	0.0128	0.005893	0.02109	0
-Cytoskeleton	TOTAL	0	0	0.002079	0.001639	0.007048	0.00968	0.004708	0.01775	0
-Cell Motility	TOTAL	0	0	0	0	0	0	0	0	9.324e-05
-Cell Growth and Death	TOTAL	0	0	0.005845	0.002844	0.000623	0.001234	0.0006893	0.007633	0
-Cell Communication	TOTAL	0	0	1.09e-05	1.53e-05	0	0	0	0.01371	0
Metabolism	TOTAL	0.4293	0.3577	0.5247	0.5903	0.3532	0.332	0.1978	0.1901	0.2033
-Membrane Transport	TOTAL	0.002516	0.02459	0	0	0	0	0.0001505	9.932e-05	0.002967
-Central Carbon Metabolism	TOTAL	0.1187	0.1206	0.3325	0.2959	0.1176	0.1142	0.06982	0.07241	0.04908
-Energy Metabolism	TOTAL	0.004927	0.008448	0.007236	0.01504	0.0154	0.03406	0.03698	0.04038	0.02584
-Biosynthesis	TOTAL	0.1531	0.08514	0.04723	0.1079	0.1234	0.1117	0.0544	0.05441	0.06598
-Other Enzymes	TOTAL	0.0553	0.05623	0.01675	0.02696	0.03681	0.03603	0.01516	0.01489	0.02783
Organismal Systems	TOTAL	0	0	0	0	0	0	0.00314	0.01324	0
-Immune System	TOTAL	0	0	0	0	0	0	0	0.0001262	0
-Endocrine System	TOTAL	0	0	0	0	0	0	0	0.0002523	0
-Circulatory System	TOTAL	0	0	0	0	0	0	0	0.01058	0
-Digestive System	TOTAL	0	0	0	0	0	0	0	0.001065	0
-Excretory System	TOTAL	0	0	0	0	0	0	0	0.0002044	0
-Nervous System	TOTAL	0	0	0	0	0	0	0	0.0008792	0
-Sensory System	TOTAL	0	0	0	0	0	0	0	0	0
-Development	TOTAL	0	0	0	0	0	0	0	7.186e-05	0
-Environmental Adaptation	TOTAL	0	0	0	0	0	0	0.003139	0	0
Human Diseases	TOTAL	0	0	2.603e-05	9.629e-05	0.005195	0.005026	0.001172	0.002372	0
-Cancers	TOTAL	0	0	0	0	0	0	6.396e-05	0.0009187	0
-Immune System Diseases	TOTAL	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	TOTAL	0	0	0	1.374e-05	7.718e-05	9.622e-05	0.0001063	0.0001956	0
-Cardiovascular Diseases	TOTAL	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	TOTAL	0	0	0	0	0	0	0	0	0
-Infectious Diseases	TOTAL	0	0	0	0	0.004565	0.003516	6.964e-06	6.598e-05	0
Not Mapped	TOTAL	0.01882	0.1192	0.04149	0.03838	0.2032	0.3309	0.4778	0.353	0.3348
-Not Mapped	TOTAL	0.01882	0.1192	0.04149	0.03838	0.2032	0.3309	0.4778	0.353	0.3348
TOTAL	MAPPED	1.019	1.135	1.043	1.04	1.255	1.495	1.915	1.546	1.503
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1
Genetic Information Processing	MAPPED	0.3304	0.2041	0.3286	0.2531	0.353	0.2856	0.4182	0.4673	0.2134
-Transcription	MAPPED	0.006542	0.003909	0.004218	0.001334	0.0108	0.01505	0.02123	0.02017	0
-Translation	MAPPED	0.2714	0.1537	0.25	0.2102	0.2343	0.1548	0.2869	0.2487	0.1453
-Folding, Sorting and Degradation	MAPPED	0.04376	0.03029	0.06921	0.03879	0.09608	0.0995	0.08454	0.1647	0.0578
-DNA Maintenance	MAPPED	0.004281	0.01083	0.004876	0.002436	0.009522	0.01312	0.02318	0.02526	0.003199
-RNA Family	MAPPED	0	0	0	0	0	0	0	0	0
Environmental Information Processing	MAPPED	0.005436	0.01292	0.01217	0.01012	0.01252	0.02203	0.007031	0.06298	0.006405
-Signal Transduction	MAPPED	0.005436	0.01292	0.01217	0.01012	0.01251	0.02186	0.006836	0.05935	0.006405
-Signaling Molecules and Interaction	MAPPED	0	0	0	0	0	0	9.131e-05	0.003588	0
Cellular Processes	MAPPED	0.0007045	0.002461	0.01159	0.00833	0.01747	0.0355	0.02171	0.09307	0.001498
-Hemoglobin	MAPPED	0	0	0	0	0	0	0	0	0
-Vesicular Transport	MAPPED	0	0.0003386	0.00331	0.003652	0.007804	0.01912	0.01128	0.0326	0
-Cytoskeleton	MAPPED	0	0	0.002169	0.001705	0.008846	0.01447	0.009016	0.02743	0
-Cell Motility	MAPPED	0	0	0	0	0	0	0	0	0.0001402
-Cell Growth and Death	MAPPED	0	0	0.006098	0.002958	0.0007819	0.001843	0.00132	0.0118	0
-Cell Communication	MAPPED	0	0	1.137e-05	1.591e-05	0	0	0	0.02118	0
Metabolism	MAPPED	0.4376	0.4062	0.5474	0.6138	0.4433	0.4962	0.3787	0.2938	0.3057
-Membrane Transport	MAPPED	0.002565	0.02791	0	0	0	0	0.0002881	0.0001535	0.00446
-Central Carbon Metabolism	MAPPED	0.121	0.1369	0.3469	0.3077	0.1475	0.1707	0.1337	0.1119	0.07379
-Energy Metabolism	MAPPED	0.005021	0.009591	0.007549	0.01564	0.01933	0.0509	0.07082	0.06241	0.03884
-Biosynthesis	MAPPED	0.1561	0.09666	0.04927	0.1122	0.1549	0.1669	0.1042	0.08409	0.09919
-Other Enzymes	MAPPED	0.05636	0.06384	0.01748	0.02803	0.0462	0.05385	0.02903	0.02301	0.04184
Organismal Systems	MAPPED	0	0	0	0	0	0	0.006013	0.02047	0
-Immune System	MAPPED	0	0	0	0	0	0	0	0.000195	0
-Endocrine System	MAPPED	0	0	0	0	0	0	0	0.00039	0
-Circulatory System	MAPPED	0	0	0	0	0	0	0	0.01636	0
-Digestive System	MAPPED	0	0	0	0	0	0	0	0.001646	0
-Excretory System	MAPPED	0	0	0	0	0	0	0	0.0003159	0
-Nervous System	MAPPED	0	0	0	0	0	0	0	0.001359	0
-Sensory System	MAPPED	0	0	0	0	0	0	0	0	0
-Development	MAPPED	0	0	0	0	0	0	0	0.0001111	0
-Environmental Adaptation	MAPPED	0	0	0	0	0	0	0.006011	0	0
Human Diseases	MAPPED	0	0	2.716e-05	0.0001001	0.00652	0.007511	0.002245	0.003667	0
-Cancers	MAPPED	0	0	0	0	0	0	0.0001225	0.00142	0
-Immune System Diseases	MAPPED	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	MAPPED	0	0	0	1.429e-05	9.686e-05	0.0001438	0.0002036	0.0003023	0
-Cardiovascular Diseases	MAPPED	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	MAPPED	0	0	0	0	0	0	0	0	0
-Infectious Diseases	MAPPED	0	0	0	0	0.005729	0.005255	1.334e-05	0.000102	0
Not Mapped	MAPPED	0.01918	0.1353	0.04329	0.03992	0.2551	0.4945	0.9148	0.5456	0.5033
-Not Mapped	MAPPED	0.01918	0.1353	0.04329	0.03992	0.2551	0.4945	0.9148	0.5456	0.5033
TOTAL	Genetic Information Processing	2.922	5.308	3.155	4.064	3.492	5.107	4.425	3.263	6.65
MAPPED	Genetic Information Processing	2.867	4.675	3.024	3.908	2.782	3.417	2.311	2.111	4.424
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1	1	1	1	1
-Transcription	Genetic Information Processing	0.01924	0.01871	0.01277	0.005234	0.03015	0.0516	0.0494	0.04267	0
