Numerator	Denominator	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.9812	0.8808	0.9585	0.9616	0.7968	0.6691	0.5222	0.647	0.6652
Genetic Information Processing	TOTAL	0.3995	0.2629	0.3602	0.2952	0.3237	0.2336	0.2349	0.3333	0.1807
-Transcription	TOTAL	0.03521	0.02891	0.006271	0.002813	0.01167	0.01361	0.0118	0.01844	0.006492
-Translation	TOTAL	0.277	0.1454	0.2634	0.2208	0.2025	0.1139	0.1503	0.1635	0.1045
-Folding, Sorting and Degradation	TOTAL	0.07938	0.07226	0.07932	0.06343	0.0903	0.08328	0.05488	0.1209	0.06516
-DNA Maintenance	TOTAL	0.007978	0.01635	0.01124	0.008177	0.01918	0.02282	0.01799	0.0305	0.004566
Environmental Information Processing	TOTAL	0.001313	0.01063	0.005408	0.002945	0.008805	0.01186	0.01117	0.03514	0.02361
-Signal Transduction	TOTAL	0.001313	0.01055	0.003506	0.002105	0.002166	0.003957	0.00309	0.02479	0.02361
-Signaling Molecules and Interaction	TOTAL	0	7.654e-05	0.001903	0.0008392	0.006639	0.007903	0.008077	0.01036	0
Cellular Processes	TOTAL	0.009082	0.01932	0.02219	0.01641	0.02021	0.03103	0.0124	0.07662	0.007657
-Hemoglobin	TOTAL	0	0	0	0	0	0	0	0	0
-Vesicular Transport	TOTAL	0	0	0.001392	0.0007933	0.004912	0.01002	0.005117	0.01949	0
-Cytoskeleton	TOTAL	0.002084	0.003569	0.01251	0.01202	0.01276	0.01674	0.007237	0.05112	0.001987
-Cell Motility	TOTAL	0.001554	0.01439	0	0	0	0	0	0	0.00567
-Cell Growth and Death	TOTAL	0.005444	0.001359	0.008291	0.003599	0.002536	0.004257	4.253e-05	0.00575	0
-Cell Communication	TOTAL	0	0	0	0	0	0	0	0.0002545	0
Metabolism	TOTAL	0.5712	0.5879	0.5707	0.6471	0.4441	0.3926	0.2587	0.1988	0.4532
-Membrane Transport	TOTAL	0.0245	0.1028	0.004037	0.003515	0.007205	0.008999	0.002198	0.0007118	0.01691
-Central Carbon Metabolism	TOTAL	0.1874	0.2524	0.4481	0.4028	0.1686	0.1526	0.08866	0.08071	0.07763
-Energy Metabolism	TOTAL	0.007141	0.02189	0.007236	0.0152	0.01673	0.03595	0.07241	0.04036	0.2575
-Biosynthesis	TOTAL	0.3262	0.1629	0.07588	0.1973	0.2236	0.1665	0.08532	0.0601	0.09553
-Other Enzymes	TOTAL	0.02604	0.04788	0.03538	0.0283	0.02797	0.02857	0.01013	0.01695	0.00568
Organismal Systems	TOTAL	0	0	0	0	0	0	0.005003	0.003082	0
-Immune System	TOTAL	0	0	0	0	0	0	0.0001936	0.0002002	0
-Endocrine System	TOTAL	0	0	0	0	0	0	0	0	0
-Circulatory System	TOTAL	0	0	0	0	0	0	0	0	0
-Digestive System	TOTAL	0	0	0	0	0	0	0	0	0
-Excretory System	TOTAL	0	0	0	0	0	0	0	0	0
-Nervous System	TOTAL	0	0	0	0	0	0	0	0	0
-Sensory System	TOTAL	0	0	0	0	0	0	0	0.0005509	0
-Development	TOTAL	0	0	0	0	0	0	0	0.002331	0
-Environmental Adaptation	TOTAL	0	0	0	0	0	0	0.004809	0	0
Human Diseases	TOTAL	0	0	0	0	0	0	0	0	0
-Cancers	TOTAL	0	0	0	0	0	0	0	0	0
-Immune System Diseases	TOTAL	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	TOTAL	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	TOTAL	0	0	0	0	0	0	0	0	0
-Infectious Diseases	TOTAL	0	0	0	0	0	0	0	0	0
Not Mapped	TOTAL	0.01882	0.1192	0.04149	0.03838	0.2032	0.3309	0.4778	0.353	0.3348
-Not Mapped	TOTAL	0.01882	0.1192	0.04149	0.03838	0.2032	0.3309	0.4778	0.353	0.3348
TOTAL	MAPPED	1.019	1.135	1.043	1.04	1.255	1.495	1.915	1.546	1.503
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1
Genetic Information Processing	MAPPED	0.4072	0.2985	0.3758	0.307	0.4063	0.3491	0.4499	0.5152	0.2717
-Transcription	MAPPED	0.03588	0.03282	0.006542	0.002925	0.01465	0.02035	0.0226	0.02851	0.009759
-Translation	MAPPED	0.2823	0.1651	0.2748	0.2296	0.2542	0.1702	0.2877	0.2527	0.1571
-Folding, Sorting and Degradation	MAPPED	0.0809	0.08204	0.08275	0.06596	0.1133	0.1245	0.1051	0.1868	0.09795
-DNA Maintenance	MAPPED	0.008131	0.01856	0.01172	0.008503	0.02407	0.0341	0.03444	0.04714	0.006863
Environmental Information Processing	MAPPED	0.001339	0.01207	0.005643	0.003062	0.01105	0.01773	0.02138	0.05432	0.0355
-Signal Transduction	MAPPED	0.001339	0.01198	0.003657	0.002189	0.002719	0.005914	0.005917	0.03831	0.0355
-Signaling Molecules and Interaction	MAPPED	0	8.689e-05	0.001985	0.0008727	0.008332	0.01181	0.01547	0.01601	0
Cellular Processes	MAPPED	0.009256	0.02194	0.02315	0.01707	0.02537	0.04637	0.02374	0.1184	0.01151
-Hemoglobin	MAPPED	0	0	0	0	0	0	0	0	0
-Vesicular Transport	MAPPED	0	0	0.001452	0.000825	0.006165	0.01498	0.009799	0.03013	0
-Cytoskeleton	MAPPED	0.002124	0.004052	0.01305	0.0125	0.01602	0.02502	0.01386	0.079	0.002987
-Cell Motility	MAPPED	0.001584	0.01634	0	0	0	0	0	0	0.008523
-Cell Growth and Death	MAPPED	0.005549	0.001543	0.008649	0.003742	0.003183	0.006363	8.144e-05	0.008887	0
-Cell Communication	MAPPED	0	0	0	0	0	0	0	0.0003933	0
Metabolism	MAPPED	0.5822	0.6675	0.5954	0.6729	0.5573	0.5868	0.4954	0.3073	0.6813
-Membrane Transport	MAPPED	0.02497	0.1168	0.004212	0.003655	0.009043	0.01345	0.004208	0.0011	0.02543
-Central Carbon Metabolism	MAPPED	0.191	0.2865	0.4675	0.4189	0.2116	0.2281	0.1698	0.1247	0.1167
-Energy Metabolism	MAPPED	0.007278	0.02486	0.007549	0.01581	0.021	0.05373	0.1387	0.06238	0.3871
-Biosynthesis	MAPPED	0.3324	0.185	0.07916	0.2051	0.2806	0.2488	0.1634	0.09288	0.1436
-Other Enzymes	MAPPED	0.02654	0.05436	0.03691	0.02943	0.0351	0.0427	0.01941	0.0262	0.008539
Organismal Systems	MAPPED	0	0	0	0	0	0	0.00958	0.004764	0
-Immune System	MAPPED	0	0	0	0	0	0	0.0003707	0.0003095	0
-Endocrine System	MAPPED	0	0	0	0	0	0	0	0	0
-Circulatory System	MAPPED	0	0	0	0	0	0	0	0	0
-Digestive System	MAPPED	0	0	0	0	0	0	0	0	0
-Excretory System	MAPPED	0	0	0	0	0	0	0	0	0
-Nervous System	MAPPED	0	0	0	0	0	0	0	0	0
-Sensory System	MAPPED	0	0	0	0	0	0	0	0.0008515	0
-Development	MAPPED	0	0	0	0	0	0	0	0.003603	0
-Environmental Adaptation	MAPPED	0	0	0	0	0	0	0.009209	0	0
Human Diseases	MAPPED	0	0	0	0	0	0	0	0	0
-Cancers	MAPPED	0	0	0	0	0	0	0	0	0
-Immune System Diseases	MAPPED	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	MAPPED	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	MAPPED	0	0	0	0	0	0	0	0	0
-Infectious Diseases	MAPPED	0	0	0	0	0	0	0	0	0
Not Mapped	MAPPED	0.01918	0.1353	0.04329	0.03992	0.2551	0.4945	0.9148	0.5456	0.5033
-Not Mapped	MAPPED	0.01918	0.1353	0.04329	0.03992	0.2551	0.4945	0.9148	0.5456	0.5033
TOTAL	Genetic Information Processing	2.503	3.803	2.776	3.388	3.089	4.281	4.256	3	5.534
MAPPED	Genetic Information Processing	2.456	3.35	2.661	3.258	2.461	2.864	2.223	1.941	3.681
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1	1	1	1	1
-Transcription	Genetic Information Processing	0.08812	0.11	0.01741	0.009529	0.03605	0.05828	0.05025	0.05533	0.03592
-Translation	Genetic Information Processing	0.6932	0.553	0.7312	0.7479	0.6257	0.4875	0.6396	0.4906	0.5783
-Folding, Sorting and Degradation	Genetic Information Processing	0.1987	0.2748	0.2202	0.2149	0.279	0.3565	0.2336	0.3626	0.3605
-DNA Maintenance	Genetic Information Processing	0.01997	0.06218	0.03119	0.0277	0.05925	0.09768	0.07655	0.09149	0.02526
