Numerator	Denominator	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.9845	0.8959	0.9589	0.9608	0.7862	0.6581	0.5155	0.6414	0.7325
Genetic Information Processing	TOTAL	0.5249	0.3566	0.3796	0.3288	0.2905	0.197	0.1966	0.3068	0.1886
-Transcription	TOTAL	0.01861	0.03025	0.001952	0.001254	0.004308	0.006406	0.01091	0.01086	0.0003235
-Translation	TOTAL	0.4014	0.2344	0.3491	0.3088	0.2358	0.1327	0.1467	0.229	0.1531
-Folding, Sorting and Degradation	TOTAL	0.08499	0.06223	0.01715	0.01012	0.04147	0.0462	0.0302	0.05596	0.02752
-DNA Maintenance	TOTAL	0.01806	0.0278	0.002018	0.002361	0.005683	0.01044	0.005937	0.009182	0.003696
-RNA Family	TOTAL	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0.001278	0.01094	0.002698	0.004472	0.004547	0.005141	0.002942	0.0092	0.01864
-Signal Transduction	TOTAL	0.001278	0.01086	0.002698	0.004472	0.002257	0.002154	0.001913	0.004452	0.01864
-Signaling Molecules and Interaction	TOTAL	0	7.795e-05	0	0	0.002234	0.002884	0.001055	0.003797	0
Cellular Processes	TOTAL	0.008745	0.01353	0.01395	0.01154	0.01369	0.01872	0.01045	0.03793	0.002501
-Hemoglobin	TOTAL	0	0	0	0	0	0	0	0	0
-Vesicular Transport	TOTAL	0	0	0.001292	0.002977	0.004715	0.006756	0.008138	0.01471	0
-Cytoskeleton	TOTAL	0.002647	0.003836	0	2.1e-05	0.002787	0.003491	0.001809	0.008056	0.001411
-Cell Motility	TOTAL	0.001178	0.008245	0	0	0	0	0	0	0.00106
-Cell Growth and Death	TOTAL	0.004495	0.001336	0.005478	0.00272	0.001493	0.001371	0.0004355	0.004228	2.987e-05
-Cell Communication	TOTAL	0	0	1.962e-06	0.0001017	0.0009228	0.001104	0.0001806	0.002818	0
Metabolism	TOTAL	0.429	0.4999	0.3847	0.4262	0.2989	0.2765	0.1632	0.1545	0.1795
-Membrane Transport	TOTAL	0.02127	0.09692	3.065e-05	0	0.0006994	0.001042	0.0005483	0.0008191	0.01686
-Central Carbon Metabolism	TOTAL	0.07354	0.1089	0.194	0.1671	0.0713	0.06783	0.04235	0.03505	0.02284
-Energy Metabolism	TOTAL	0.02432	0.02705	0.0418	0.03512	0.01931	0.02029	0.02343	0.01122	0.03212
-Biosynthesis	TOTAL	0.1801	0.1117	0.05206	0.09479	0.1027	0.08356	0.03244	0.03813	0.04296
-Other Enzymes	TOTAL	0.1261	0.149	0.08518	0.1048	0.1008	0.1042	0.05477	0.069	0.06173
Organismal Systems	TOTAL	0	0.0003947	0.005716	0.004406	0.006895	0.01122	0.009714	0.01911	0.0003493
-Immune System	TOTAL	0	0	0.0001575	0.0002503	0.002582	0.002964	0.0004795	0.002863	0
-Endocrine System	TOTAL	0	0.0003947	0.0001588	0.0001258	0.001039	0.001471	0.0009746	0.002792	0
-Circulatory System	TOTAL	0	0	0	0	0.0005691	0.001248	6.138e-05	0.001662	0
-Digestive System	TOTAL	0	0	0	0	0.0001413	0.0004184	3.168e-06	0.001534	0
-Excretory System	TOTAL	0	0	0.0001072	4.76e-05	0.0007419	0.001676	0.001159	0.003611	0
-Nervous System	TOTAL	0	0	2.218e-05	0	9.206e-06	3.259e-05	1.25e-05	0.001362	0
-Sensory System	TOTAL	0	0	0	0	0	0	0	0.0003818	0
-Development	TOTAL	0	0	0	0	0	0	0	0.0002361	0
