Numerator	Denominator	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.9845	0.8959	0.9589	0.9608	0.7862	0.6581	0.5155	0.6414	0.7325
Genetic Information Processing	TOTAL	0.5304	0.36	0.3974	0.3396	0.2947	0.2014	0.2017	0.3139	0.1947
-Transcription	TOTAL	0.02194	0.03414	0.00309	0.00265	0.006113	0.007555	0.01169	0.01222	0.001703
-Translation	TOTAL	0.4031	0.2351	0.3763	0.3237	0.2435	0.1365	0.1509	0.2332	0.1537
-Folding, Sorting and Degradation	TOTAL	0.09142	0.06537	0.01966	0.01111	0.04676	0.04938	0.0378	0.06388	0.03205
-DNA Maintenance	TOTAL	0.02523	0.03016	0.002502	0.005505	0.0069	0.01226	0.006951	0.01098	0.01225
-RNA Family	TOTAL	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0.002652	0.01322	0.003638	0.00546	0.00669	0.007005	0.004982	0.0121	0.01964
-Signal Transduction	TOTAL	0.002652	0.01299	0.003165	0.004806	0.003619	0.00331	0.002446	0.00674	0.01964
-Signaling Molecules and Interaction	TOTAL	0	7.795e-05	0.0006847	0.0008082	0.004183	0.003942	0.002557	0.006499	0
Cellular Processes	TOTAL	0.009813	0.01759	0.02847	0.01742	0.01618	0.02205	0.01382	0.04383	0.004103
-Hemoglobin	TOTAL	0	0	0	0	0	0	0	0	0
-Vesicular Transport	TOTAL	0	0.0005268	0.02748	0.01463	0.01012	0.008953	0.01037	0.01816	0
-Cytoskeleton	TOTAL	0.002647	0.003836	0.004627	0.003777	0.003601	0.005604	0.002393	0.01342	0.001411
-Cell Motility	TOTAL	0.001603	0.01239	0	0	0	0	0	0	0.002333
-Cell Growth and Death	TOTAL	0.005989	0.001475	0.006176	0.002985	0.001884	0.002463	0.0007113	0.005535	0.000505
-Cell Communication	TOTAL	0	0	0.008255	0.007723	0.006928	0.00873	0.00189	0.01589	0
Metabolism	TOTAL	0.4437	0.5073	0.4414	0.4936	0.315	0.2864	0.1794	0.1655	0.1855
-Membrane Transport	TOTAL	0.0278	0.1028	0.0002973	0.0001442	0.001441	0.001276	0.0006337	0.0009268	0.01923
-Central Carbon Metabolism	TOTAL	0.08241	0.12	0.2328	0.2096	0.07723	0.0738	0.06042	0.03642	0.02778
-Energy Metabolism	TOTAL	0.02774	0.03378	0.08344	0.08556	0.03846	0.03179	0.03379	0.02278	0.03909
-Biosynthesis	TOTAL	0.1964	0.1151	0.058	0.1112	0.1078	0.08871	0.04557	0.04083	0.04692
-Other Enzymes	TOTAL	0.1451	0.1758	0.1593	0.1756	0.1242	0.1241	0.07261	0.07915	0.07029
Organismal Systems	TOTAL	0	0.0008987	0.0158	0.01208	0.0104	0.01388	0.01325	0.02598	0.0007363
-Immune System	TOTAL	0	0	0.005378	0.004209	0.004443	0.005946	0.003945	0.008928	0
-Endocrine System	TOTAL	0	0.0008987	0.002713	0.004496	0.002102	0.002242	0.003521	0.006022	0.000387
-Circulatory System	TOTAL	0	0	0	4.334e-05	0.002842	0.006384	0.002628	0.006357	0
-Digestive System	TOTAL	0	0	0.006741	0.004274	0.003611	0.003233	0.0001388	0.002764	0.0003493
-Excretory System	TOTAL	0	0	0.0001758	0.0009666	0.001184	0.003416	0.002097	0.005259	0
-Nervous System	TOTAL	0	8.441e-10	0.005357	0.002621	0.0006014	0.0004696	0.0007825	0.004188	0
-Sensory System	TOTAL	0	0	0	0	9.206e-06	2.471e-05	1.176e-05	0.001328	0
