!!SBtab TableType='Proteomaps' Organism='hsa' ProteinIdentifier='http://identifiers.org/uniprot/' ValueType='Protein ibaq.human'
!ProteinIdentifier	!Abundance
P04406	193393368.895932
P07737	108516422.334777
P62937	95624120.013457
P14618	64709230.8490039
P06576	60343068.7066506
P11142	57994250.3328268
Q06830	51384765.0323531
P00558	50955523.5113184
P37802	42482806.2818888
P07195	39607593.6228695
P00338	39271569.3209836
P68104	38640869.0471321
P23396	33279012.3385205
P62258	32308272.7019318
P06744	32253678.4186209
P04075	31117389.0675335
P10809	30974392.2822787
P62304	30120106.3735741
H0YC77;E5RK63;E7EMC6;E5RJR0;E5RI05;E5RK69;P08133;E5RJF5;E5RFF0;E5RIU8;A6NN80	28246140.1124044
P63220	27034527.992298
P62829	26578571.4409919
P09669	24705459.0453843
P62906	21529395.6057589
P50990	21191402.99463
P25705	21041980.6616737
Q99873	20721344.1417671
P13639	20140026.6277252
P46777	20016549.0799623
F5H6T1;P61160	19773001.1542358
Q15233	19299430.9916415
P40926	19132876.3778997
O00231	18984027.6723325
P18124	18929655.3185292
P06748	18715065.1782863
O15145	18676257.5924958
P78371	18583757.2556483
P62942	18081731.0804115
P46778	17757716.928349
F8VZ69;F8VR77;F8W0A3;Q9UQ80	17627633.2720811
P61978	17571144.3602901
P62847	17521050.6317143
P62910	17440656.4493929
P07437	16764084.179992
P28066	16670148.2903115
F8WDR7;F8WEW2;F8WE84;B4DXW1;F5H3P5;P61158	16455263.6163603
P22626	16401663.7024756
H0YB22;P62263;E5RH77	16101303.0653162
D6R970;D6RC37;P53999	15890120.8361342
P62888	15650176.3301621
P25786	15580383.1213118
P07237	15364049.6499053
Q12906	14825701.4888376
P46782	14434572.888999
P61604	14382038.6958536
P62750	14253712.1038267
P54819	14167839.9876505
P60174	13758298.2274765
B1AHC8	13560605.7898055
P50991	13467321.2179237
Q06323	13462465.4238562
P42224	13410843.1929504
P49368	13370281.4318029
O15144	13362557.6147644
P23284	13307893.1110631
P62899	13229054.4146687
P27635	13128262.1328251
P48047	12985319.6335701
P38646	12919421.5391128
P47756	12877420.9932206
P20618	12791015.8207326
P37837	12711862.5654449
P18669	12685764.2814557
P49720	12531483.5032015
Q00839	12506317.1832025
P04233	12411460.4342071
P52272	12379502.4262598
P14866	12336064.6028901
Q5T0R7;Q5T0R6;Q5T0S3;Q5T0R8;Q5T0R1;Q5T0R9;Q5T0R3;Q5T0R2;Q01518;Q5T0R5;Q5T0R4	12309191.1593126
O00151	12248091.3350805
P26373	12107503.9801117
E7EU23;Q5SX90;Q5SX87;Q5SX91;Q5SX86;P50395	11799678.0330125
P15311	11485210.3504767
