b3986	K02935		109420.2
b3980	K02358		87672.53
b1094	K02078		75918.7
b4142	K04078		64668.67
b1779	K00134		49090.58
b3829	K00549		41263.67
b1823	K03704		40354.68
b3318	K02892		37317.23
b2609	K02959		29550.86
b3236	K00024		29034.27
b3303	K02988		28222.73
b3298	K02952		27437.39
b0605	K03386		25610.33
b3340	K02355		24623.18
b2414	K01738		24399.67
b3297	K02948		23941.87
b2913	K00058		23461.62
b3315	K02890		22984.52
b3231	K02871		22513.86
b3312	K02904		21711.37
b3305	K02933		21615.13
b2185	K02897		21500.5
b3774	K00053		21100.49
b0911	K02945		20651.77
b3309	K02895		20543.12
b3341	K02992		20417.8
b1656	K04564		19637.41
b1136	K00031		19479.77
b2518	K00940		19029.95
b4203	K02939		18725.37
b3296	K02986		18021.27
b3295	K03040		17803.54
b2606	K02884		17795.89
b3186	K02888		17757.45
b3321	K02946		17655.98
b3308	K02931		17624.22
b1237	K03746		17549.26
b3314	K02982		17407.9
b3320	K02906		16983.19
b2925	K01624		16325.84
b2094	K02773		16057.25
b2323	K00647		16042.49
b3317	K02886		15111.52
b0170	K02357		15094.06
b4000	K05787		15025.7
b3433	K00133		14970.8
b2926	K00927		14681.75
b3319	K02926		14669.26
b3984	K02863		14447.57
b4200	K02990		13860.74
b0014	K04043		13814.81
b3261	K03557		13782.09
b3636	K02913		13631.11
b3609	K03071		13475.06
b0169	K02967		13099.68
b0623	K03704		13020.78
b0004	K01733		12922.78
b3870	K01915		12717.43
b3294	K02879		12696.08
b3165	K02956		12562.91
b3983	K02867		12449.73
b3316	K02965		12179.99
b2942	K00789		11978.78
b4143	K04077		11649.26
b0166	K00674		11485.99
b2779	K01689		11282.75
b3556	K03704		11070.18
b3928	K09892		11053.66
b0008	K00616		10547.61
b4090	K01808		10409.04
b0729	K01902		10260.17
b1324	K11065		10163.69
b0436	K03545		10042.87
b0118	K01682		9926.15
b0023	K02968		9652.35
b2093	K02774		9635.27
b2417	K02777		9435.59
b4202	K02963		9413.13
b3065	K02970		9386.08
b3637	K02902		9283.19
b3919	K01803		9105.73
b3313	K02878		9058.83
b3172	K01940		8869.39
b0002	K12524		8864.15
b3230	K02996		8851.91
b0728	K01903		8812.38
b3302	K02907		8799.16
b2480	K03564		8687.12
b2029	K00033		8435.17
b0928	K00813		8329.33
b4226	K01507		8324.05
b0907	K00831		8305.57
b0720	K01647		8268.3
b2309	K10014		8230.56
b0116	K00382		7569.96
b0071	K01704		7290.97
b0220	eco_b0220		7170.32
b1761	K00262		7143.48
b4024	K00928		6849.76
b3304	K02881		6671.48
b3301	K02876		6638.93
b3956	K01595		6554.01
b3349	K03775		6525.25
b3212	K00265		6437.72
b4177	K01939		6363.21
b1207	K00948		6223.05
b2551	K00600		6180.43
b2764	K00380		6160.56
b3306	K02994		6095.37
b0114	K00163		6045.75
b3985	K02864		5903.05
b0440	K03530		5891.69
b0415	K00794		5882.43
b0437	K01358		5786.68
b2752	K00957		5705.04
b3310	K02874		5656.03
b0145	K06204		5606.51
b1718	K02520		5488.52
b2153	K01495		5368.76
b2904	K02437		5336.13
b2095	K00917		5305.97
b1243	K02035		5256.88
b2508	K00088		5210.17
b1288	K00208		5184.69
b0903	K00656		5107.31
b0754	K01626		5073.35
b3414	K07400		5011.15
b1716	K02887		4998.25
b0755	K01834		4871.93
b0778	K01935		4801.7
b0525	K03768		4763.98
b1654	K07390		4664.32
b0115	K00627		4640.4
b3783	K03628		4608.22
b3732	K02112		4552.23
b0072	K01703		4524.61
b1261	K01696		4460.49
b3359	K00821		4458.17
b0126	K01673		4442.37
b3987	K03043		4425.6
b0930	K01893		4388.18
b1241	K04072		4361.85
