Gene names	Intensity L Ovary
17196	12337.7142857
69187	2702.97142857
12954	230102.040816
11354	29714.2857143
14077	759398.496241
12961	111428.571429
12889	9436.85714286
12955	493714.285714
380684	63394.4954128
226180	6863.88888889
18039	36464.0883978
17189	203142.857143
110187	6522.28571429
20617	42501.4285714
18823	3711.14285714
12962	16659.4285714
19194	1870.94285714
G3UXD0	4008.0
12373	5085.14285714
21956	99335.5481728
70350	26739.1428571
22349	27327.6904474
218038	926.443148688
21954	7477.72511848
66473	19158.9353612
19752	7442.28187919
11723	365714.285714
21924	13860.2484472
68416	4513.14285714
16204	145312.5
19660	40000.0
22003	159507.042254
22072	910.81300813
282619	511.2
12716	38038.277512
19293	36857.1428571
17906	171686.746988
12409	357377.04918
227120	30571.4285714
56727	3133.26315789
109901	9827.44360902
12613	13094.1569282
12307	777142.857143
12308	4988.85714286
12970	1056.51428571
22227	2580.09771987
59006	625.971428571
109697	62052.5059666
55948	91532.2580645
215384	24092.5714286
13706	25840.2214022
26950	1280.28571429
16618	93.4712643678
18378	3615.14285714
12797	422857.142857
12957	15877.7142857
22287	14196.0
16612	36524.9042146
14120	16251.6224189
17897	57843.1372549
22074	12082.8571429
29818	89349.112426
107753	35849.2307692
140781	1126.9250646
22004	2683098.59155
12652	3525.71428571
69117	32000.0
21345	8685714.28571
76703	6081.42857143
18040	6911.6745283
17888	16615.0670795
14580	10896.5116279
233335	24087.1236387
18946	33403.8054968
20259	6094.54545455
17901	136702.12766
23795	57714.2857143
56370	8466.57142857
11847	25458.4745763
17287	1798.79518072
69191	17865.2751423
66284	1259.22857143
17907	197041.420118
106393	26353.1428571
18645	258571.428571
53318	169714.285714
22003	13697183.0986
11770	7045454.54545
69060	8188.60215054
68738	9647.21407625
20618	244571.428571
17896	24223.8341969
99709	827.714285714
21953	74175.8241758
11636	348453.608247
16855	25248.4662577
67041	346153.846154
67931	12071.7142857
66283	11323.1428571
20199	5862.0
12346	109195.402299
76722	34606.2052506
103968	245647.969052
12865	33745.0
380683	233142.857143
12709	1916010.49869
12036	264631.043257
18951	84823.8482385
16765	370469.798658
67868	1384.9070632
19701	2563.43283582
11475	9071618.03714
59011	9405.71428571
19285	1225714.28571
11754	116993.464052
236539	140337.711069
17756	9792.12253829
11472	6804.47427293
20200	322857.142857
22004	1813380.28169
12722	3386.41840088
17762	1226.56207367
13807	8064.74654378
18600	33135.2154532
77337	3142.28571429
17882	34285.7142857
22223	982062.780269
54200	682.899408284
67373	10001.7142857
75600	1251.22857143
17957	905.542857143
24131	31142.8571429
67399	4814.0
14264	3990.42553191
12389	1117977.52809
17868	954.960629921
69824	1105.14285714
13346	1848614.07249
12958	617.657142857
81600	1900.12684989
18479	4877.24770642
223809	32857.1428571
17880	3438133.87424
259300	162799.263352
11459	32095.4907162
20964	25586.0
16832	2658682.63473
14778	102654.867257
53322	57142.8571429
21925	5801.6875
104069	35428.5714286
12715	93175.8530184
69983	16155.186722
233799	8745.39130435
14598	10340.6690141
329251	29713.1147541
12353	788.422712934
12925	520000.0
20203	126571.428571
216188	4872.26435536
74551	52500.0
20404	35795.4545455
66824	89119.1709845
15277	13631.4067612
13823	17438.1054898
13070	2167300.38023
27357	55555.5555556
27053	35472.3707665
20910	70000.0
14725	585.300429185
12557	57.7315598549
67092	39007.0921986
56012	18886.9565217
13628	1868.05615551
13808	61520.7373272
14199	662857.142857
13007	2202072.53886
109042	87714.2857143
218138	123655.913978
19132	10805.2631579
19058	74117.6470588
224796	45019.9203187
56421	64923.4693878
68794	206529.713866
17922	67.3213440606
107993	445.024038462
16777	119820.828667
21916	155153.203343
50876	21642.7350427
216350	48000.0
109272	11801.1428571
18295	500000.0
21648	27640.0
18073	87550.2008032
15507	305263.157895
66695	135656.836461
12512	31328.1512605
72088	22293.1428571
12323	2673.61623616
67399	218000.0
12372	9375.14285714
18746	1161958.56874
20198	74857.1428571
104183	9237.14285714
27273	1013.34951456
69787	286.2
330440	789.257142857
12971	12911.7142857
17929	3797.71428571
14660	39762.611276
12799	20074.2857143
433470	1454.48571429
17035	40571.4285714
16664	1143.92561983
226519	143746.110765
16854	318181.818182
75572	358490.566038
20195	942857.142857
16775	48953.7444934
226041	193142.857143
67326	15003.7142857
18489	30857.1428571
118449	183714.285714
12349	719230.769231
76293	50285.7142857
17885	12.6308724832
17879	34397.5283213
67971	988571.428571
11674	2200549.45055
66734	52802.4793388
107272	67297.2972973
13602	7142.0
17022	2313609.46746
14457	9201.42857143
171580	5636.0
11450	53036.437247
107029	83256.5284178
22240	497142.857143
232714	21413.4285714
232400	179428.571429
17930	4204.57142857
18483	24292.0
13179	972677.595628
23969	15973.4285714
11983	241428.571429
17118	702265.372168
69051	67500.0
14467	314285.714286
56185	51841.3597734
16852	3170370.37037
72948	3188.28571429
11676	303030.30303
21985	297142.857143
12933	283428.571429
20965	16848.2857143
16890	3297.7602108
20194	800000.0
21753	40857.1428571
19340	18263.9269406
229731	302857.142857
17988	28857.1428571
73723	168571.428571
13405	2708.99945623
12721	157483.73102
13184	2013.4
14583	43758.9670014
13010	41079.2857143
16985	21085.7142857
11997	214556.962025
15275	52977.412731
22352	2575107.29614
107684	31714.2857143
18611	131714.285714
71960	32750.0
16952	1734285.71429
11820	3545.06493506
12306	3742857.14286
14381	135339.805825
18074	14540.2708482
66395	9828571.42857
12362	10646.2686567
56356	17659.4285714
17105	63273.6486486
74340	39967.3735726
11808	1605714.28571
109857	7942.23826715
13821	6942.5483504
17760	18543.0463576
56078	7371.92429022
109934	26141.7142857
12406	2733812.94964
83397	82571.4285714
67103	1702127.65957
216810	20742.5714286
217124	5265.42857143
12934	86363.6363636
67865	45714.2857143
20324	116857.142857
29877	357142.857143
380698	2003.65714286
11766	10015.7142857
26556	4975.14285714
12332	268750.0
24014	3822.58503401
192176	1020022.66717
65969	501.657142857
21346	711428.571429
109264	7371.85430464
66355	95942.0289855
208943	15262.2857143
20963	58187.5993641
76281	9360.85714286
12313	171140.939597
23917	4441.43968872
18476	53879.3103448
66222	989445.91029
20708	71142.8571429
16779	26903.8354641
102502	141428.571429
14590	24761.829653
58194	19464.0338505
66144	80982.3529412
16019	90857.1428571
76932	5559.42857143
67443	4957.52
30948	47142.8571429
12696	23579.6511628
22138	7099.65069719
67834	314207.650273
11717	58224.5430809
19038	139150.943396
67861	103714.285714
16403	15673.6938588
68028	58942.6229508
12140	9284.09090909
74145	79918.0327869
14571	63823.9339752
56205	39142.8571429
12653	21785.4285714
12798	192857.142857
17755	32629.8701299
18799	40211.6402116
13017	22046.9662921
56526	2394.17142857
16560	4859.4100295
50706	697142.857143
229603	3581.19047619
