Gene names	Intensity L Duodenum
17196	248571.428571
69187	3914285.71429
12954	994897.959184
14077	939849.62406
12961	302857.142857
12889	61714.2857143
12955	1234285.71429
380684	26238.5321101
226180	71428.5714286
18039	237569.060773
17189	388571.428571
12960	43142.8571429
110187	30000.0
20617	177857.142857
18823	17511.7142857
12962	109142.857143
19194	874285.714286
G3UXD0	1037142.85714
12373	38571.4285714
21956	105647.840532
70350	110571.428571
22349	2007255.13906
218038	17492.7113703
21954	118957.345972
66473	8060836.5019
19752	9194630.87248
11723	53142857.1429
21924	245962.732919
68416	788571.428571
16204	620312.5
19660	1331428.57143
22003	113732.394366
22072	3963414.63415
282619	18932.8571429
12716	2055023.92344
19293	58000.0
17906	728915.662651
12409	184836.065574
227120	33428.5714286
56727	10358.245614
109901	4511278.19549
12613	5776293.82304
12307	151428.571429
12308	157714.285714
12970	32571.4285714
22227	8392.50814332
59006	1160.02857143
109697	8663484.48687
55948	3020161.29032
215384	905714.285714
13706	1542435.42435
26950	28571.4285714
16618	1395.90038314
18378	10955.7142857
12797	16000000.0
12957	90000.0
22287	32857.1428571
16612	1597701.14943
14120	793510.324484
17897	352450.980392
22074	4314285.71429
29818	364497.04142
107753	12384615.3846
140781	71834.625323
22004	33591549.2958
12652	162000.0
69117	243428.571429
21345	68571428.5714
76703	12457142.8571
18040	113561.320755
17888	70175.4385965
14580	286046.511628
233335	864830.237028
18946	4059196.61734
20259	56503.4965035
17901	569148.93617
23795	10342857.1429
56370	80857.1428571
11847	141525.423729
17287	1068.68808568
69191	24857685.0095
66284	15371428.5714
17907	627218.934911
106393	229714.285714
18645	140000.0
53318	1148571.42857
22003	122535211.268
11770	4128787.87879
69060	5763440.86022
59290	19224.0
68738	322580.645161
20215	3176.57142857
20618	226000.0
17896	37250.2590674
99709	5343.14285714
21953	137912.087912
11636	1948453.60825
17075	349206.349206
16855	1288343.55828
67041	1059615.38462
67931	3885714.28571
66283	16428571.4286
20199	35428.5714286
12346	1904214.55939
12180	1075.57142857
76722	59665.8711217
103968	30367.5048356
12865	221250.0
380683	18526.8571429
12709	11994750.6562
12036	1198473.28244
18951	139837.398374
16765	616778.52349
67868	42750.929368
19701	10750.0
11475	68169761.2732
59011	12609.4285714
19285	7028571.42857
11754	151633.986928
236539	1587242.02627
17756	29376.3676149
11472	32438.4787472
20200	3542857.14286
22004	30140845.0704
12722	814895.947426
17762	27694.4065484
13807	304147.465438
18600	233283.803863
77337	5817.42857143
17882	288571.428571
22223	609865.470852
54200	17746.1538462
67373	4400000.0
75600	17820.2857143
17957	21690.2857143
24131	128857.142857
14264	23844.6808511
12389	3000000.0
17868	3823.30708661
69824	42571.4285714
13346	12793176.9723
12958	40000.0
81600	32980.9725159
18479	32844.0366972
19695	5250.28571429
223809	17019.4285714
17880	63894523.3266
259300	1554327.80847
11459	45092.8381963
20964	320000.0
16832	3413173.65269
14778	685840.707965
53322	628571.428571
21925	29186.25
104069	144000.0
12715	2183727.03412
69983	38714.9377593
233799	56000.0
14598	82746.4788732
329251	664959.016393
12353	18417.0347003
12925	1160000.0
20203	106571.428571
216188	661971.830986
74551	454687.5
20404	377840.909091
66824	715025.906736
15277	53980.3707743
13823	72766.4155005
13070	9372.24334601
27357	96396.3963964
27053	1750445.6328
20910	608571.428571
14725	1158.86266094
12557	43168.0773881
67092	468085.106383
56012	116600.790514
13628	49460.0431965
13808	169124.423963
14199	3485714.28571
13007	29326424.8705
16763	62571.4285714
109042	368571.428571
218138	3091397.84946
19132	347368.421053
19058	324117.647059
224796	120717.131474
56421	408163.265306
68794	524578.136464
17922	15664.9313772
107993	5816.58653846
16777	324748.040314
21916	64902.5069638
50876	178062.678063
216350	1185714.28571
109272	32285.7142857
18295	2224832.21477
21648	89142.8571429
18073	175100.401606
15507	4612440.19139
66695	3109919.57105
12512	35520.5882353
72088	7451.71428571
12323	9778.96678967
67399	640000.0
12372	103714.285714
18746	6949152.54237
20198	221428.571429
104183	61142.8571429
27273	8694.41747573
64661	524.628571429
