Gene names	Intensity L Liver
17196	204571.428571
69187	3960.28571429
12954	1479591.83673
11354	22452.0
14077	316541.353383
12961	437142.857143
12889	15344.2857143
12955	1880000.0
380684	1847.70642202
226180	19141.468254
18039	96869.2449355
17189	708571.428571
12960	15808.0
110187	31142.8571429
20617	260714.285714
18823	9262.28571429
12962	177714.285714
19194	5496.57142857
G3UXD0	9843.42857143
12373	12863.7142857
21956	146843.853821
70350	8704.0
22349	119709.794438
218038	3158.01749271
21954	182938.388626
66473	51711.026616
19752	167114.09396
11723	825714.285714
21924	137267.080745
68416	4850.0
16204	603906.25
19660	116000.0
22003	67605.6338028
22072	101219.512195
282619	17287.4285714
12716	43301.4354067
19293	140000.0
17906	1283132.53012
12409	190983.606557
227120	228571.428571
56727	20012.2807018
52430	181714.285714
109901	27753.0075188
12613	11102.5041736
12307	44285.7142857
12308	46285.7142857
12970	30285.7142857
22227	52442.9967427
59006	1734.17142857
109697	105250.596659
55948	49193.5483871
215384	73428.5714286
13706	483394.833948
26950	11441.4285714
16618	9338.69731801
18378	12344.5714286
12797	83714.2857143
12957	146285.714286
22287	111142.857143
16612	605363.984674
14120	26956.6371681
17897	500000.0
22074	45714.2857143
29818	12536.0946746
107753	168461.538462
140781	6046.51162791
22004	341901.408451
12652	3566.85714286
69117	56571.4285714
21345	505714.285714
76703	38000.0
18040	74410.3773585
17888	67079.4633643
14580	51395.3488372
233335	1167.84112748
18946	17473.7843552
20259	6483.07692308
17901	1234042.55319
23795	96571.4285714
56370	22499.4285714
11847	14026.8361582
17287	5343.37349398
69191	476280.834915
66284	9492.85714286
17907	1627218.93491
106393	48857.1428571
18645	27345.7142857
53318	6829.71428571
22003	2940140.84507
11770	2780303.0303
69060	42365.5913978
59290	769.514285714
68738	6713.92961877
20215	2576.14285714
20618	12158.0
17896	3875.54404145
99709	1299.85714286
21953	664835.164835
11636	398453.608247
17075	10115.2380952
16855	128834.355828
67041	97500.0
67931	71428.5714286
66283	88000.0
20199	9128.28571429
12346	365134.099617
12180	2191.2244898
76722	41527.4463007
103968	6751.64410058
12865	381250.0
380683	19450.0
12709	364829.396325
12036	38676.8447837
18951	22373.7127371
16765	144295.302013
67868	3725.27881041
19701	7924.87562189
11475	4986737.40053
59011	29142.8571429
19285	138571.428571
11754	2121.4379085
236539	81050.6566604
17756	5402.297593
11472	13087.2483221
20200	123142.857143
22004	125352.112676
12722	47535.5969332
17762	25102.319236
13807	65437.7880184
18600	371.679049034
77337	2785.97142857
17882	497142.857143
22223	19619.2825112
54200	1787.5739645
67373	98285.7142857
75600	2450.65714286
17957	2779.65714286
24131	98285.7142857
67399	1740.37142857
17156	29641.1856474
14264	4359.57446809
12389	121348.314607
17868	3460.31496063
69824	6742.0
13346	371002.132196
12958	21386.2857143
81600	7261.73361522
18479	3324.22018349
19695	1529.31428571
223809	2742.54285714
17880	466531.440162
259300	31307.5506446
11459	620689.655172
20964	47428.5714286
16832	302395.209581
14778	348672.566372
53322	29428.5714286
21925	78750.0
104069	294285.714286
12715	1157480.31496
69983	34197.0954357
233799	50608.6956522
14598	2395.42253521
329251	2397.43852459
13142	13494.7826087
12353	21592.4290221
12925	342857.142857
20203	17299.7142857
216188	3537.59479957
74551	12571.09375
20404	31250.0
66824	68393.7823834
15277	11559.4329335
13823	21636.1679225
13070	2391.44486692
27357	7488.88888889
27053	12357.7540107
20910	357142.857143
14725	4206.00858369
12557	11577.8718259
67092	153427.895981
67182	2729.4
56012	98814.229249
13628	34557.2354212
13808	377880.184332
14199	59714.2857143
13007	316062.176166
16763	7308.0
109042	1981.14285714
218138	123387.096774
19132	3452.63157895
19058	84117.6470588
224796	40239.0438247
56421	16198.9795918
68794	4145.26779164
17922	618.409843824
107993	6939.90384615
16777	11422.1724524
21916	1957.43732591
50876	46723.6467236
216350	15359.4285714
109272	26218.2857143
18295	59731.5436242
21648	15059.7142857
665270	1171.51428571
18073	12610.4417671
15507	152631.578947
66695	8735.65683646
12512	5538.65546218
72088	1329.11428571
12323	3385.97785978
67399	28857.1428571
12372	110857.142857
18746	700564.971751
20198	38000.0
104183	88571.4285714
27273	12686.1650485
64661	10239.4285714
69787	15223.4285714
330440	3692.57142857
12971	13412.5714286
17929	39428.5714286
14660	128189.910979
12799	80238.0952381
433470	2228.82857143
17035	13170.2857143
16664	18469.0082645
226519	24144.3683883
16854	175378.787879
19283	5479.71428571
75572	229245.283019
20195	185142.857143
16775	2711.06828194
226041	9040.0
67326	11384.2857143
18489	762.371428571
118449	30857.1428571
12349	2019230.76923
76293	100857.142857
17885	16468.7661332
17879	895983.522142
67971	134857.142857
270097	1858.2
11674	10000000.0
66734	68435.5371901
107272	107297.297297
13602	2559.34285714
17022	464497.04142
14457	1792.91428571
171580	6023.71428571
11450	136437.246964
11811	6564.28571429
107029	34408.6021505
26558	3815.42857143
22240	118857.142857
232714	47142.8571429
232400	89142.8571429
17930	78000.0
18483	188571.428571
13179	250000.0
23969	50571.4285714
11983	365714.285714
17118	368932.038835
69051	14779.6875
14467	462857.142857
56185	342776.203966
16852	1488888.88889
72948	127714.285714
11676	231680.440771
21985	248571.428571
12933	235142.857143
20965	28060.2857143
16890	12988.5375494
20194	420000.0
21753	8284.28571429
19340	11934.7031963
229731	89714.2857143
17988	340000.0
73723	193428.571429
13405	4676.45459489
12721	527114.967462
13184	5509.14285714
216739	1426.67144907
14583	146341.463415
13010	26220.0
16985	6729.14285714
11997	280696.202532
15275	110882.956879
22352	2381974.24893
107684	2150.42857143
18611	24044.2857143
19652	111764.705882
71960	65500.0
381204	22953.0201342
16952	308571.428571
11820	6809.09090909
12306	1660000.0
14381	124271.84466
18074	27512.4732716
66395	1914285.71429
12362	16601.7412935
56356	16743.7142857
17105	19764.1891892
74340	28058.7275693
11808	485714.285714
109857	32564.2599278
13821	9244.59613197
17760	1984.10596026
56078	7809.4637224
109934	29428.5714286
12406	484412.470024
83397	29428.5714286
67103	2881458.96657
216810	5562.57142857
217124	69714.2857143
12934	447552.447552
67865	15394.5714286
20324	220285.714286
29877	23795.1428571
380698	6615.71428571
11766	3217.42857143
26556	16101.1428571
16776	2716.51425498
12332	225000.0
269713	1432.9512894
24014	3092.92517007
192176	206649.036645
65969	216857.142857
21346	725714.285714
109264	7663.0794702
66355	10071.3043478
208943	7209.14285714
20963	14161.0492846
76281	94285.7142857
12313	1234899.32886
23917	5490.85603113
18476	35902.5862069
66222	1567282.3219
20708	69428.5714286
16779	9171.76209005
102502	808571.428571
14590	66246.0567823
58194	8095.2045134
66098	15129.4285714
66144	63669.7478992
16019	57714.2857143
76932	1029.02857143
67443	42180.8
30948	148285.714286
12696	20942.4418605
22138	11813.8187601
67834	1423497.26776
11717	3595.5613577
19038	15829.7169811
67861	48857.1428571
16403	29605.8661778
68028	286065.57377
26430	4316.51186791
72269	112328.767123
12140	60222.7272727
74145	4315.43715847
14571	734525.447043
56205	57714.2857143
12653	62857.1428571
12798	59428.5714286
17755	11607.1428571
18799	2293.12169312
13017	7488.31460674
56526	5752.57142857
16560	22064.8967552
234267	10273.4285714
50706	35142.8571429
229603	4668.0952381
19895	15979.5379538
P01864	65714.2857143
11544	54419.8895028
66251	31548.7571702
21804	12710.8571429
23999	168481.375358
11677	1664556.96203
229593	7724.0
68196	29142.8571429
22271	19032.1543408
14432	12496.0
97165	519047.619048
22152	90000.0
19309	134204.275534
66471	69428.5714286
114584	692946.058091
14079	1674242.42424
74103	2231.34285714
72042	634285.714286
15929	717557.251908
73442	29142.8571429
59046	40857.1428571
11486	323863.636364
22323	65866.6666667
66849	32857.1428571
11641	146000.0
12554	2880.39215686
98878	65064.6950092
270685	2128.76151484
114663	8807.5862069
16541	18537.4701671
17904	5052980.13245
212307	70245.398773
11857	330000.0
227737	12950.2857143
20692	73142.8571429
12810	72571.4285714
19055	54318.6180422
11745	385714.285714
19339	57272.7272727
14086	35142.8571429
16594	1786.14357262
20193	269714.285714
67980	35235.1449275
15163	109259.259259
13476	67428.5714286
68106	15880.0
71733	58285.7142857
219072	166857.142857
11973	814159.292035
16956	6468.77637131
17254	53231.9391635
13860	13803.7142857
98932	1250000.0
54609	52351.0971787
64933	927.799043062
170718	1985714.28571
16678	711145.99686
13132	68407.310705
107589	61823.8021638
11518	79428.5714286
11775	1014.6025878
19231	694285.714286
20719	857142.857143
432516	24928.0920422
16906	1423469.38776
18537	413656.387665
75974	692.828571429
74325	341048.034934
93686	14680.2857143
227620	32938.8560158
15129	54489795.9184
326618	2165322.58065
11964	679092.382496
15122	30857142.8571
12908	230031.948882
53416	41906.4748201
110935	4384.0
75608	173660.714286
12325	5551.98487713
26611	19258.5714286
56360	201428.571429
20362	160857.142857
353170	194571.428571
18754	6964.99321574
56195	34000.0
22003	237676.056338
16592	7481481.48148
66111	11346.5714286
12550	46153.8461538
104001	144571.428571
69654	654228.855721
11465	290666.666667
71780	58886.8940754
320707	834285.714286
110078	173190.984579
223601	9994.85714286
232748	1453.57142857
68631	429467.084639
15444	19068.0
107975	2088.0
209378	4378.0
68420	11685.4285714
19264	17583.2687839
14960	172656.25
16149	13936.9175627
23825	545714.285714
14007	67322.8346457
230972	4953.71428571
18582	12343.3333333
14936	6082.92682927
213539	17140.952381
654795	19432.0
22142	268292.682927
381694	8137.21881391
73212	2994.28571429
14593	5883.33333333
170930	1263157.89474
67068	464583.333333
57915	2128.8
94181	1634285.71429
68519	48857.1428571
11722	19169.4716243
15512	28436.0189573
17524	218285.714286
59069	5598591.5493
14688	1008823.52941
22637	25728.1553398
12945	1777.07434053
16593	76155.2680222
19672	73714.2857143
67803	7736.85714286
17219	10692.6918392
11966	289628.180039
14245	15782.8571429
26364	7001.71149144
268996	12627.4285714
73112	122571.428571
71148	5078.0
18751	17585.6929955
52589	64857.1428571
101314	37428.5714286
11931	1444078.94737
22629	1292682.92683
18717	7595.0075643
20970	25339.3665158
13589	544776.119403
12491	199364.40678
56327	11129.8913043
18033	12461.3800206
66273	27649.1428571
227541	7370.12987013
14269	52857.1428571
18597	1384615.38462
18739	2772.17142857
56702	6052.01793722
17161	422053.231939
74091	59687.5
68263	2415041.78273
69772	211020.408163
11891	75113.1221719
216197	21913.0434783
18536	16575.4285714
234779	3181.02766798
14026	6262.0
74044	22481.7142857
12759	189428.571429
16170	13693.1428571
73834	105263.157895
268390	11402.0
228359	246000.0
380711	109142.857143
380686	12987.1428571
432467	18834.0
51793	39298.245614
380928	223142.857143
66128	164857.142857
P01867-2	374285.714286
21987	32857.1428571
229877	197714.285714
22631	5877551.02041
66310	85714.2857143
66645	30571.4285714
18797	19529.9837925
57349	77714.2857143
235627	635.542857143
20202	277714.285714
59069	227464.788732
21825	10683.7606838
239217	33428.5714286
109552	137142.857143
12419	72774.8691099
73086	3584.35689455
11630	8596.85714286
108911	91428.5714286
66128	206000.0
320183	3921.42857143
13016	117687.07483
72157	107096.774194
12417	317486.338798
216963	6314.28571429
27360	314285.714286
18642	160256.410256
319713	2614.80938416
72108	23979.4285714
170750	237560.192616
65106	147714.285714
12412	154054.054054
14225	3055555.55556
227700	19951.25
20111	100414.364641
12402	4695.29025192
11937	2749.59758551
17831	2888.58208955
105298	7397.14285714
12322	9704.81171548
15193	31714.2857143
17220	47566.0639777
53598	131182.795699
11429	8897435.89744
16181	11816.2921348
66576	164044.94382
100900	5138.88888889
12816	215.416666667
52398	968571.428571
17698	1490467.93761
29812	27158.0
18220	222000.0
68614	42285.7142857
22793	19326.2411348
26417	111578.947368
66204	307070.707071
18195	461021.505376
53378	34857.1428571
57138	27096.0
12183	66409.2664093
192662	2132352.94118
27984	334285.714286
108058	11756.4575646
13688	98000.0
20201	224000.0
65972	129032.258065
244373	300000.0
233908	237451.737452
54391	624516.129032
63986	63142.8571429
12757	308085.106383
17967	9775.78475336
382643	53142.8571429
15382	637500.0
116847	537037.037037
56086	529411.764706
18753	2573.29376855
22343	425714.285714
66469	68857.1428571
29875	90525.0452625
14904	34000.0
14857	1874439.46188
76626	139714.285714
668218	158000.0
26370	54250.0
16400	3020.0379867
15469	350404.312668
12858	5876712.32877
11852	84693.877551
108671	12004.2471042
114886	129142.857143
11733	3792.85714286
227960	5170.0
14784	649769.585253
234353	6009.3539055
214459	28857.1428571
407785	1137931.03448
74325	934497.816594
100732	466192.170819
17215	17118.226601
320183	4182.85714286
26949	408866.995074
22375	237006.237006
54120	18737.1428571
76497	268000.0
76820	16160.8571429
14156	19816.4021164
75901	10279.5681063
11957	4046296.2963
67683	6907.14285714
63913	59714.2857143
108664	134161.490683
53605	386189.258312
57752	2784.94342907
59069	549295.774648
17931	37123.4207969
269774	20646.5067779
20742	782903.089293
20024	334285.714286
232201	5712.57142857
72096	7114.57142857
19088	33653.8461538
29817	48571.4285714
66514	215030.674847
17955	528000.0
329910	6815.82491582
545030	885.771428571
20739	7039.33747412
50926	677740.863787
80890	12002.4193548
56426	52285.7142857
68598	132806.324111
208194	17137.2282609
18738	760000.0
30059	885714.285714
22151	1244943.82022
54519	3076.0
16773	4153.25177077
54401	3256097.56098
69071	13927.7142857
93730	28857.1428571
14555	20573065.9026
329154	17450.8571429
12340	447552.447552
69270	10542.8571429
193740	410296.411856
18750	18452.3809524
12041	21533.7378641
54403	7585.44949027
171210	245033.112583
75007	59428.5714286
12826	10185.7399641
17996	109428.571429
22630	2036734.69388
18993	36016.0965795
22350	1156996.58703
14923	221212.121212
50492	142066.957787
13138	96080.6270997
22628	5101214.5749
68732	7523.14285714
11484	194230.769231
12631	11204819.2771
223255	76798.1438515
11657	25514285.7143
19291	160857.142857
67199	539344.262295
56409	9954.16666667
235661	361376.67304
94184	402857.142857
18538	189272.030651
54673	48493.1506849
67469	6631.05413105
13855	4578.99159664
66905	357142.857143
117150	125178.147268
26413	519553.072626
229709	494339.622642
109711	641255.605381
20741	10761.2781955
23988	66666.6666667
71889	2635.8490566
19156	947935.368043
67860	5919.42857143
11308	70000.0
18624	318458.41785
72565	9830.0
66125	315116.27907
67689	1191.85897436
224650	19122.0
57258	4332.85714286
65962	40356.0830861
13822	154858.299595
22329	3805.1420839
20650	21122.0
13169	275142.857143
319162	59816.9230769
77579	97165.9919028
54130	957142.857143
64383	172493.573265
14976	681889.76378
22221	4578.14814815
109624	2914285.71429
12336	163197.026022
22330	1285178.2364
18637	714285.714286
19046	225382.262997
235442	67632.8502415
76895	34285.7142857
53602	108285.714286
51886	235023.041475
16905	3052631.57895
12974	1941810.34483
103850	6300.90909091
57376	37469.5863747
93739	201709.401709
77134	2304918.03279
268656	18402.9598309
66335	264397.905759
98366	54555.0847458
58231	38819.3202147
20588	4178.17028986
99889	222857.142857
59041	16914.084507
74134	1605.74850299
67808	26280.5714286
224105	240458.015267
67881	30000.0
58233	22853.9042821
66540	87142.8571429
23943	154571.428571
76551	46055.4371002
64899	2388.62857143
17919	3936.85368537
19385	411428.571429
235380	49428.5714286
20383	1804878.04878
83965	18386.5714286
110651	27432.4324324
66290	621186.440678
66593	44303.7974684
27205	95427.4353877
18798	15460.8571429
231148	8003.92156863
52700	244000.0
228998	57004.8309179
58193	5300.3030303
20163	825714.285714
227613	9258426.96629
11474	57444.4444444
17876	33142.8571429
22154	202702.702703
69151	67428.5714286
67581	3690.57142857
56737	33012.0481928
