Gene names	Intensity L Colon
17196	118571.428571
69187	11562.2857143
12954	1295918.36735
11354	12588.2857143
14077	584210.526316
12961	342857.142857
12889	5943.42857143
12955	1331428.57143
380684	98165.1376147
226180	45436.5079365
18039	153775.322284
17189	917142.857143
12960	331428.571429
110187	8866.85714286
20617	225714.285714
18823	7256.57142857
12962	133714.285714
19194	15769.1428571
G3UXD0	17470.0
12373	13874.2857143
21956	125913.621262
70350	18891.4285714
22349	8766626.36034
218038	6228.27988338
21954	248341.232227
66473	138783.269962
19752	83892.6174497
11723	802857.142857
21924	198757.763975
68416	83714.2857143
16204	496875.0
19660	388571.428571
22003	166901.408451
22072	203252.03252
282619	7080.85714286
12716	3157894.73684
19293	103142.857143
17906	1072289.15663
12409	561475.409836
227120	37142.8571429
56727	17623.8596491
109901	93984.962406
12613	19866.4440735
12307	75714.2857143
12308	229714.285714
12970	93142.8571429
22227	19453.4201954
59006	1560.91428571
109697	113126.491647
55948	4153225.80645
215384	6542857.14286
13706	51660.5166052
26950	7648.57142857
16618	3812.72030651
18378	16816.8571429
12797	5142857.14286
12957	132857.142857
22287	30285.7142857
16612	1915708.81226
14120	1802359.88201
17897	474019.607843
22074	141142.857143
29818	66863.9053254
107753	591538.461538
140781	6408.26873385
22004	12570422.5352
12652	1371428.57143
69117	130857.142857
21345	30285714.2857
76703	128285.714286
18040	60731.1320755
17888	62951.496388
14580	51162.7906977
233335	135810.377963
18946	43763.2135307
20259	2909090.90909
17901	574468.085106
23795	26028571.4286
56370	32857.1428571
11847	266666.666667
17287	30522.0883534
69191	305502.8463
66284	39428.5714286
17907	591715.976331
106393	85428.5714286
18645	55303.5714286
53318	297142.857143
22003	44014084.507
11770	2598484.84848
69060	71397.8494624
59290	345714.285714
68738	359237.536657
20215	6314.85714286
20618	153142.857143
17896	48742.4870466
99709	112857.142857
21953	239010.989011
11636	480412.371134
17075	1079365.07937
16855	12515337.4233
67041	1009615.38462
67931	21651.4285714
66283	68857.1428571
20199	51428.5714286
12346	95402298.8506
12180	3457.75510204
76722	880668.257757
103968	17079.303675
12865	796250.0
380683	62285.7142857
12709	1467191.60105
12036	676844.783715
18951	401084.01084
