Gene names	Intensity L Midbrain
17196	12657142.8571
69187	1934.71428571
12954	435714.285714
11354	1111.57142857
14077	2308270.67669
12961	116857.142857
12889	1277142.85714
12955	2548571.42857
380684	168807.33945
226180	2539682.53968
18039	10644567.2192
17189	402857.142857
12960	8250.57142857
110187	6589.71428571
20617	5385714.28571
18823	714285.714286
12962	25466.2857143
19194	31428.5714286
G3UXD0	2145.25714286
12373	6329.42857143
21956	29913.2890365
70350	871428.571429
22349	29504.2321644
218038	682215.74344
21954	31614.2180095
66473	14875.2851711
19752	29349.6644295
11723	71142.8571429
21924	20806.2111801
16204	110937.5
19660	35142.8571429
22003	45422.5352113
22072	37574.3902439
282619	4977.42857143
12716	423444.976077
19293	288571.428571
17906	184939.759036
12409	63114.7540984
227120	20560.8571429
56727	6302.45614035
52430	2732.25714286
109901	9703.7593985
12613	3234.55759599
12307	451428.571429
12308	774285.714286
12970	3098.28571429
22227	4611.07491857
109697	17091.8854415
55948	66532.2580645
215384	8221.42857143
13706	1095.68265683
26950	2042857.14286
16618	1748.16091954
18378	11710.0
12797	3567.14285714
12957	45714.2857143
22287	52000.0
16612	31291.1877395
14120	12767.5516224
17897	100000.0
22074	12666.5714286
29818	1746.15384615
107753	68597.6923077
140781	1498.81136951
22004	136267.605634
12652	24155.7142857
69117	9421.42857143
21345	165714.285714
76703	6204.28571429
18040	6344339.62264
17888	14086.6873065
14580	3558139.53488
233335	6982.70339526
18946	5766.5961945
20259	3273.84615385
17901	118085.106383
23795	15684.5714286
56370	1294285.71429
11847	6640.11299435
17287	1938.42034806
69191	25806.4516129
66284	3336.0
17907	183431.952663
106393	77714.2857143
18645	1650000.0
53318	5268.85714286
22003	2739436.61972
11770	342424.242424
69060	6212.90322581
68738	3486.95014663
20215	323.828571429
20618	163142.857143
17896	21915.5440415
99709	684.285714286
21953	66483.5164835
11636	1365979.38144
17075	1413.96825397
16855	12280.0613497
67041	230769.230769
67931	4891.71428571
66283	5970.0
20199	3782.85714286
12346	108429.118774
12180	1171.06122449
76722	69928.4009547
103968	39264.9903288
12865	90277.5
380683	3752.28571429
12709	4724409.44882
12036	16435.8778626
18951	563685.636856
16765	1288590.60403
67868	970.371747212
19701	1047.039801
11475	981432.360743
59011	6142.0
19285	236857.142857
11754	376.836601307
236539	109568.4803
17756	1094091.90372
11472	21923.9373602
20200	11139.7142857
22004	34785.915493
12722	3466.26506024
17762	1126875.85266
13807	2741935.48387
18600	6727.34026746
77337	7253.42857143
17882	73142.8571429
22223	3569506.72646
67373	6004.28571429
75600	3234.57142857
17957	275428.571429
24131	7691.42857143
14264	3432.44680851
12389	7235.39325843
17868	332.559055118
69824	4863.14285714
13346	63113.0063966
12958	471.085714286
81600	1297.54756871
18479	115045.87156
223809	3819.42857143
17880	28651.1156187
259300	4194.47513812
11459	14089.1246684
20964	2034285.71429
16832	3053892.21557
14778	38865.4867257
53322	24595.4285714
21925	5129.625
104069	2562857.14286
12715	84251.9685039
69983	9114.93775934
233799	6468.69565217
14598	3684.68309859
329251	4830.84016393
13142	105.110144928
12353	3017.76025237
12925	83142.8571429
20203	928571.428571
216188	994.88624052
74551	5272.8125
20404	4375000.0
66824	15241.4507772
15277	3921.70119956
13823	288482.238967
13070	1919.20152091
27357	18078.6786787
27053	10410.516934
20910	2377142.85714
14725	756.244635193
12557	1998.4280532
67092	14281.5602837
67182	108.754285714
56012	52964.4268775
13628	298056.155508
13808	101612.903226
14199	173428.571429
13007	1518134.71503
16763	3104.0
218138	55107.5268817
19132	38315.7894737
19058	935294.117647
224796	31800.7968127
56421	102806.122449
68794	969.919295671
17922	2951.1121628
107993	1581.5625
16777	11702.1276596
21916	4927.57660167
50876	1603988.60399
216350	4092.57142857
109272	12020.8571429
18295	1872.08053691
21648	3304.28571429
665270	103.191428571
18073	2700.64257028
15507	68421.0526316
66695	1393.6997319
12512	331.478991597
72088	1828.62857143
12323	23247.2324723
67399	4324.85714286
12372	13665.1428571
18746	1374764.5951
20198	5502.57142857
104183	8218.0
27273	140.754854369
64661	298.4
69787	1309.6
330440	638.685714286
12971	420000.0
17929	8860.85714286
14660	173590.504451
12799	1142857.14286
433470	1322.2
17035	118000.0
16664	2684.29752066
226519	5012.75668948
16854	9893.93939394
19283	242857.142857
75572	137735.849057
20195	55428.5714286
16775	1115.91409692
226041	119.234285714
67326	104285.714286
18489	2971.71428571
118449	2711.77142857
12349	3507692.30769
76293	1088.25714286
17885	341.435209086
17879	38980.4325438
67971	694285.714286
270097	371428.571429
11674	2543956.04396
66734	2446280.99174
107272	259189.189189
13602	19666.5714286
17022	31065.0887574
14457	73714.2857143
171580	216.862857143
11450	3235.62753036
107029	15821.812596
26558	1918.57142857
22240	294285.714286
232714	3063.42857143
232400	7360.85714286
17930	3079.71428571
18483	525714.285714
13179	15599.726776
23969	2034285.71429
11983	677142.857143
17118	1064724.91909
69051	22081.5625
14467	1108571.42857
56185	256090.651558
16852	97037.037037
72948	2831428.57143
11676	1071625.34435
21985	305714.285714
12933	1700000.0
20965	1217142.85714
16890	252.042160738
20194	12056.5714286
21753	6559.42857143
19340	46118.7214612
229731	7456.85714286
17988	192857.142857
73723	328571.428571
13405	15.834148994
12721	245119.305857
13184	1733.54285714
216739	21951.2195122
14583	6067.57532281
13010	426428.571429
16985	1004.22857143
11997	21354.7468354
15275	141683.778234
22352	987124.463519
107684	20808.2857143
18611	279142.857143
71960	7900.0
16952	20419.7142857
11820	47142.8571429
12306	60571.4285714
14381	29514.5631068
18074	2215.03920171
66395	331428.571429
12362	1552.18905473
56356	70857.1428571
17105	18456.0810811
74340	40946.1663948
11808	94285.7142857
109857	26326.7148014
13821	116040.955631
17760	1004415.01104
56078	3749.84227129
109934	34285.7142857
12406	80575.5395683
83397	61428.5714286
67103	38297.8723404
216810	70571.4285714
217124	417142.857143
12934	1080419.58042
67865	83142.8571429
20324	24115.1428571
29877	212000.0
380698	1089.34285714
11766	166.528571429
26556	894285.714286
16776	80.4491662184
12332	24211.6477273
269713	16427.8892073
24014	675.755102041
192176	8349.07442388
65969	4749.71428571
21346	44285.7142857
109264	18874.1721854
66355	21792.173913
208943	2409.0
20963	13339.745628
76281	10243.1428571
12313	4013422.81879
23917	603.073929961
18476	44827.5862069
66222	271767.810026
20708	866.514285714
16779	2287.21511951
102502	85428.5714286
14590	4468.45425868
58194	25387.8702398
66098	79142.8571429
66144	547058.823529
16019	3523.71428571
76932	36857.1428571
67443	574400.0
30948	1291428.57143
12696	56933.7209302
22138	1854.4287621
67834	628415.300546
11717	2533.28981723
19038	1592.02830189
67861	23842.2857143
16403	704.784601283
68028	46627.8688525
72269	12817.8082192
12140	29179.5454545
74145	931.133879781
14571	141678.129298
56205	236285.714286
12653	105142.857143
12798	5040.57142857
17755	72240.2597403
18799	2032.93650794
13017	3966.96629213
56526	44285.7142857
16560	13864.3067847
234267	250571.428571
50706	1500.05714286
229603	2837.26190476
19895	6100.99009901
P01864	3663.42857143
11544	35082.8729282
66251	5602.67686424
23999	73352.4355301
11677	278797.468354
229593	554.114285714
68196	70571.4285714
22271	2043.79421222
14432	645714.285714
97165	228095.238095
22152	662222.222222
19309	74346.7933492
66471	12032.5714286
114584	19325.7261411
14079	19266.6666667
74103	62285.7142857
72042	235142.857143
15929	252162.849873
73442	138857.142857
59046	93142.8571429
11486	31250.0
22323	7782.4
66849	197142.857143
11641	72571.4285714
12554	8547.19887955
98878	9720.51756007
270685	3050.05117707
114663	18324.4827586
16541	76.830548926
17904	497350.993377
212307	457055.214724
11857	40861.5
227737	1269.48571429
20692	33142.8571429
12810	10685.4285714
19055	380038.387716
