Gene names	Intensity L Brown fat
17196	368571.428571
69187	18894.2857143
12954	729591.836735
11354	22085.4285714
14077	23684210.5263
12961	337142.857143
12889	42285.7142857
12955	1400000.0
380684	188990.825688
226180	32738.0952381
18039	397790.055249
17189	5114285.71429
12960	25998.2857143
110187	8715.71428571
20617	170714.285714
18823	8555.14285714
12962	131714.285714
19194	29714.2857143
G3UXD0	21592.5714286
12373	46571.4285714
21956	348837.209302
70350	13984.8571429
22349	162031.438936
218038	3492.41982507
21954	165876.777251
66473	124714.828897
19752	77181.2080537
11723	348571.428571
21924	383229.813665
68416	11698.5714286
16204	457812.5
19660	110000.0
22003	718309.859155
22072	21415.8536585
282619	7480.0
12716	118899.521531
19293	1882857.14286
17906	1873493.9759
12409	434426.229508
227120	780000.0
56727	12462.8070175
109901	36151.1278195
12613	15291.3188648
12307	30857.1428571
12308	57428.5714286
12970	68285.7142857
22227	23941368.0782
59006	5812.0
109697	83532.2195704
55948	114516.129032
215384	37714.2857143
13706	40590.4059041
26950	51142.8571429
16618	2350.26819923
18378	18714.5714286
12797	181142.857143
12957	155428.571429
22287	33142.8571429
16612	77394.6360153
14120	489675.516224
17897	877450.980392
22074	81428.5714286
29818	145562.130178
107753	219230.769231
140781	189147.286822
22004	4507042.25352
12652	11402.2857143
69117	52000.0
21345	2128571.42857
76703	81142.8571429
18040	189858.490566
17888	292053.663571
14580	14713.7209302
233335	31710.4420243
18946	42706.1310782
20259	6214.68531469
17901	11223404.2553
23795	138857.142857
56370	21094.5714286
11847	30508.4745763
17287	93306.5595716
69191	588235.294118
66284	139428.571429
17907	8698224.85207
106393	722857.142857
18645	24682.1428571
53318	10824.0
22003	7640845.07042
11770	168939393.939
69060	41290.3225806
59290	1004.71428571
68738	1082111.43695
20215	17122.8571429
20618	317142.857143
17896	23483.9378238
99709	27733.7142857
21953	2379120.87912
11636	5206185.56701
17075	12821.9047619
16855	90184.0490798
67041	3288461.53846
67931	23348.5714286
66283	241142.857143
20199	6251.42857143
12346	536398.467433
12180	142040.816327
76722	92840.0954654
103968	5067698.25919
12865	15625000.0
380683	28034.5714286
12709	1194225.72178
12036	3486005.08906
18951	25808.9430894
16765	134228.187919
67868	2256.87732342
19701	14004.7263682
11475	10954907.1618
59011	402857.142857
19285	9600000.0
11754	465359.477124
236539	125891.181989
17756	6619.25601751
11472	240492.170022
20200	328571.428571
22004	859154.929577
12722	21358.1599124
17762	62755.79809
13807	76036.8663594
18600	25854.3833581
77337	7244.0
17882	2077142.85714
22223	243497.757848
54200	4860.94674556
67373	23155.1428571
75600	1319.02857143
17957	28857.1428571
24131	1074285.71429
14264	4633.77659574
12389	2224719.10112
17868	4249.05511811
69824	14025.4285714
13346	492537.313433
12958	21385.1428571
81600	6509.09090909
