Gene names	Intensity L Ileum
17196	117428.571429
69187	3342857.14286
12954	3596938.77551
11354	9647.42857143
14077	1285714.28571
12961	1068571.42857
12889	11050.0
12955	3862857.14286
380684	3090.64220183
226180	34920.6349206
18039	116206.26151
17189	3257142.85714
12960	135714.285714
20617	1164285.71429
18823	9770.85714286
12962	272571.428571
19194	192000.0
G3UXD0	4314285.71429
12373	77714.2857143
21956	524916.943522
70350	43142.8571429
22349	34461910.52
218038	2445.33527697
21954	356398.104265
66473	20608365.019
19752	29060402.6846
11723	104285714.286
21924	355900.621118
68416	167142.857143
16204	383593.75
19660	26800000.0
22003	295070.422535
22072	11056910.5691
282619	1884.48571429
12716	18803827.7512
19293	42571.4285714
17906	2367469.87952
12409	219262.295082
227120	29142.8571429
56727	10969.122807
109901	7593984.96241
12613	8731218.69783
12307	79714.2857143
12308	212857.142857
12970	189428.571429
22227	16065.4723127
59006	8246.57142857
109697	11145584.7255
55948	10241935.4839
215384	13828571.4286
13706	10405904.059
26950	15218.2857143
16618	739.501915709
18378	16549.1428571
12797	411428.571429
12957	334285.714286
22287	82285.7142857
16612	2582375.47893
14120	8938053.09735
17897	1730392.15686
22074	14085714.2857
29818	12276.3313609
107753	33615384.6154
140781	5736.43410853
22004	1045774.64789
12652	531428.571429
69117	31428571.4286
21345	5228571.42857
76703	19600000.0
18040	81485.8490566
17888	78431.372549
14580	20411.1627907
233335	7110.82639334
18946	6511627.90698
20259	1440559.44056
17901	525000.0
23795	4571428.57143
56370	57142.8571429
11847	15451977.4011
17287	68808.5676037
69191	16831119.5446
66284	192000.0
17907	562721.893491
106393	57142.8571429
18645	30305.7142857
53318	21569.4285714
22003	8802816.90141
11770	5015151.51515
69060	13419354.8387
59290	1357142.85714
68738	287390.029326
20215	10091.1428571
20618	50285.7142857
17896	20463.2124352
99709	931428.571429
21953	104395.604396
11636	773195.876289
17075	2095238.09524
16855	28650306.7485
67041	2211538.46154
67931	2480000.0
66283	102000.0
12346	1172413.7931
76722	4868735.08353
103968	3018.56866538
12865	6550000.0
380683	8773.14285714
12709	12099737.5328
12036	1300254.45293
18951	791327.913279
16765	738255.033557
67868	3301115.24164
19701	8463.43283582
11475	11750663.13
59011	22477.7142857
19285	213142.857143
11754	10391.7647059
236539	1560975.60976
17756	2604.86870897
11472	12975.3914989
20200	1451428.57143
22004	328873.239437
12722	3242059.14567
17762	94815.8253752
13807	42857.1428571
18600	97622.5854383
77337	19682.0
17882	348571.428571
22223	383408.071749
54200	1044378.69822
67373	14171428.5714
75600	1140000.0
17957	26937.1428571
24131	325714.285714
17156	104836.193448
14264	1907.92553191
12389	40428.0898876
69824	4628571.42857
13346	692963.752665
12958	61142.8571429
81600	134672.30444
18479	172660.550459
19695	169714.285714
223809	3864.85714286
17880	2489858.01217
259300	110681.399632
11459	164986.737401
20964	25926.2857143
16832	305389.221557
14778	290707.964602
53322	385714.285714
21925	27518.125
104069	156571.428571
12715	614173.228346
69983	27178423.2365
233799	25217.3913043
14598	278169.014085
329251	8129.81557377
13142	423188.405797
12353	154258.675079
12925	13028571.4286
20203	17868.2857143
216188	424702.058505
74551	506250.0
20404	423295.454545
66824	7046632.12435
15277	117775.354417
13823	1571582.34661
13070	3485.36121673
27357	148348.348348
27053	1577540.10695
20910	126571.428571
14725	3669.527897
12557	9298669.89117
67092	418439.716312
67182	1434.0
56012	60869.5652174
13628	7673.65010799
13808	285714.285714
14199	402857.142857
13007	1829015.54404
16763	488571.428571
