Gene names	Intensity L Adrenal gland
17196	272857.142857
69187	368571.428571
12954	3489795.91837
11354	107142.857143
14077	1691729.32331
12961	465714.285714
12889	71714.2857143
12955	2782857.14286
380684	4729.90825688
226180	42063.4920635
18039	366482.504604
17189	942857.142857
12960	6828.0
110187	29714.2857143
20617	236428.571429
18823	8855.71428571
12962	78857.1428571
19194	15796.8571429
G3UXD0	41142.8571429
12373	16432.0
21956	170099.667774
70350	48857.1428571
22349	153567.110036
218038	13116.4723032
21954	150236.966825
66473	336501.901141
19752	1302013.42282
11723	4942857.14286
21924	467701.863354
68416	46000.0
16204	890625.0
19660	90000.0
22003	258802.816901
22072	222764.227642
282619	42285.7142857
12716	76555.0239234
19293	334285.714286
17906	975903.614458
12409	227459.016393
227120	108857.142857
56727	28475.4385965
109901	684210.526316
12613	228714.524207
12307	193428.571429
12308	52571.4285714
12970	22043.4285714
22227	475570.032573
59006	4804.28571429
109697	565632.458234
55948	75806.4516129
215384	79714.2857143
13706	289667.896679
26950	377142.857143
16618	3594.40613027
18378	12351.4285714
12797	152571.428571
12957	100285.714286
22287	48571.4285714
16612	236781.609195
14120	72861.3569322
17897	500000.0
22074	297142.857143
29818	9521.30177515
107753	159230.769231
140781	14263.5658915
22004	2563380.28169
12652	32000000.0
69117	94000.0
21345	3285714.28571
76703	837142.857143
18040	169811.320755
17888	87203.3023736
14580	56976.744186
233335	8456.11787316
18946	106976.744186
20259	52587.4125874
17901	1632978.7234
23795	55142.8571429
56370	40000.0
11847	13968.3615819
17287	32931.7269076
69191	2865275.14231
66284	23013.4285714
17907	1857988.16568
106393	53142.8571429
18645	216428.571429
53318	22283.1428571
22003	12640845.0704
11770	117424242.424
69060	200860.215054
68738	42815.2492669
20215	10475.7142857
20618	274285.714286
17896	6279.79274611
99709	177.677142857
21953	351098.901099
11636	1742268.04124
17075	35238.0952381
16855	61349.6932515
67041	982692.307692
67931	199142.857143
66283	45142.8571429
20199	38285.7142857
12346	674329.501916
12180	865.204081633
76722	46300.7159905
103968	1174081.23791
12865	1687500.0
380683	33142.8571429
12709	656167.979003
12036	1368956.743
18951	136585.365854
16765	202013.422819
67868	549.851301115
19701	12496.7661692
11475	9867374.00531
59011	81142.8571429
19285	7228571.42857
11754	92287.5816993
236539	223264.540338
17756	19803.0634573
11472	19351.2304251
20200	365714.285714
22004	721830.985915
12722	28368.0175246
17762	313778.99045
13807	102534.562212
18600	3593.90787519
77337	51142.8571429
17882	360000.0
22223	1331838.56502
54200	4141.42011834
67373	325714.285714
75600	3906.28571429
17957	16124.5714286
24131	70285.7142857
14264	30585.106383
12389	500561.797753
17868	1674.56692913
69824	11692.5714286
13346	827292.110874
12958	49142.8571429
81600	3096.82875264
18479	23486.2385321
223809	32000.0
17880	715010.141988
259300	734806.629834
11459	237400.530504
20964	103142.857143
16832	2799401.1976
14778	422123.893805
53322	371428.571429
21925	129375.0
104069	59428.5714286
12715	721784.776903
69983	68879.6680498
233799	74260.8695652
14598	10789.084507
329251	28688.5245902
13142	3777.97101449
12353	3438.170347
12925	788571.428571
20203	64285.7142857
216188	21126.7605634
74551	72343.75
20404	151420.454545
66824	51369.4300518
15277	122137.40458
13823	41119.4833154
13070	8079847.90875
27357	318318.318318
27053	109447.41533
20910	149142.857143
14725	5064.3776824
12557	6370.97944377
67092	190070.921986
67182	253.137142857
56012	54545.4545455
13628	163714.902808
13808	288018.43318
14199	397142.857143
13007	4554404.14508
16763	4344.28571429
109042	109142.857143
218138	119623.655914
19132	74947.3684211
19058	882352.941176
224796	205577.689243
56421	139030.612245
68794	25201.7608217
17922	1476.00567913
107993	19781.4903846
16777	271556.550952
21916	5362.39554318
50876	115099.7151
216350	77142.8571429
109272	45142.8571429
18295	333221.47651
21648	33142.8571429
18073	159839.35743
15507	1373205.74163
66695	184986.595174
12512	23545.7983193
72088	10988.5714286
12323	7003.13653137
67399	59142.8571429
12372	99714.2857143
18746	5386064.03013
20198	104857.142857
104183	43428.5714286
27273	45388.3495146
64661	3102.85714286
69787	10784.8571429
330440	2758.91428571
12971	18945.1428571
17929	42571.4285714
14660	133086.053412
12799	87142.8571429
433470	3741.42857143
17035	49714.2857143
16664	68181.8181818
226519	387056.627256
16854	405303.030303
19283	2186.05714286
75572	1386792.45283
20195	568571.428571
16775	48237.8854626
226041	31428.5714286
67326	53428.5714286
118449	31428.5714286
12349	2361538.46154
76293	68285.7142857
17885	9602.47805885
17879	458805.355304
67971	837142.857143
270097	834285.714286
11674	13543956.044
66734	265289.256198
107272	196756.756757
13602	2793.14285714
17022	2420118.3432
14457	11205.7142857
171580	2321.65714286
11450	813765.182186
107029	16589.8617512
26558	8924.57142857
22240	210571.428571
232714	23950.0
232400	71428.5714286
17930	60571.4285714
18483	114571.428571
13179	1557377.04918
23969	220571.428571
11983	1111428.57143
17118	1605177.99353
69051	113437.5
14467	868571.428571
56185	127478.753541
16852	6096296.2963
72948	103428.571429
11676	117079.889807
21985	720000.0
12933	602857.142857
20965	46285.7142857
16890	86429.5125165
20194	1177142.85714
21753	66000.0
19340	97716.8949772
229731	742857.142857
17988	440000.0
73723	505714.285714
13405	148.10766721
12721	724511.930586
13184	4518.85714286
216739	14324.82066
14583	79626.9727403
13010	397142.857143
16985	46857.1428571
11997	76898734.1772
15275	85831.6221766
22352	8927038.62661
107684	9569.14285714
18611	243142.857143
19652	49749.0196078
71960	28050.0
381204	215.489932886
16952	848571.428571
11820	17012.987013
12306	7714285.71429
14381	1446601.94175
18074	117605.13186
66395	10885714.2857
12362	82835.8208955
56356	32000.0
17105	200000.0
74340	241435.562806
11808	2065714.28571
109857	190974.729242
13821	50853.2423208
17760	6578.58719647
56078	55835.9621451
109934	28387.4285714
12406	2781774.58034
83397	208285.714286
67103	1170212.76596
216810	132571.428571
217124	135428.571429
12934	604895.104895
67865	40857.1428571
20324	1182857.14286
29877	162285.714286
380698	738.914285714
11766	834.314285714
26556	13487.1428571
16776	8552.98547606
12332	957386.363636
269713	15472.7793696
24014	4347.07482993
192176	376652.814507
65969	13200.8571429
21346	2760000.0
109264	5621.85430464
66355	24151.0144928
208943	54571.4285714
20963	66772.6550079
76281	85142.8571429
12313	1771812.08054
23917	22568.0933852
18476	70689.6551724
66222	6332453.82586
20708	278571.428571
16779	42523.6242357
102502	442857.142857
14590	57728.7066246
58194	20169.2524683
66098	232285.714286
66144	289915.966387
16019	72857.1428571
76932	13815.4285714
67443	103200.0
30948	233142.857143
12696	261627.906977
22138	5367.33592707
67834	2316939.89071
11717	20757.1801567
19038	12624.0566038
67861	942857.142857
16403	23373.0522456
68028	94262.295082
26430	10423.1166151
72269	2952.73972603
12140	21996.2121212
74145	69945.3551913
14571	1444291.60935
56205	104000.0
12653	19314285.7143
12798	83142.8571429
17755	48295.4545455
18799	26587.3015873
13017	66292.1348315
56526	79142.8571429
16560	43244.8377581
234267	3188.57142857
50706	428571.428571
229603	5007.02380952
19895	11940.5940594
P01864	33714.2857143
11544	124585.635359
66251	98087.9541109
21804	49714.2857143
23999	767908.309456
11677	10158227.8481
229593	29428.5714286
68196	74857.1428571
22271	30098.7138264
14432	25414.8571429
97165	542857.142857
22152	93777.7777778
19309	166270.783848
66471	212000.0
114584	1286307.05394
14079	136363.636364
74103	65428.5714286
72042	588571.428571
15929	1338422.39186
73442	128571.428571
59046	65714.2857143
11486	113068.181818
22323	141866.666667
66849	162857.142857
11641	1560000.0
12554	4774.08963585
98878	238447.319778
270685	22517.9119754
114663	35517.2413793
16541	1022.41050119
17904	4887417.21854
212307	131595.092025
11857	645000.0
227737	19006.8571429
20692	243714.285714
12810	12242.2857143
19055	63723.6084453
11745	820000.0
19339	125000.0
14086	101714.285714
16594	41903.1719533
20193	325714.285714
67980	86231.884058
15163	186008.230453
13476	605714.285714
68106	65142.8571429
71733	34285.7142857
219072	250571.428571
11973	1398230.0885
16956	6622.15189873
17254	120342.205323
13860	23694.5714286
98932	1662790.69767
54609	104858.934169
64933	169.684210526
170718	4542857.14286
16678	458398.744113
13132	281984.334204
107589	66460.5873261
11518	236571.428571
11775	806.876155268
19231	1228571.42857
20719	5925925.92593
432516	21284.7555129
16906	4914965.98639
18537	845814.977974
75974	428.228571429
74325	489082.969432
93686	32857.1428571
227620	46153.8461538
15129	112925170.068
326618	10201612.9032
11964	521880.06483
15122	37142857.1429
12908	766773.162939
53416	92805.7553957
110935	455.371428571
75608	445089.285714
12325	12365.7844991
26611	130285.714286
56360	948571.428571
20362	351428.571429
353170	236285.714286
18754	2087.51696065
56195	13328.8571429
22003	528169.014085
16592	3607407.40741
66111	28571.4285714
12550	18212.6696833
104001	40285.7142857
69654	1134328.35821
11465	112000.0
71780	162836.624776
320707	178571.428571
110078	138790.035587
223601	35142.8571429
232748	929.028571429
68631	146394.984326
15444	34285.7142857
107975	6870.85714286
209378	3764.85714286
68420	12482.5714286
19264	5328.58249419
14960	251171.875
16149	17027.5985663
23825	1034285.71429
14007	51771.6535433
230972	524.114285714
18582	60507.3333333
14936	31571.8157182
213539	20627.1428571
654795	78000.0
