Gene names	Intensity L Cerebellum
17196	52285714.2857
69187	50571.4285714
12954	5306122.44898
11354	130571.428571
14077	16390977.4436
12961	1397142.85714
12889	22571428.5714
12955	14628571.4286
380684	4669724.77064
226180	22023809.5238
18039	77900552.4862
17189	2417142.85714
12960	58571.4285714
110187	90285.7142857
20617	45857142.8571
18823	13971428.5714
12962	305714.285714
19194	50571.4285714
G3UXD0	63142.8571429
12373	448571.428571
21956	355481.727575
70350	14371428.5714
22349	431680.773881
218038	6341107.87172
21954	277725.118483
66473	311026.61597
19752	338926.174497
11723	2134285.71429
21924	645962.732919
68416	1791.88571429
16204	1726562.5
19660	882857.142857
22003	707746.478873
22072	133333.333333
282619	42857.1428571
12716	13349282.2967
19293	10885714.2857
17906	2939759.03614
12409	382377.04918
227120	457142.857143
56727	43859.6491228
109901	27223.3082707
12613	91318.8647746
12307	49142857.1429
12308	35714285.7143
12970	116285.714286
22227	48208.4690554
59006	37142.8571429
109697	167064.439141
55948	157258.064516
215384	154571.428571
13706	11593.3579336
26950	41142857.1429
16618	613.409961686
18378	86857.1428571
12797	474285.714286
12957	195714.285714
22287	222285.714286
16612	204214.559387
14120	113864.306785
17897	1573529.41176
22074	186571.428571
29818	1157.92899408
107753	634615.384615
140781	14728.6821705
22004	4190140.84507
12652	317142.857143
69117	188857.142857
21345	2454285.71429
76703	122571.428571
18040	42806603.7736
17888	371001.031992
14580	13209302.3256
233335	34016.6559898
18946	247357.293869
20259	60139.8601399
17901	2111702.12766
23795	241142.857143
56370	21371428.5714
11847	64689.2655367
17287	9405.48862115
69191	897533.206831
66284	34571.4285714
17907	3313609.46746
106393	382857.142857
18645	14000000.0
53318	72857.1428571
22003	26408450.7042
11770	5287878.78788
69060	55268.8172043
68738	203812.316716
20215	79142.8571429
20618	3028571.42857
17896	208290.15544
99709	97142.8571429
21953	631868.131868
11636	46185567.0103
17075	21186.6666667
16855	253680.981595
67041	10538461.5385
67931	243714.285714
66283	213714.285714
20199	14062.5714286
12346	2731800.76628
12180	5206.53061224
76722	568019.093079
103968	57640.2321083
12865	4262500.0
380683	170571.428571
12709	141732283.465
12036	307888.040712
18951	14254742.5474
16765	12885906.0403
19701	37562.1890547
11475	33156498.6737
59011	117142.857143
19285	1822857.14286
11754	6488.88888889
236539	3996247.65478
17756	4972647.70241
11472	272930.64877
20200	362857.142857
22004	1633802.8169
12722	588170.865279
17762	6384720.32742
13807	41935483.871
18600	632986.627043
77337	19645.7142857
17882	1062857.14286
22223	57399103.139
54200	13727.8106509
67373	141142.857143
75600	13490.5714286
17957	15885714.2857
24131	116571.428571
14264	158776.595745
12389	238764.044944
17868	113385.826772
69824	60571.4285714
13346	669509.594883
12958	70000.0
81600	12120.5073996
18479	4513761.46789
223809	70571.4285714
17880	1582150.10142
259300	211786.372007
11459	941644.562334
20964	49428571.4286
16832	99401197.6048
14778	260619.469027
53322	243714.285714
21925	153125.0
104069	25771428.5714
12715	1923884.51444
69983	282157.676349
233799	105913.043478
14598	79401.4084507
329251	167008.196721
13142	2576811.5942
12353	18984.2271293
12925	140000.0
20203	23085714.2857
216188	92091.007584
74551	203125.0
20404	29545454.5455
66824	180310.880829
15277	70010.9051254
13823	5522066.73843
13070	118060.836502
27357	206306.306306
27053	700534.759358
20910	140571428.571
14725	18562.2317597
12557	38573.1559855
67092	382978.723404
67182	220.551428571
56012	320553.359684
13628	17170626.3499
13808	889400.921659
14199	1062857.14286
13007	22020725.3886
16763	7807.14285714
109042	17333.1428571
218138	766129.032258
19132	480000.0
19058	10411764.7059
224796	191235.059761
56421	4375000.0
68794	16801.1738811
17922	1988.40511122
107993	20999.5192308
16777	129339.305711
21916	512534.818942
50876	13133903.1339
216350	8548.85714286
109272	112000.0
18295	117114.09396
21648	99428.5714286
18073	156626.506024
15507	550239.23445
66695	24589.2761394
12512	5127.31092437
72088	2062.97142857
12323	2933579.33579
67399	67428.5714286
12372	149428.571429
18746	59887005.6497
20198	176571.428571
104183	242857.142857
27273	34466.0194175
64661	22282.2857143
69787	81714.2857143
330440	61428.5714286
12971	9971428.57143
17929	229714.285714
14660	8976261.1276
12799	44761904.7619
433470	32285.7142857
17035	1414285.71429
16664	256198.347107
226519	261978.842564
16854	135227.272727
