Gene names	Intensity L Thymus
17196	92000.0
69187	87714.2857143
12954	561224.489796
11354	20793.1428571
14077	506015.037594
12961	160857.142857
12889	36285.7142857
12955	571428.571429
380684	139449.541284
226180	36111.1111111
18039	135911.60221
17189	705714.285714
12960	172.114285714
110187	18336.5714286
20617	112142.857143
18823	6354.57142857
12962	17504.8571429
19194	8111.14285714
G3UXD0	4280.57142857
12373	11216.5714286
21956	46511.627907
70350	113714.285714
22349	59733.9782346
218038	4889.79591837
21954	48341.2322275
66473	142205.323194
19752	226174.496644
11723	1414285.71429
21924	111180.124224
68416	12594.2857143
16204	378125.0
19660	55142.8571429
22003	108098.591549
22072	56097.5609756
282619	13126.2857143
12716	57894.7368421
19293	162000.0
17906	292168.674699
12409	606557.377049
227120	231428.571429
56727	2451.75438596
109901	268421.052632
12613	85141.903172
12307	18587.1428571
12308	26276.5714286
22227	37133.5504886
59006	5076.28571429
109697	158233.890215
55948	1157258.06452
215384	232857.142857
13706	82287.8228782
26950	20015.1428571
16618	11982.3754789
18378	10431.4285714
12797	8308.57142857
12957	53428.5714286
22287	27982.5714286
16612	567049.808429
14120	3579.94100295
17897	150490.196078
22074	54857.1428571
29818	962.958579882
107753	360000.0
140781	5839.79328165
22004	640845.070423
12652	9704.57142857
69117	17499.1428571
21345	734285.714286
76703	80571.4285714
18040	41391.509434
17888	45304.4375645
14580	19428.1395349
233335	12620.1153107
18946	35517.9704017
20259	115104.895105
17901	525531.914894
23795	17025.7142857
56370	11624.0
11847	13531.6384181
17287	1130.72289157
69191	404174.573055
66284	1523.22857143
17907	846153.846154
106393	121714.285714
18645	212142.857143
53318	18774.8571429
22003	3250000.0
11770	13712121.2121
69060	57634.4086022
59290	1213.28571429
68738	15542.5219941
20215	680.057142857
20618	302857.142857
17896	17397.9274611
21953	359340.659341
11636	422680.412371
17075	2888.31746032
16855	9837.11656442
67041	313461.538462
67931	104857.142857
66283	27183.7142857
20199	10873.7142857
12346	536398.467433
12180	2518.57142857
76722	22084.725537
103968	406189.555126
12865	52003.75
380683	14514.0
12709	225459.317585
12036	267175.572519
18951	15415.1761518
16765	4201342.28188
67868	7182.15613383
19701	2607.960199
11475	3023872.67905
59011	13591.1428571
19285	674285.714286
11754	31764.7058824
236539	1031894.93433
17756	14715.536105
11472	15995.5257271
20200	268571.428571
22004	136267.605634
12722	100657.174151
17762	3648.5675307
13807	45852.5345622
18600	13581.2778603
77337	2967.14285714
17882	154857.142857
22223	47982.0627803
