Gene names	Intensity L Spleeen
17196	203142.857143
69187	19136.8571429
12954	1525510.20408
11354	37428.5714286
14077	842105.263158
12961	588571.428571
12889	34571.4285714
12955	1960000.0
380684	375229.357798
226180	32142.8571429
18039	187845.303867
17189	1174285.71429
110187	52285.7142857
20617	900000.0
18823	2517.91428571
12962	70857.1428571
19194	500000.0
G3UXD0	69428.5714286
12373	5786.0
21956	66777.4086379
70350	962857.142857
22349	175332.527207
218038	4646.06413994
21954	739336.492891
66473	437262.357414
19752	191946.308725
11723	4200000.0
21924	229192.546584
68416	23497.4285714
16204	777343.75
19660	211428.571429
22003	1862676.05634
22072	34381.7073171
282619	20768.0
12716	59090.9090909
19293	4400000.0
17906	1493975.90361
12409	545081.967213
227120	314285.714286
56727	25307.7192982
109901	112030.075188
12613	161602.671119
12307	53428.5714286
12308	33714.2857143
12970	8633.14285714
22227	53420.1954397
59006	288571.428571
109697	646778.042959
55948	770161.290323
215384	21434.2857143
13706	248708.487085
26950	6440.28571429
16618	37433.7164751
18378	59714.2857143
12797	977142.857143
12957	56285.7142857
22287	265142.857143
16612	578544.061303
14120	47787.6106195
17897	481862.745098
22074	162000.0
29818	62130.1775148
107753	723076.923077
140781	9354.00516796
22004	18732394.3662
12652	64285.7142857
69117	121142.857143
21345	24028571.4286
76703	230285.714286
18040	56485.8490566
17888	24509.8039216
14580	33488.372093
233335	63677.1300448
18946	232558.139535
20259	59020.979021
17901	84574468.0851
23795	66285.7142857
56370	89142.8571429
11847	7668.92655367
17287	7593.17269076
69191	770398.481973
66284	8283.14285714
17907	33195266.2722
106393	297142.857143
18645	177142.857143
53318	134571.428571
22003	53169014.0845
11770	4750000.0
69060	151397.849462
59290	2190.34285714
68738	144428.152493
20215	5850.0
20618	360000.0
17896	395854.92228
99709	6168.57142857
21953	593406.593407
11636	8917525.7732
16855	123006.134969
67041	2173076.92308
67931	70571.4285714
66283	81714.2857143
20199	47428.5714286
12346	26015325.6705
76722	20601.6706444
103968	125338.491296
12865	110707.5
380683	48857.1428571
12709	4225721.78478
12036	2773536.89567
18951	97289.9728997
16765	3147651.00671
67868	4666.54275093
19701	14611.1940299
11475	39257294.4297
59011	622857.142857
19285	1302857.14286
11754	26405.2287582
236539	1677298.31144
17756	74945.2954048
11472	86017.8970917
20200	1871428.57143
22004	3211267.60563
12722	12267.2508215
17762	14597.5443383
13807	33179.7235023
18600	88707.2808321
77337	66857.1428571
17882	408571.428571
22223	5605381.16592
67373	317142.857143
75600	956.571428571
17957	414.828571429
24131	205428.571429
14264	239095.744681
12389	685393.258427
69824	13466.8571429
13346	5266524.52026
12958	4506.57142857
81600	121353.065539
18479	168256.880734
223809	1161.28571429
17880	3569979.71602
259300	102394.106814
11459	660477.453581
20964	380000.0
16832	2077844.31138
14778	1491150.44248
53322	594285.714286
21925	5481250.0
104069	256571.428571
12715	12992125.9843
69983	92116.1825726
233799	21217.3913043
14598	5075.35211268
329251	134221.311475
13142	15120.8695652
12353	74763.4069401
12925	5514285.71429
20203	35142.8571429
216188	76706.3921993
74551	817187.5
20404	170454.545455
66824	2046632.12435
15277	67938.9312977
13823	252960.172228
13070	4554.37262357
27357	141141.141141
27053	171657.754011
20910	497142.857143
14725	7103.00429185
12557	16444.9818622
67092	281323.877069
67182	4739.14285714
56012	229249.011858
13628	304535.637149
13808	2949308.75576
14199	3342857.14286
13007	26476683.9378
109042	65428.5714286
218138	620967.741935
19132	68631.5789474
19058	1182352.94118
224796	896414.342629
56421	779336.734694
68794	122523.844461
17922	30667.297681
16777	117021.276596
21916	440111.420613
50876	287749.287749
216350	35142.8571429
109272	156571.428571
18295	120469.798658
21648	37428.5714286
665270	9056.57142857
18073	114859.437751
15507	2660287.08134
66695	164611.260054
12512	304201.680672
12323	55166.0516605
67399	911428.571429
12372	5200000.0
18746	12429378.5311
20198	4342857.14286
104183	7542857.14286
27273	16024.7572816
64661	6074.28571429
330440	12878.0
12971	53714.2857143
17929	98571.4285714
14660	672106.824926
12799	833333.333333
433470	808571.428571
17035	565714.285714
16664	2166.52892562
226519	116365.899191
16854	6363636.36364
75572	1962264.15094
20195	1500000.0
16775	32984.5814978
226041	78285.7142857
67326	229142.857143
118449	465714.285714
12349	71153846.1538
76293	1742857.14286
17885	20340.7330924
17879	5767250.25747
67971	351428.571429
270097	140857.142857
11674	18736263.7363
66734	104958.677686
107272	454054.054054
17022	3136094.67456
14457	982857.142857
171580	308571.428571
11450	489878.54251
107029	473118.27957
26558	67714.2857143
22240	2448571.42857
232714	200857.142857
232400	64285.7142857
17930	565714.285714
18483	19786.5714286
13179	1289617.48634
23969	374285.714286
11983	1617142.85714
17118	16116504.8544
69051	537500.0
14467	1254285.71429
56185	59773.3711048
16852	9629629.62963
11676	82093.6639118
21985	3085714.28571
12933	1731428.57143
20965	42285.7142857
20194	1551428.57143
21753	59428.5714286
229731	842857.142857
17988	1391428.57143
73723	4828571.42857
13405	8754.75802066
12721	36225596.5293
13184	14520.8571429
14583	360114.777618
13010	369285.714286
16985	2762857.14286
11997	2667721.51899
15275	381930.184805
22352	18476394.8498
107684	38285.7142857
18611	1405714.28571
19652	1849673.20261
71960	86000.0
16952	8285714.28571
12306	11714285.7143
14381	1792233.00971
18074	136849.607983
66395	31142857.1429
12362	863184.079602
56356	688571.428571
17105	864864.864865
74340	301794.453507
11808	2971428.57143
109857	128158.844765
13821	40841.8657565
17760	19315.6732892
56078	11043.533123
109934	325714.285714
12406	2268585.13189
83397	1460000.0
67103	1094224.92401
216810	5301.42857143
217124	156000.0
12934	2237762.23776
67865	3057142.85714
20324	1197142.85714
29877	1888571.42857
11766	113142.857143
26556	21332.0
16776	7261.96880043
12332	19460227.2727
269713	47373.4479465
24014	92925.170068
192176	6006800.15111
21346	16571428.5714
109264	651.407284768
66355	52463.7681159
208943	31142.8571429
20963	2432432.43243
76281	465714.285714
12313	2161073.8255
23917	138326.848249
18476	2232758.62069
66222	22374670.1847
20708	2797142.85714
16779	34130.0722624
102502	1131428.57143
14590	176656.15142
58194	1294781.38223
66144	1697478.9916
16019	6942857.14286
76932	19858.5714286
30948	2260000.0
12696	877906.976744
22138	54809.3033823
67834	1920765.02732
11717	55744.1253264
19038	117924.528302
67861	1391428.57143
16403	118240.146654
68028	327049.180328
26430	16924.6646027
12140	112121.212121
74145	382513.661202
14571	518569.463549
56205	614285.714286
12653	188857.142857
12798	6114285.71429
17755	8522.72727273
18799	54497.3544974
13017	97977.5280899
56526	1451428.57143
16560	57640.1179941
234267	6135.14285714
50706	87714.2857143
229603	298809.52381
19895	801980.19802
P01864	212285.714286
11544	817679.558011
66251	126386.23327
21804	328571.428571
23999	6876790.83095
11677	33227848.1013
229593	136857.142857
68196	40285.7142857
22271	38906.7524116
14432	15158.5714286
97165	12476190.4762
22152	66888.8888889
19309	314726.840855
66471	3400000.0
114584	20373443.9834
14079	179545.454545
74103	1277142.85714
72042	16342857.1429
15929	557251.908397
73442	400000.0
59046	164571.428571
11486	3125000.0
22323	1802666.66667
66849	628571.428571
11641	1057142.85714
12554	7081.79271709
98878	608133.086876
270685	863868.986694
114663	67931.0344828
16541	115990.453461
17904	39867549.6689
212307	714723.92638
11857	31900000.0
227737	221142.857143
12810	3457142.85714
