!!SBtab TableType='Proteomaps'
!ProteinIdentifier	!Abundance
b4254	442.51
b3052	424.66
b3844	422.47
b2042	417.34
b2514	412.21
b0181	405.3
b0386	402.91
b2533	400.13
b1380	396.53
b1854	389.04
b1175	367.83
b0710	366.74
b2196	353.33
b2310	352.81
b3803	347.48
b0833	347.37
b1538	344.77
b2234	344.17
b2592	340.93
b3019	338.13
b3447	330.36
b3961	329.79
b1048	326.04
b0003	314.52
b3940	313.27
b2893	312.01
b0237	308.94
b0891	306.88
b2160	301.61
b2329	290.8
b4235	290.78
b4019	289.23
b0827	288.44
b0154	288.09
b0923	282.45
b2411	277.94
b1650	277.23
b3192	270.52
b0687	259.56
b0104	257.09
b2838	253.27
b0400	244.15
b0168	241.88
b2052	238.73
b1247	234.72
b0674	232.87
b0820	230.21
b0742	228.42
b1412	216.43
b0462	213
b0565	208.81
b4350	208.27
b0830	207.13
b2499	207.05
b2574	204.88
b1494	203.33
b3957	202.25
b1203	193.12
b2381	191.71
b3733	182.82
b3724	175.95
b0863	175.46
b0197	171.31
b2905	169.65
b3939	160.84
b0366	157.94
b3244	155.34
b2601	154.05
b2070	152.84
b0085	152.83
b1827	134.4
b2908	131.52
b2320	127.32
b1924	121.29
b2818	117.42
b1629	117.13
b4014	116.68
b0723	114.05
b4006	107.62
b2028	107.24
b4058	104.7
b3416	100.16
b0059	99.13
b2503	89.65
b2049	89.27
b2132	75.51
b2731	63.26
b1024	58.55
b1653	26.3
