!!SBtab TableType='Proteomaps' Organism='sce' Condition='Rich medium'
!ProteinIdentifier	!Abundance
YHR174W	3055113
YKL060C	2044661
YGR192C	2003699
YCR012W	1898620
YGR254W	1842521
YLR044C	1335789
YOL086C	1291883
YBR118W	1181716
YJR009C	944141
YAL038W	917330
YKL152C	802611
YJR123W	708904
YDR050C	677833
YDL081C	637104
YLR109W	607575
YML028W	604945
YDR450W	566935
YDR471W	549833
YIL069C	544565
YJL189W	487108
YKL006W	431106
YMR194W	421475
YBR196C	413586
YFL039C	412196
YNL209W	403594
YDL229W	395322
YBL072C	394211
YOL040C	393827
YLR048W	384164
YDR382W	376209
YLR264W	369224
YDR226W	365922
YLR367W	334127
YGL253W	328075
YDR385W	321782
YHR203C	320612
YAL003W	318239
YLL024C	307754
YDR155C	301056
YGR148C	278237
YIL018W	274236
YBR031W	268388
YLR075W	266723
YML024W	265650
YDR099W	264719
YBR189W	261028
YOR096W	260253
YGR085C	259472
YAL005C	255901
YBR084C-A	254427
YEL034W	254037
YPL131W	250125
YPL061W	244734
YIL053W	242484
YLR344W	232443
YMR116C	232029
YLR029C	231970
YLL050C	231000
YHL033C	225688
YPL198W	224863
YGL123W	215282
YLR355C	212106
YLR340W	206521
YNL178W	190926
YDL075W	189035
YBL087C	188105
YGL189C	187023
YPL220W	185955
YCR031C	173035
YMR186W	171609
YOL121C	168311
YMR142C	165620
YLR249W	165531
YOR293W	164562
YDR064W	159677
YKL180W	156924
YKL081W	154624
YGL103W	153887
YJL136C	153186
YDL055C	151442
YDL083C	143398
YOR369C	140539
YPR074C	140319
YPL240C	137417
YOR312C	134644
YPL090C	134391
YBR048W	133706
YKL056C	133025
YEL054C	132145
YIL052C	131324
YAL012W	129657
YOR063W	128198
YGL147C	127203
YHL015W	126759
YLR333C	126046
YNL069C	125067
YER043C	121484
YLR042C	120550
YNL303W	120324
YDL192W	118786
YHR183W	110189
YOL039W	107816
YDR454C	105608
YJL138C	105410
YJR104C	99893
YPL143W	99138
YHR179W	98938
YGR234W	98563
YJL052W	93255
YPL106C	91389
YLR441C	89584
YLR134W	88424
YMR205C	88217
YLR180W	88116
YIL051C	87790
YKL117W	87294
YLR167W	85671
