!!SBtab TableType="Proteomaps" Organism="eco"					
!Gene	mu_0_11	mu_0_21	mu_0_31	mu_0_40	mu_0_48
b0131	0	0	0	0	0
b0132	0	0	0	0	0
b0133	827	951	1122	1185	1442
b0134	2144	2492	2667	3152	3411
b0135	0	0	0	0	0
b0136	0	0	0	0	0
b0137	0	0	0	0	0
b0138	0	0	0	0	0
b0139	0	0	0	0	0
b0140	0	0	0	0	0
b0141	0	0	0	0	0
b0142	0	0	0	0	0
b0143	0	0	0	0	0
b0144	0	0	0	0	0
b0145	2671	3770	5489	6277	6278
b0146	0	0	0	0	0
b0147	0	0	0	0	0
b0148	0	0	0	0	0
b0149	209	259	286	298	304
b0150	0	0	0	0	0
b0151	0	0	0	0	0
b0152	0	0	0	0	0
b0153	0	0	0	0	0
b0154	858	1147	1680	2037	2596
b0155	0	0	0	0	0
b0156	645	960	1351	1737	2358
b0157	0	0	0	0	0
b0158	0	0	0	0	0
b0159	396	532	762	892	1239
b0160	0	0	0	0	0
b0161	1382	1909	1930	1872	2153
b0162	0	0	0	0	0
b0163	3295	3417	3473	3098	3149
b0164	0	0	0	0	0
b0166	1713	3011	4308	5700	7680
b0167	16	19	22	22	22
b0168	617	877	1295	1534	2205
b0169	8587	10997	18766	21942	29743
b0170	6047	7882	12106	16181	21717
b0171	345	882	1221	1168	1985
b0172	3027	3583	4588	5420	7088
b0173	0	0	0	0	0
b0174	0	0	0	0	0
b0175	0	0	0	0	0
b0176	0	0	0	0	0
b0177	357	456	587	592	717
b0178	5848	7383	8697	9737	12630
b0179	801	913	1142	1255	1256
b0180	1444	2441	3813	5023	6855
b0181	772	933	1050	1246	996
b0182	490	0	553	523	526
b0183	0	0	0	0	0
b0184	0	0	0	0	0
b0185	1524	1903	2155	2385	3066
b0186	0	0	0	0	0
b0187	231	212	274	306	396
b0188	0	0	0	0	0
b0189	542	669	964	1083	1391
b0190	0	0	0	0	0
b0191	0	0	0	0	0
b0192	0	0	0	0	0
b0193	0	0	0	0	0
b0194	1668	2351	3368	4060	5049
b0195	0	0	0	0	0
b0196	0	0	0	0	0
b0197	6740	9575	13371	16092	14855
b0198	0	0	0	0	0
b0199	221	297	523	659	828
b0200	0	0	0	0	0
b0201	0	0	0	0	0
b0204	0	0	0	0	0
b0207	311	534	471	255	222
b0208	28	29	31	27	34
b0209	0	0	0	0	0
b0210	0	0	0	0	0
b0211	0	0	0	0	0
b0212	471	517	466	547	444
b0213	0	0	0	0	0
b0214	0	0	0	0	0
b0215	0	0	0	0	0
b0217	0	0	0	0	0
b0218	0	0	0	0	0
b0219	0	0	0	0	0
b0220	1175	1496	1778	1526	2031
b0221	203	269	263	188	96
b0222	1990	2485	2710	2811	2811
b0223	0	0	0	0	0
b0224	0	0	0	0	0
b0225	0	0	0	0	0
b0226	0	0	0	0	0
b0227	0	0	0	0	0
b0228	0	0	0	0	0
b0229	0	0	0	0	0
b0230	0	0	0	0	0
b0231	0	0	0	0	0
b0232	0	0	0	0	0
b0233	0	0	0	0	0
b0234	0	0	0	0	0
b0235	0	0	0	0	0
b0236	0	0	0	0	0
b0237	1724	2381	3200	3201	3426
b0238	855	1549	1396	2552	1881
b0239	93	92	117	126	142
b0240	445	833	1701	1858	2539
b0241	0	0	0	0	0
b0242	271	377	466	486	552
b0243	542	754	786	755	730
b0244	0	0	0	0	0
b0245	0	0	0	0	0
b0246	0	0	0	0	0
b0247	0	0	0	0	0
b0248	0	0	0	0	0
b0249	0	0	0	0	0
b0250	0	0	0	0	0
b0251	0	0	0	0	0
b0252	0	0	0	0	0
b0253	0	0	0	0	0
b0254	0	0	0	0	0
b0256	232	0	0	0	0
b0258	0	0	0	0	0
