!!SBtab TableType="Proteomaps" Organism="eco"					
!Gene	mu_0_11	mu_0_21	mu_0_31	mu_0_40	mu_0_48
b1018	197	420	762	650	1236
b1019	0	0	0	0	0
b1020	0	0	0	0	0
b1021	0	0	0	0	0
b1022	0	0	0	0	0
b1023	0	0	0	0	0
b1024	0	0	0	0	0
b1025	0	0	0	0	0
b1026	0	0	0	0	0
b1027	0	0	0	0	0
b1028	0	0	0	0	0
b1029	0	0	0	0	0
b1032	0	0	0	0	0
b1033	275	430	532	596	630
b1034	0	0	0	0	0
b1035	320	485	672	830	1103
b1036	0	0	0	0	0
b1037	0	0	0	0	0
b1038	498	0	0	0	0
b1039	0	0	0	0	0
b1040	80	0	0	0	0
b1041	0	0	0	0	0
b1042	1746	0	0	0	0
b1043	373	0	0	0	0
b1044	0	0	0	0	0
b1045	338	292	293	264	290
b1046	0	0	0	0	0
b1047	0	0	0	0	0
b1048	1161	2131	2606	2834	2400
b1049	31	52	54	0	66
b1050	0	0	0	0	0
b1051	552	467	511	566	533
b1053	0	0	0	0	0
b1054	0	0	0	0	0
b1055	0	0	0	0	0
b1056	659	828	1097	1083	1036
b1057	0	0	0	0	0
b1058	0	0	0	0	0
b1059	200	298	350	397	503
b1060	0	0	0	0	0
b1061	0	0	0	0	0
b1062	822	1154	1531	2099	2241
b1063	0	0	0	0	0
b1064	1096	1362	1884	2212	2346
b1065	0	0	0	0	0
b1066	0	0	0	0	0
b1067	346	454	593	684	832
b1068	0	0	0	0	0
b1069	0	0	0	0	0
b1070	113	0	0	0	0
b1071	394	0	0	0	0
b1072	0	0	0	0	0
b1073	0	0	0	0	0
b1074	0	0	0	0	0
b1075	0	0	0	0	0
b1076	0	0	0	0	0
b1077	0	0	0	0	0
b1078	0	0	0	0	0
b1079	77	0	0	0	0
b1080	0	0	0	0	0
b1081	0	0	0	0	0
b1082	104	0	0	0	0
b1083	233	0	0	0	0
b1084	876	840	1181	1362	1674
b1085	0	0	0	0	0
b1086	42	60	75	83	109
b1087	502	537	562	518	540
b1088	207	284	428	481	669
b1089	3455	4275	6297	8698	12313
b1090	0	0	0	0	0
b1091	1270	1528	1912	2058	2638
b1092	2470	2996	4148	4484	5736
b1093	2640	3153	4265	5148	6410
b1094	25542	18745	31237	31111	31296
b1095	518	776	1145	1369	1631
b1096	0	0	0	0	0
b1097	0	0	0	0	0
b1098	40	50	65	79	104
b1099	0	0	0	0	0
b1100	0	0	0	0	0
b1101	1157	2317	3761	4296	2394
b1102	0	0	0	0	0
b1103	2821	3641	4743	5173	5730
b1104	0	0	0	0	0
b1105	277	264	293	376	399
b1106	0	0	0	0	0
b1107	61	80	114	131	178
b1108	1016	1019	1172	1222	1454
b1109	256	285	384	458	710
b1110	0	0	0	0	0
b1111	0	0	0	0	0
b1112	0	0	0	0	0
b1113	0	0	0	0	0
b1114	45	55	65	73	91
b1115	0	0	0	0	0
b1116	0	0	0	0	0
b1117	88	109	134	154	218
b1118	0	0	0	0	0
b1119	79	0	0	0	0
b1120	183	255	383	379	450
b1121	0	0	0	0	0
b1122	0	0	0	0	0
b1123	3420	3697	5189	5521	5428
b1124	0	0	0	0	0
b1125	0	0	0	0	0
b1126	154	214	307	343	448
b1127	423	432	554	566	424
b1128	612	656	805	866	1028
b1129	0	0	0	0	0
b1130	983	1422	1734	1940	2052
b1131	1001	1270	2011	2639	3757
b1132	0	0	0	0	0
b1133	101	171	182	178	251
b1134	0	0	0	0	0
b1135	0	0	0	0	0
b1136	8613	15632	22049	21314	23278
b1137	0	0	0	0	0
b1138	0	0	0	0	0
b1139	0	0	0	0	0
b1140	0	0	0	0	0
b1141	0	0	0	0	0
b1143	0	0	0	0	0
b1144	0	0	0	0	0
b1145	0	0	0	0	0
b1146	0	0	0	0	0
b1147	0	0	0	0	0
b1148	0	0	0	0	0
b1150	0	0	0	0	0
b1151	0	0	0	0	0
b1152	0	0	0	0	0
b1153	0	0	0	0	0
b1154	0	0	0	0	0
b1155	0	0	0	0	0
b1156	0	0	0	0	0
b1157	0	0	0	0	0
b1158	0	0	0	0	0
b1159	0	0	0	0	0
b1160	0	0	0	0	0
b1161	0	0	0	0	0
b1162	0	0	0	0	0
b1163	0	0	0	0	0
b1164	0	0	0	0	0
b1165	0	0	0	0	0
b1166	0	0	0	0	0
b1167	0	0	0	0	0
b1168	0	0	0	0	0
b1171	0	0	0	0	0
b1172	0	0	0	0	0
b1174	1444	1416	1735	2075	2249
b1175	2164	2627	3089	2948	2813
b1176	82	103	148	149	201
b1177	0	0	0	0	0
b1178	0	0	0	0	0
b1179	315	470	613	679	828
b1180	124	176	156	122	190
b1181	0	0	0	0	0
b1182	157	0	0	0	0
b1183	0	0	0	0	0
b1184	0	0	0	0	0
b1185	0	0	0	0	0
b1186	0	0	0	0	0
b1187	185	252	275	305	348
b1188	55	48	75	75	67
b1189	230	410	554	582	350
b1190	47	57	55	40	23
b1191	0	0	0	0	0
b1192	58	74	86	77	104
b1193	0	0	0	0	0
b1194	0	0	0	0	0
b1195	0	0	0	0	0
b1196	0	0	0	0	0
b1197	1261	797	565	438	398
b1198	45	0	0	157	0
b1199	237	205	228	286	352
b1200	1307	1345	1196	1238	935
b1201	0	0	0	0	0
b1202	0	0	0	0	0
b1203	442	737	1181	1417	1943
b1204	0	0	0	0	0
b1205	0	0	0	0	0
b1206	0	0	0	0	0
b1207	2039	2977	4039	4412	5407
b1208	0	0	0	0	0
b1209	75	84	131	135	175
b1210	0	0	0	0	0
b1211	0	0	0	0	0
b1212	0	0	0	0	0
b1213	0	0	0	0	0
b1214	0	0	0	0	0
b1215	1770	2208	3021	3453	4187
b1216	0	0	0	0	0
b1217	278	115	145	167	218
b1218	0	0	0	0	0
b1219	2416	2271	1749	1449	1475
b1220	0	0	0	0	0
b1221	431	587	1057	1191	1233
b1222	0	0	0	0	0
b1223	0	0	0	0	0
b1224	0	0	0	0	0
b1225	0	0	0	0	0
b1226	0	0	0	0	0
b1227	0	0	0	0	0
b1229	0	0	0	0	0
b1232	374	603	710	1219	1501
b1233	0	0	0	0	0
b1234	0	0	0	0	0
b1235	0	0	0	0	0
b1236	1217	1347	1782	2067	2575
b1237	19029	22353	26058	26211	26308
b1238	0	0	0	0	0
b1241	5507	6757	9433	10923	10182
b1242	0	0	0	0	0
b1243	6256	8228	12692	13650	15970
b1244	0	0	0	0	0
b1245	0	0	0	0	0
b1246	0	0	0	0	0
b1247	0	0	0	0	0
b1248	0	0	0	0	0
b1249	0	0	0	0	0
b1250	0	0	0	0	0
b1251	2120	3623	5244	5351	5320
b1252	0	0	0	0	0
b1253	0	0	0	0	0
b1254	0	0	0	0	0
b1255	0	0	0	0	0
b1256	0	0	0	0	0
b1257	929	564	462	321	286
b1258	1313	1485	1107	1043	740
b1259	386	0	0	0	0
b1260	1236	1863	3050	3505	5359
b1261	922	1386	1982	2799	3349
b1262	347	447	613	873	1262
b1263	158	171	237	467	537
b1264	67	97	89	197	214
b1266	0	0	0	0	0
b1267	460	476	507	527	623
b1268	0	0	0	0	0
b1269	91	138	197	225	255
b1270	0	0	0	0	0
b1271	0	0	0	0	0
b1272	46	61	97	113	139
b1273	475	530	684	763	1020
b1274	325	374	481	514	637
b1275	111	153	241	264	279
b1276	1457	1719	2076	1541	1348
b1277	0	0	0	0	0
b1278	0	0	0	0	0
b1279	380	0	0	0	0
b1280	25	34	34	32	33
b1281	124	206	362	450	719
b1282	0	0	0	0	0
b1283	0	0	0	0	0
b1284	160	234	264	298	290
b1285	0	0	0	0	0
b1286	206	315	453	621	810
b1287	0	0	0	0	0
b1288	5256	6127	8080	10120	15074
b1289	0	0	0	0	0
b1290	0	0	0	0	0
b1291	0	0	0	0	0
b1292	0	0	0	0	0
b1293	0	0	0	0	0
b1294	31	0	40	48	41
b1295	153	0	0	0	0
b1296	0	0	0	0	0
b1297	0	0	0	0	0
b1298	0	0	0	0	0
b1299	0	0	0	0	0
b1300	0	0	0	0	0
b1301	0	0	0	0	0
b1302	0	0	0	0	0
b1303	0	0	0	0	0
b1304	1090	1553	1839	2098	1891
b1305	32	48	69	66	64
b1306	0	0	0	0	0
b1307	0	0	0	0	0
b1308	680	0	0	0	0
b1309	0	0	0	0	0
b1310	0	0	0	0	0
b1311	0	0	0	0	0
b1312	0	0	0	0	0
b1313	0	0	0	0	0
b1314	0	0	0	0	0
b1315	0	0	0	0	0
b1316	0	0	0	0	0
b1317	0	0	0	0	0
b1319	0	0	0	0	0
b1320	0	0	0	0	0
b1321	346	0	428	0	672
b1322	0	0	0	0	0
b1323	60	68	87	91	100
b1324	7459	11325	15203	17184	21056
b1325	216	241	214	181	155
b1326	80	107	80	105	76
b1327	0	0	0	0	0
b1328	0	0	0	0	0
b1329	370	421	462	365	326
b1330	0	0	0	0	0
b1332	0	0	0	0	0
b1333	1395	1570	1640	1593	1522
b1334	605	867	1398	1542	1903
b1335	0	0	0	0	0
b1336	0	0	0	0	0
b1337	0	0	0	0	0
b1338	0	0	0	0	0
b1339	0	0	0	0	0
b1340	0	0	0	0	0
b1341	26	0	47	29	28
b1342	0	0	0	0	0
b1343	0	0	0	0	0
b1344	0	0	0	0	0
b1345	0	0	0	0	0
b1346	0	0	0	0	0
b1347	0	0	0	0	0
b1348	0	0	0	0	0
b1349	0	0	0	0	0
b1350	0	0	0	0	0
b1351	0	0	0	0	0
b1352	0	0	0	0	0
b1353	0	0	0	0	0
b1355	0	0	0	0	0
b1356	91	0	0	0	0
b1357	0	0	0	0	0
b1358	0	0	0	0	0
b1359	0	0	0	0	0
b1360	0	0	0	0	0
b1361	0	0	0	0	0
b1362	0	0	0	0	0
b1363	0	0	0	0	0
b1365	0	0	0	0	0
b1366	0	0	0	0	0
b1368	0	0	0	0	0
b1370	0	0	0	0	0
b1372	0	0	0	0	0
b1374	0	0	0	0	0
b1375	0	0	0	0	0
b1376	4402	4675	3263	1940	1184
b1377	0	0	0	0	0
b1378	62	66	73	76	87
b1379	0	0	0	0	0
b1380	597	696	940	952	1006
b1381	0	0	0	0	0
b1382	0	0	0	0	0
b1383	0	0	0	0	0
b1384	0	0	0	0	0
b1385	0	0	0	0	0
b1386	0	0	0	0	0
b1387	0	0	0	0	0
b1388	0	0	0	0	0
b1389	0	0	0	0	0
b1390	0	0	0	0	0
b1391	0	0	0	0	0
b1392	0	0	0	0	0
b1393	0	0	0	0	0
b1394	0	0	0	0	0
b1395	0	0	0	0	0
b1396	0	0	0	0	0
b1397	0	0	0	0	0
b1398	0	0	0	0	0
b1399	0	0	0	0	0
b1400	178	129	204	0	52
b1406	2062	1822	1030	1071	719
b1407	0	0	0	0	0
b1408	0	0	0	0	0
b1409	0	0	0	0	0
b1410	0	0	0	0	0
b1411	0	0	0	0	0
b1412	442	686	844	941	1064
b1413	0	0	0	0	0
b1414	1034	987	811	925	728
b1415	16751	0	0	0	0
b1418	0	0	0	0	0
b1419	0	0	0	0	0
b1420	0	0	0	0	0
b1421	136	0	0	0	0
b1422	248	325	399	436	380
b1423	401	272	84	37	19
b1424	105	129	153	154	166
b1426	1143	851	305	90	56
b1427	136	125	0	124	98
b1428	0	0	0	0	0
b1429	0	0	0	0	0
b1430	128	164	272	282	369
b1431	1982	1616	1196	1050	946
b1432	0	0	0	0	0
b1433	0	0	0	0	0
b1434	0	0	0	0	0
b1435	0	0	0	0	0
b1436	0	0	0	0	0
b1438	0	0	0	0	0
b1439	0	0	0	0	0
b1440	4557	3199	961	490	210
b1441	255	170	0	0	0
b1442	0	0	0	0	0
b1443	0	0	0	0	0
b1444	2974	0	0	0	0
b1445	0	0	0	0	0
b1446	449	0	0	0	0
b1447	0	0	0	0	0
b1448	0	0	0	0	0
b1449	823	680	605	584	489
b1450	0	0	0	0	0
b1451	0	0	0	0	0
b1452	375	483	1119	1502	1327
b1453	0	0	0	0	0
b1454	0	0	0	0	0
b1455	0	0	0	0	0
b1456	0	0	0	0	0
b1457	0	0	0	0	0
b1459	0	0	0	0	0
b1460	0	0	0	0	0
b1461	258	0	0	0	0
b1462	145	70	0	0	0
b1463	0	0	0	0	0
b1464	0	0	0	0	0
b1465	0	0	0	0	0
b1466	0	0	0	0	0
b1467	0	0	0	0	0
b1468	0	0	0	0	0
b1469	0	0	0	0	0
b1470	161	0	0	0	0
b1471	0	0	0	0	0
b1472	0	0	0	0	0
b1473	0	0	0	0	0
b1474	0	0	0	0	0
b1475	0	0	0	0	0
b1476	0	0	0	0	0
b1477	0	0	0	0	0
b1478	543	0	0	0	0
b1479	636	957	1443	1683	1734
b1480	5282	5935	7807	8195	9274
b1481	0	0	0	0	0
b1482	16410	11375	9425	8820	6940
b1483	0	0	0	0	0
b1484	0	0	0	0	0
b1485	0	0	0	0	0
b1486	0	0	0	0	0
b1487	332	263	142	0	0
b1488	0	0	0	0	0
b1489	0	0	0	0	0
b1490	109	75	79	60	53
b1491	0	0	0	0	0
b1492	502	326	178	381	254
b1493	205	0	0	120	0
b1494	25	0	0	0	0
b1495	0	0	0	0	0
b1496	0	0	0	0	0
b1497	0	0	0	0	0
b1498	448	836	59	780	27
b1499	0	0	0	0	0
b1500	0	0	0	0	0
b1501	0	0	0	0	0
b1502	0	0	0	0	0
b1503	0	0	0	0	0
b1504	0	0	0	0	0
b1505	0	0	0	0	0
b1506	0	0	0	0	0
b1507	0	0	0	0	0
b1508	0	0	0	0	0
b1511	69	44	13	7	0
b1512	45	0	0	0	0
b1513	150	145	43	0	0
b1514	0	0	0	0	0
b1515	0	0	0	0	0
b1516	2811	2802	1058	197	123
b1517	774	753	267	0	83
b1518	70	60	0	0	0
b1519	192	212	189	145	98
b1520	0	0	0	0	0
b1521	0	0	0	0	0
b1522	0	0	0	0	0
b1523	0	0	0	0	0
b1524	0	0	0	0	0
b1525	0	0	0	0	0
b1526	0	0	0	0	0
b1527	0	0	0	0	0
b1528	0	0	0	0	0
b1529	0	0	0	0	0
b1530	0	0	0	0	0
b1531	0	0	0	0	0
b1532	0	0	0	0	0
b1533	0	0	0	0	0
b1534	0	0	0	0	0
b1535	0	0	0	0	0
b1536	506	338	0	0	497
b1537	249	0	0	0	0
b1538	519	658	814	817	918
b1539	2305	3087	3486	4238	4089
b1540	0	0	0	0	0
b1541	119	0	0	90	0
b1542	0	0	0	0	0
b1544	0	0	0	0	0
b1545	0	0	0	0	0
b1547	0	0	0	0	0
b1549	0	0	0	0	0
b1550	1884	2521	2933	2886	3212
b1551	0	0	0	0	0
b1552	0	0	0	0	0
b1553	0	0	0	0	0
b1554	0	0	0	0	0
b1555	0	0	0	0	0
b1556	0	0	0	0	0
b1557	0	0	0	0	0
b1558	0	0	0	0	0
b1559	0	0	0	0	0
b1560	0	0	0	0	0
b1561	0	0	0	0	0
b1562	0	0	0	0	0
b1563	0	0	0	0	0
b1564	289	255	0	359	0
b1565	0	0	0	0	0
b1566	0	0	0	0	0
b1567	0	0	0	0	0
b1568	0	0	0	0	0
b1569	0	0	0	0	0
b1570	0	0	0	0	0
b1571	0	0	0	0	0
b1572	0	0	0	0	0
b1573	0	0	0	0	0
b1575	0	0	0	0	0
b1576	0	0	0	0	0
b1577	0	0	0	0	0
b1578	0	0	0	0	0
b1579	0	0	0	0	0
b1580	0	0	0	0	0
b1581	0	0	0	0	0
b1582	0	0	0	0	0
b1583	389	0	0	0	0
b1584	36	57	77	82	101
b1585	0	0	0	0	0
b1586	1109	0	1542	0	0
b1587	0	0	0	0	0
b1588	0	0	0	0	0
b1589	0	0	0	0	0
b1590	0	0	0	0	0
b1591	0	0	0	0	0
b1592	0	0	0	0	0
b1593	0	0	0	0	0
b1594	37	95	62	0	0
b1595	0	0	0	0	0
b1596	0	0	0	0	0
b1597	0	0	0	0	0
b1598	0	0	0	0	0
b1599	0	0	0	0	0
b1600	0	0	0	0	0
b1601	0	0	0	0	0
b1602	907	1575	2502	2823	4492
b1603	786	1249	1818	2238	3061
b1604	2256	2867	3768	3859	4244
b1605	0	0	0	0	0
b1606	0	0	0	0	0
b1607	0	0	0	0	0
b1608	78	84	77	68	81
b1609	0	0	0	0	0
b1610	0	0	0	0	0
b1611	2743	0	0	0	0
b1612	858	1800	2985	2720	2080
b1613	692	945	1212	1300	1554
b1614	1186	1233	1678	1995	2259
b1615	0	0	0	0	0
b1616	0	0	0	0	0
b1617	149	0	0	0	0
b1618	0	0	0	0	0
b1619	1384	1107	1205	1308	1450
b1620	0	0	0	0	0
b1621	0	0	0	0	0
b1622	0	0	0	0	0
b1623	319	360	340	295	258
b1624	232	213	140	132	125
b1625	0	0	0	0	0
b1626	0	0	0	0	0
b1627	0	0	0	0	0
b1628	0	0	0	0	0
b1629	0	0	0	0	0
b1630	0	0	0	0	0
b1631	0	0	0	0	0
b1632	0	0	0	0	0
b1633	0	0	0	0	0
b1634	0	0	0	0	0
b1635	1655	1919	2226	2144	2329
b1636	0	0	0	0	0
b1637	602	839	1151	1447	1780
b1638	424	554	667	774	922
b1639	0	0	0	0	0
b1640	120	150	135	102	125
b1641	727	912	1103	1173	793
b1642	435	555	765	766	964
b1643	0	0	0	0	0
b1644	0	0	0	0	0
b1645	0	0	0	0	0
b1646	1061	612	653	631	686
b1647	1343	1137	981	838	728
b1648	0	0	0	0	0
b1649	0	0	0	0	0
b1650	0	0	0	0	0
b1651	791	758	0	1279	1284
b1652	0	0	0	0	0
b1653	0	0	0	0	0
b1654	2325	2752	4204	5332	7647
b1655	0	0	0	0	0
b1656	2702	4276	7354	7950	8647
b1657	0	0	0	0	0
b1658	925	1090	1239	1261	1759
b1659	0	0	0	0	0
b1660	0	0	0	0	0
b1661	87	112	200	194	269
b1662	241	354	576	693	837
b1663	0	0	0	0	0
b1664	0	0	0	0	0
b1665	0	0	0	0	0
b1666	0	0	0	0	0
b1667	2495	3105	3426	3229	3278
b1668	108	99	107	104	104
b1669	0	0	0	0	0
b1670	0	0	0	0	0
b1671	0	0	0	0	0
b1672	0	0	0	0	0
b1673	0	0	0	0	0
b1674	0	0	0	0	0
b1675	233	223	238	379	513
b1676	5559	5417	7152	8097	9967
b1677	2415	6459	8927	9913	8891
b1678	194	182	343	385	607
b1679	0	0	0	0	0
b1680	612	612	706	675	598
b1681	0	0	0	0	0
b1682	182	154	190	219	237
b1683	0	0	0	0	0
b1684	0	0	0	0	0
b1685	0	0	0	0	0
b1686	218	362	566	527	774
b1687	220	305	434	472	545
b1688	0	0	0	0	0
b1689	0	0	0	0	0
b1690	0	0	0	0	0
b1691	104	0	0	0	0
b1692	0	0	0	0	0
b1693	149	221	248	235	295
b1694	0	0	0	0	0
b1695	0	0	0	0	0
b1696	0	0	0	0	0
b1697	0	0	0	0	0
b1698	0	0	0	0	0
b1699	0	0	0	0	0
b1700	0	0	0	0	0
b1701	0	0	0	0	0
b1702	1125	1574	1363	1001	1038
b1703	116	141	172	178	214
b1704	0	0	0	0	0
b1705	0	0	0	0	0
b1706	0	0	0	0	0
b1707	0	0	0	0	0
b1708	0	0	0	0	0
b1709	0	0	0	0	0
b1710	2133	1956	2442	2328	2411
b1711	0	0	0	0	0
b1712	8533	8560	9405	9006	9377
b1713	437	713	1168	1579	2158
b1714	472	670	1071	1370	1706
b1716	5351	8048	11031	14675	15771
b1717	993	0	0	0	0
b1718	2279	2874	4090	4876	6509
b1719	724	971	1357	1222	1363
b1722	0	0	0	0	0
b1723	420	508	621	608	676
b1724	141	0	0	0	0
b1725	402	300	252	195	163
b1726	0	0	0	0	0
b1727	248	348	488	564	609
b1728	0	0	0	0	0
b1729	326	534	709	1014	1458
b1730	0	0	0	0	0
b1731	0	0	0	0	0
b1732	2974	2989	3873	3855	4338
b1733	0	0	0	0	0
b1734	0	0	0	0	0
b1735	0	0	0	0	0
b1736	0	0	0	0	0
b1737	0	0	0	0	0
b1738	244	246	270	232	237
b1739	2966	2835	3841	4313	4025
b1740	1060	1278	1895	1888	2563
b1741	0	0	0	0	0
b1742	0	0	0	0	0
b1743	874	0	0	0	0
b1744	0	0	0	0	0
b1745	0	0	0	0	0
b1746	0	0	0	0	0
b1747	0	0	0	0	0
b1748	378	404	235	114	69
b1749	440	566	730	719	871
b1750	0	0	0	0	0
b1751	0	0	0	0	0
b1752	0	0	0	0	0
b1753	0	0	0	0	0
b1754	0	0	0	0	0
b1755	0	0	0	0	0
b1756	0	0	0	0	0
b1757	118	139	119	0	0
b1758	0	0	0	0	0
b1759	0	0	0	0	0
b1760	361	0	0	0	0
b1761	1426	4179	5559	8206	7482
b1762	0	0	0	0	0
b1763	0	0	0	0	0
b1764	507	692	864	848	959
b1765	1235	2400	2348	2482	2422
b1766	0	0	0	0	0
b1767	293	301	345	586	459
b1768	163	176	211	253	273
b1769	0	0	0	0	0
b1770	0	0	0	0	0
b1771	0	0	0	0	0
b1772	0	0	0	0	0
b1773	0	0	0	0	0
b1774	0	0	0	0	0
b1775	0	0	0	0	0
b1776	0	0	0	0	0
b1777	144	0	0	0	0
b1778	1349	2076	1877	1592	1706
b1779	11722	20150	29353	40505	31313
b1780	168	293	365	725	629
b1781	0	0	0	0	0
b1782	134	137	223	350	350
b1783	1181	1289	1722	1512	1773
b1784	0	0	0	0	0
b1785	0	0	0	0	0
b1786	0	0	0	0	0
b1787	88	137	201	229	267
b1788	0	0	0	0	0
b1789	0	0	0	0	0
b1790	0	0	0	0	0
b1791	0	0	0	0	0
b1792	278	285	366	343	408
b1793	0	0	0	0	0
b1794	0	0	0	0	0
b1795	0	0	0	0	0
b1796	0	0	0	0	0
b1797	0	0	0	0	0
b1798	0	0	0	0	0
b1799	0	0	0	0	0
b1800	0	0	0	0	0
b1801	0	0	0	0	0
b1802	0	0	0	0	0
b1803	0	0	0	0	0
b1804	0	0	0	0	0
b1805	161	166	162	101	72
b1806	0	0	0	0	0
b1807	0	0	0	0	0
b1808	0	0	0	0	0
b1809	900	1146	1454	1687	1908
b1810	0	0	0	0	0
b1811	0	0	0	0	0
b1812	0	0	0	0	0
b1813	0	0	0	0	0
b1814	0	0	0	0	0
b1815	0	0	0	0	0
b1816	0	0	0	0	0
b1817	4988	8626	15362	13491	8289
b1818	825	1408	2340	1998	848
b1819	1080	1724	2324	2942	1287
b1820	0	0	0	0	0
b1821	0	0	0	0	0
b1822	0	0	0	0	0
b1823	14959	20814	33157	36550	39680
b1824	0	0	0	0	0
b1825	0	0	0	0	0
b1826	0	0	0	0	0
b1827	464	584	684	622	707
b1828	0	0	0	0	0
b1829	0	0	0	0	0
b1830	430	560	746	801	938
b1831	538	737	1239	1430	1941
b1832	353	453	629	802	1025
b1833	0	0	0	0	0
b1834	0	0	0	0	0
b1835	0	0	0	0	0
b1836	3178	1801	1929	1616	2015
b1837	0	0	0	0	0
b1838	0	0	0	0	0
b1839	176	0	0	0	0
b1840	0	0	0	0	0
b1841	0	0	0	0	0
b1842	0	0	0	0	0
b1843	0	0	0	0	0
b1844	0	0	0	0	0
b1845	0	0	0	0	0
b1846	48	46	43	49	41
b1847	1720	1379	3083	4037	4906
b1848	0	0	0	0	0
b1849	248	286	412	810	960
b1850	1955	2312	3191	3625	5133
b1851	0	0	0	0	0
b1852	985	1202	1459	1597	1823
b1853	48	63	77	63	0
b1854	1656	1995	2934	2785	2606
b1855	0	0	0	0	0
b1856	0	0	0	0	0
b1857	0	0	0	0	0
b1858	0	0	0	0	0
b1859	0	0	0	0	0
b1860	0	0	0	0	0
b1861	182	0	0	0	0
b1862	0	0	0	0	0
b1863	0	0	0	0	0
b1864	987	1299	1725	1830	2226
b1865	0	0	0	0	0
b1866	1241	1496	2252	2513	2825
b1867	288	338	335	318	335
b1868	0	0	0	0	0
b1869	0	0	0	0	0
b1870	166	209	296	324	466
b1871	0	0	0	0	0
b1872	0	0	0	0	0
b1873	0	0	0	0	0
b1874	0	0	0	0	0
b1875	0	0	0	0	0
b1876	383	509	628	733	960
b1877	0	0	0	0	0
b1878	0	0	0	0	0
b1879	0	0	0	0	0
b1880	0	0	0	0	0
b1881	496	0	0	0	0
b1882	1887	0	0	0	0
b1883	0	0	0	0	0
b1884	0	0	0	0	0
b1885	0	0	0	0	0
b1886	712	0	0	0	0
b1887	957	0	0	0	0
b1888	287	0	0	0	0
b1889	0	0	0	0	0
b1890	0	0	0	0	0
b1891	0	0	0	0	0
b1892	0	0	0	0	0
b1895	0	0	0	0	0
b1896	456	417	497	453	462
b1897	228	233	261	0	95
b1900	0	0	0	0	0
b1901	1480	1321	557	178	88
b1902	0	0	0	0	0
b1904	0	0	0	0	0
b1905	1107	1870	2325	2835	2637
b1906	0	0	0	0	0
b1907	0	0	0	0	0
b1908	653	794	1050	1222	1341
b1909	0	0	0	0	0
b1910	0	0	0	0	0
b1912	0	0	0	0	0
b1913	0	0	0	0	0
b1914	40	0	71	81	131
b1915	0	0	0	0	0
b1916	0	0	0	0	0
b1917	221	277	251	407	524
b1918	0	0	0	0	0
b1919	1044	1198	1446	1467	1506
b1920	6186	8279	13175	16281	17630
b1921	0	0	0	0	0
b1922	38	0	0	0	0
b1923	6634	0	0	0	0
b1924	144	0	0	0	0
b1925	0	0	0	0	0
b1926	0	0	0	0	0
b1927	102	75	124	138	144
b1928	140	158	194	226	277
b1929	0	0	0	0	0
b1930	1413	2291	2693	0	0
b1931	0	0	0	0	0
b1932	0	0	0	0	0
b1936	0	0	0	0	0
b1937	0	0	0	0	0
b1938	0	0	0	0	0
b1939	35	0	0	0	0
b1940	43	0	0	0	0
b1941	0	0	0	0	0
b1942	0	0	0	0	0
b1943	0	0	0	0	0
b1944	0	0	0	0	0
b1945	0	0	0	0	0
b1946	192	0	0	0	0
b1947	0	0	0	0	0
b1948	0	0	0	0	0
b1949	0	0	0	0	0
b1950	0	0	0	0	0
b1951	0	0	0	0	0
b1952	0	0	0	0	0
b1953	151	0	0	0	0
b1954	0	0	0	0	0
b1955	538	367	250	277	222
b1956	0	0	0	0	0
b1957	0	0	0	0	0
b1958	0	0	0	0	0
b1959	0	0	0	0	0
b1960	0	0	0	0	0
b1961	0	0	0	0	0
b1962	0	0	0	0	0
b1963	0	0	0	0	0
b1967	2868	2280	2561	2808	2221
b1968	0	0	0	0	0
b1969	0	0	0	0	0
b1970	0	0	0	0	0
b1971	0	0	0	0	0
b1972	0	0	0	0	0
b1973	0	0	0	0	0
b1974	0	0	0	0	0
b1975	0	0	0	0	0
b1976	401	428	409	262	149
b1978	0	0	0	0	0
b1981	0	0	0	0	0
b1982	132	185	265	280	315
b1983	84	141	315	314	583
b1985	0	0	0	0	0
b1987	0	0	0	0	0
b1988	0	0	0	0	0
b1989	0	0	0	0	0
b1990	72	60	82	72	82
b1991	0	0	0	0	0
b1992	0	0	0	0	0
b1993	0	0	0	0	0
b1994	0	0	0	0	0
b1999	0	0	0	0	0
b2000	1493	0	0	0	0
b2001	0	0	0	0	0
b2002	0	0	0	0	0
b2003	0	0	0	0	0
b2004	0	0	0	0	0
b2005	0	0	0	0	0
b2006	0	0	0	0	0
b2007	2531	3251	4469	5098	5797
b2008	0	0	0	0	0
b2009	430	393	474	414	407
b2010	0	0	0	0	0
b2011	0	0	0	0	0
b2012	0	0	0	0	0
b2013	0	0	0	0	0
b2014	0	0	0	0	0
b2015	0	0	0	0	0
b2016	281	344	416	435	552
b2017	0	0	0	0	0
b2019	695	1317	2173	2563	4069
b2020	383	537	847	1149	1388
b2021	489	706	1193	1496	2158
b2022	553	781	1245	1873	2226
b2023	273	375	628	811	1147
b2024	0	0	0	0	0
b2025	206	339	553	636	975
b2026	107	191	301	494	648
b2027	306	492	698	837	931
b2028	0	0	0	0	0
b2029	3344	5050	8578	11264	17503
b2032	77	0	0	0	0
b2033	0	0	0	0	0
b2034	88	126	200	247	316
b2035	0	0	0	0	0
b2036	618	846	1333	1375	1825
b2037	0	0	0	0	0
b2038	120	173	286	291	345
b2039	732	1063	1506	1661	2065
b2040	146	230	352	393	530
